# Tibetan 0F00 - 0FFF
0F66	tb-sa	TIBETAN LETTER SA
0F67	tb-ha	TIBETAN LETTER HA
0F68	tb-a	TIBETAN LETTER A
0F69	kssa	TIBETAN LETTER KSSA
0F6A	rafixed	TIBETAN LETTER FIXED-FORM RA
0F6B	kka	TIBETAN LETTER KKA
0F6C	tb-rra	TIBETAN LETTER RRA
0F71	aavowelsign	TIBETAN VOWEL SIGN AA
0F72	ivowelsign	TIBETAN VOWEL SIGN I
0F73	iivowelsign	TIBETAN VOWEL SIGN II
0F74	uvowelsign	TIBETAN VOWEL SIGN U
0F75	uuvowelsign	TIBETAN VOWEL SIGN UU
0F76	rvocalicvowelsign	TIBETAN VOWEL SIGN VOCALIC R
0F77	rrvocalicvowelsign	TIBETAN VOWEL SIGN VOCALIC RR
0F78	lvocalicvowelsign	TIBETAN VOWEL SIGN VOCALIC L
0F79	llvocalicvowelsign	TIBETAN VOWEL SIGN VOCALIC LL
0F7A	evowelsign	TIBETAN VOWEL SIGN E
0F7B	eevowelsign	TIBETAN VOWEL SIGN EE
0F7C	ovowelsign	TIBETAN VOWEL SIGN O
0F7D	oovowelsign	TIBETAN VOWEL SIGN OO
0F7E	rjessungarosign	TIBETAN SIGN RJES SU NGA RO
0F7F	rnambcadsign	TIBETAN SIGN RNAM BCAD
0F80	reversedivowelsign	TIBETAN VOWEL SIGN REVERSED I
0F81	reversediivowelsign	TIBETAN VOWEL SIGN REVERSED II
0F82	nyizlanaadasign	TIBETAN SIGN NYI ZLA NAA DA
0F83	snaldansign	TIBETAN SIGN SNA LDAN
0F84	halantamark	TIBETAN MARK HALANTA
0F85	palutamark	TIBETAN MARK PALUTA
0F86	lcirtagssign	TIBETAN SIGN LCI RTAGS
0F87	yangrtagssign	TIBETAN SIGN YANG RTAGS
0F88	lcetsacansign	TIBETAN SIGN LCE TSA CAN
0F89	mchucansign	TIBETAN SIGN MCHU CAN
0F8A	grucanrgyingssign	TIBETAN SIGN GRU CAN RGYINGS
0F8B	grumedrgyingssign	TIBETAN SIGN GRU MED RGYINGS
0F90	kasubjoined	TIBETAN SUBJOINED LETTER KA
0F91	khasubjoined	TIBETAN SUBJOINED LETTER KHA
0F92	gasubjoined	TIBETAN SUBJOINED LETTER GA
0F93	ghasubjoined	TIBETAN SUBJOINED LETTER GHA
0F94	ngasubjoined	TIBETAN SUBJOINED LETTER NGA
0F95	casubjoined	TIBETAN SUBJOINED LETTER CA
0F96	chasubjoined	TIBETAN SUBJOINED LETTER CHA
0F97	jasubjoined	TIBETAN SUBJOINED LETTER JA
0F99	nyasubjoined	TIBETAN SUBJOINED LETTER NYA
0F9A	ttasubjoined	TIBETAN SUBJOINED LETTER TTA
0F9B	tthasubjoined	TIBETAN SUBJOINED LETTER TTHA
0F9C	ddasubjoined	TIBETAN SUBJOINED LETTER DDA
0F9D	ddhasubjoined	TIBETAN SUBJOINED LETTER DDHA
0F9E	nnasubjoined	TIBETAN SUBJOINED LETTER NNA
0F9F	tasubjoined	TIBETAN SUBJOINED LETTER TA
0FA0	thasubjoined	TIBETAN SUBJOINED LETTER THA
0FA1	dasubjoined	TIBETAN SUBJOINED LETTER DA
0FA2	dhasubjoined	TIBETAN SUBJOINED LETTER DHA
