# CJK Compatibility 3300 - 33FF
336F	hourtwentythreetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-THREE
3370	hourtwentyfourtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-FOUR
3371	hpafullwidth	SQUARE HPA
3372	dafullwidth	SQUARE DA
3373	aufullwidth	SQUARE AU
3374	cjk-barfullwidth	SQUARE BAR
3375	ovfullwidth	SQUARE OV
3376	pcfullwidth	SQUARE PC
3377	dmfullwidth	SQUARE DM
3378	dmdfullwidth	SQUARE DM SQUARED
3379	dmcubedfullwidth	SQUARE DM CUBED
337A	iufullwidth	SQUARE IU
337B	eranameheiseifullwidth	SQUARE ERA NAME HEISEI
337C	eranamesyouwafullwidth	SQUARE ERA NAME SYOUWA
337D	eranametaisyoufullwidth	SQUARE ERA NAME TAISYOU
337E	eranamemeizifullwidth	SQUARE ERA NAME MEIZI
337F	corporationfullwidth	SQUARE CORPORATION
3380	paampsfullwidth	SQUARE PA AMPS
3381	nafullwidth	SQUARE NA
3382	muafullwidth	SQUARE MU A
3383	mafullwidth	SQUARE MA
3384	kafullwidth	SQUARE KA
3385	kbfullwidth	SQUARE KB
3386	mbfullwidth	SQUARE MB
3387	gbfullwidth	SQUARE GB
3388	calfullwidth	SQUARE CAL
3389	kcalfullwidth	SQUARE KCAL
338A	pffullwidth	SQUARE PF
338B	nffullwidth	SQUARE NF
338C	muffullwidth	SQUARE MU F
338D	mugfullwidth	SQUARE MU G
338E	mgfullwidth	SQUARE MG
338F	kgfullwidth	SQUARE KG
3390	hzfullwidth	SQUARE HZ
3391	khzfullwidth	SQUARE KHZ
3392	mhzfullwidth	SQUARE MHZ
3393	ghzfullwidth	SQUARE GHZ
3394	thzfullwidth	SQUARE THZ
3395	mulfullwidth	SQUARE MU L
3396	mlfullwidth	SQUARE ML
3397	dlfullwidth	SQUARE DL
3398	klfullwidth	SQUARE KL
3399	fmfullwidth	SQUARE FM
339A	nmfullwidth	SQUARE NM
339B	mumfullwidth	SQUARE MU M
339C	mmfullwidth	SQUARE MM
339D	cmfullwidth	SQUARE CM
339E	kmfullwidth	SQUARE KM
339F	mmdfullwidth	SQUARE MM SQUARED
33A0	cmdfullwidth	SQUARE CM SQUARED
33A1	mdfullwidth	SQUARE M SQUARED
33A2	kmdfullwidth	SQUARE KM SQUARED
33A3	mmcubedfullwidth	SQUARE MM CUBED
33A4	cmcubedfullwidth	SQUARE CM CUBED
33A5	mcubedfullwidth	SQUARE M CUBED
33A6	kmcubedfullwidth	SQUARE KM CUBED
33A7	moversfullwidth	SQUARE M OVER S
33A8	moversdfullwidth	SQUARE M OVER S SQUARED
33A9	pafullwidth	SQUARE PA
33AA	kpafullwidth	SQUARE KPA
33AB	mpafullwidth	SQUARE MPA
33AC	gpafullwidth	SQUARE GPA
33AD	radfullwidth	SQUARE RAD
33AE	radoversfullwidth	SQUARE RAD OVER S
33AF	radoversdfullwidth	SQUARE RAD OVER S SQUARED
33B0	psfullwidth	SQUARE PS
33B1	nsfullwidth	SQUARE NS
33B2	musfullwidth	SQUARE MU S
33B3	msfullwidth	SQUARE MS
33B4	pvfullwidth	SQUARE PV
33B5	nvfullwidth	SQUARE NV
33B6	muvfullwidth	SQUARE MU V
33B7	mvfullwidth	SQUARE MV
33B8	kvfullwidth	SQUARE KV
33B9	mvmegafullwidth	SQUARE MV MEGA
33BA	pwfullwidth	SQUARE PW
33BB	nwfullwidth	SQUARE NW
33BC	muwfullwidth	SQUARE MU W
33BD	mwfullwidth	SQUARE MW
33BE	kwfullwidth	SQUARE KW
33BF	mwmegafullwidth	SQUARE MW MEGA
33C0	kohmfullwidth	SQUARE K OHM
33C1	mohmfullwidth	SQUARE M OHM
33C2	amfullwidth	SQUARE AM
33C3	bqfullwidth	SQUARE BQ
33C4	ccfullwidth	SQUARE CC
33C5	cdfullwidth	SQUARE CD
33C6	coverkgfullwidth	SQUARE C OVER KG
33C7	cofullwidth	SQUARE CO
33C8	dbfullwidth	SQUARE DB
33C9	gyfullwidth	SQUARE GY
33CA	hafullwidth	SQUARE HA
33CB	hpfullwidth	SQUARE HP
33CC	infullwidth	SQUARE IN
33CD	kkfullwidth	SQUARE KK
33CE	kmcapitalfullwidth	SQUARE KM CAPITAL
33CF	ktfullwidth	SQUARE KT
33D0	lmfullwidth	SQUARE LM
33D1	lnfullwidth	SQUARE LN
33D2	logfullwidth	SQUARE LOG
33D3	lxfullwidth	SQUARE LX
33D4	mbsmallfullwidth	SQUARE MB SMALL
33D5	milfullwidth	SQUARE MIL
33D6	molfullwidth	SQUARE MOL
33D7	phfullwidth	SQUARE PH
33D8	pmfullwidth	SQUARE PM
33D9	ppmfullwidth	SQUARE PPM
33DA	prfullwidth	SQUARE PR
33DB	srfullwidth	SQUARE SR
33DC	svfullwidth	SQUARE SV
33DD	wbfullwidth	SQUARE WB
33DE	vovermfullwidth	SQUARE V OVER M
33DF	aovermfullwidth	SQUARE A OVER M
33E0	dayonetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY ONE
33E1	daytwotelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWO
33E2	daythreetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THREE
33E3	dayfourtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FOUR
33E4	dayfivetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FIVE
33E5	daysixtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SIX
33E6	dayseventelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SEVEN
33E7	dayeighttelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY EIGHT
33E8	dayninetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY NINE
33E9	daytentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TEN
33EA	dayeleventelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY ELEVEN
33EB	daytwelvetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWELVE
33EC	daythirteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTEEN
33ED	dayfourteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FOURTEEN
33EE	dayfifteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FIFTEEN
33EF	daysixteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SIXTEEN
33F0	dayseventeentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SEVENTEEN
33F1	dayeighteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY EIGHTEEN
33F2	daynineteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY NINETEEN
33F3	daytwentytelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY
33F4	daytwentyonetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-ONE
33F5	daytwentytwotelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-TWO
33F6	daytwentythreetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-THREE
33F7	daytwentyfourtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FOUR
33F8	daytwentyfivetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FIVE
33F9	daytwentysixtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SIX
33FA	daytwentyseventelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SEVEN
33FB	daytwentyeighttelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-EIGHT
33FC	daytwentyninetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-NINE
33FD	daythirtytelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY
33FE	daythirtyonetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY-ONE
33FF	galfullwidth	SQUARE GAL
