# Mongolian 1800 - 18AF
1885	baludaaligali	MONGOLIAN LETTER ALI GALI BALUDA
1886	baludaaligalithree	MONGOLIAN LETTER ALI GALI THREE BALUDA
1887	aaligali	MONGOLIAN LETTER ALI GALI A
1888	ialigali	MONGOLIAN LETTER ALI GALI I
1889	kaaligali	MONGOLIAN LETTER ALI GALI KA
188A	ngaaligali	MONGOLIAN LETTER ALI GALI NGA
188B	caaligali	MONGOLIAN LETTER ALI GALI CA
188C	ttaaligali	MONGOLIAN LETTER ALI GALI TTA
188D	tthaaligali	MONGOLIAN LETTER ALI GALI TTHA
188E	ddaaligali	MONGOLIAN LETTER ALI GALI DDA
188F	nnaaligali	MONGOLIAN LETTER ALI GALI NNA
1890	taaligali	MONGOLIAN LETTER ALI GALI TA
1891	daaligali	MONGOLIAN LETTER ALI GALI DA
1892	paaligali	MONGOLIAN LETTER ALI GALI PA
1893	phaaligali	MONGOLIAN LETTER ALI GALI PHA
1894	ssaaligali	MONGOLIAN LETTER ALI GALI SSA
1895	zhaaligali	MONGOLIAN LETTER ALI GALI ZHA
1896	zaaligali	MONGOLIAN LETTER ALI GALI ZA
1897	ahaligali	MONGOLIAN LETTER ALI GALI AH
1898	tatodoaligali	MONGOLIAN LETTER TODO ALI GALI TA
1899	zhatodoaligali	MONGOLIAN LETTER TODO ALI GALI ZHA
189A	ghamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI GHA
189B	ngamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI NGA
189C	camanchualigali	MONGOLIAN LETTER MANCHU ALI GALI CA
189D	jhamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI JHA
189E	ttamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI TTA
189F	ddhamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI DDHA
18A0	tamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI TA
18A1	dhamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI DHA
18A2	ssamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI SSA
18A3	cyamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI CYA
18A4	zhamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI ZHA
18A5	zamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI ZA
18A6	ualigalihalf	MONGOLIAN LETTER ALI GALI HALF U
18A7	yaaligalihalf	MONGOLIAN LETTER ALI GALI HALF YA
18A8	bhamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI BHA
18A9	dagalgaaligali	MONGOLIAN LETTER ALI GALI DAGALGA
18AA	lhamanchualigali	MONGOLIAN LETTER MANCHU ALI GALI LHA
