# Ethiopic 1200 - 137F
127C	et-cee	ETHIOPIC SYLLABLE CEE
127D	et-ce	ETHIOPIC SYLLABLE CE
127E	et-co	ETHIOPIC SYLLABLE CO
127F	et-cwa	ETHIOPIC SYLLABLE CWA
1280	et-xa	ETHIOPIC SYLLABLE XA
1281	et-xu	ETHIOPIC SYLLABLE XU
1282	et-xi	ETHIOPIC SYLLABLE XI
1283	et-xaa	ETHIOPIC SYLLABLE XAA
1284	et-xee	ETHIOPIC SYLLABLE XEE
1285	et-xe	ETHIOPIC SYLLABLE XE
1286	et-xo	ETHIOPIC SYLLABLE XO
1287	et-xoa	ETHIOPIC SYLLABLE XOA
1288	et-xwa	ETHIOPIC SYLLABLE XWA
128A	et-xwi	ETHIOPIC SYLLABLE XWI
128B	et-xwaa	ETHIOPIC SYLLABLE XWAA
128C	et-xwee	ETHIOPIC SYLLABLE XWEE
128D	et-xwe	ETHIOPIC SYLLABLE XWE
1290	et-na	ETHIOPIC SYLLABLE NA
1291	et-nu	ETHIOPIC SYLLABLE NU
1292	et-ni	ETHIOPIC SYLLABLE NI
1293	et-naa	ETHIOPIC SYLLABLE NAA
1294	et-nee	ETHIOPIC SYLLABLE NEE
1295	et-ne	ETHIOPIC SYLLABLE NE
1296	et-no	ETHIOPIC SYLLABLE NO
1297	et-nwa	ETHIOPIC SYLLABLE NWA
1298	et-nya	ETHIOPIC SYLLABLE NYA
1299	et-nyu	ETHIOPIC SYLLABLE NYU
129A	et-nyi	ETHIOPIC SYLLABLE NYI
129B	et-nyaa	ETHIOPIC SYLLABLE NYAA
129C	et-nyee	ETHIOPIC SYLLABLE NYEE
129D	et-nye	ETHIOPIC SYLLABLE NYE
129E	et-nyo	ETHIOPIC SYLLABLE NYO
129F	et-nywa	ETHIOPIC SYLLABLE NYWA
12A0	et-aglottal	ETHIOPIC SYLLABLE GLOTTAL A
12A1	et-uglottal	ETHIOPIC SYLLABLE GLOTTAL U
12A2	et-iglottal	ETHIOPIC SYLLABLE GLOTTAL I
12A3	et-aaglottal	ETHIOPIC SYLLABLE GLOTTAL AA
12A4	et-eeglottal	ETHIOPIC SYLLABLE GLOTTAL EE
12A5	et-eglottal	ETHIOPIC SYLLABLE GLOTTAL E
12A6	et-oglottal	ETHIOPIC SYLLABLE GLOTTAL O
12A7	et-waglottal	ETHIOPIC SYLLABLE GLOTTAL WA
12A8	et-ka	ETHIOPIC SYLLABLE KA
12A9	et-ku	ETHIOPIC SYLLABLE KU
12AA	et-ki	ETHIOPIC SYLLABLE KI
12AB	et-kaa	ETHIOPIC SYLLABLE KAA
12AC	et-kee	ETHIOPIC SYLLABLE KEE
12AD	et-ke	ETHIOPIC SYLLABLE KE
12AE	et-ko	ETHIOPIC SYLLABLE KO
12AF	et-koa	ETHIOPIC SYLLABLE KOA
12B0	et-kwa	ETHIOPIC SYLLABLE KWA
12B2	et-kwi	ETHIOPIC SYLLABLE KWI
12B3	et-kwaa	ETHIOPIC SYLLABLE KWAA
12B4	et-kwee	ETHIOPIC SYLLABLE KWEE
12B5	et-kwe	ETHIOPIC SYLLABLE KWE
12B8	et-kxa	ETHIOPIC SYLLABLE KXA
12B9	et-kxu	ETHIOPIC SYLLABLE KXU
12BA	et-kxi	ETHIOPIC SYLLABLE KXI
12BB	et-kxaa	ETHIOPIC SYLLABLE KXAA
12BC	et-kxee	ETHIOPIC SYLLABLE KXEE
12BD	et-kxe	ETHIOPIC SYLLABLE KXE
12BE	et-kxo	ETHIOPIC SYLLABLE KXO
12C0	et-kxwa	ETHIOPIC SYLLABLE KXWA
12C2	et-kxwi	ETHIOPIC SYLLABLE KXWI
12C3	et-kxwaa	ETHIOPIC SYLLABLE KXWAA
12C4	et-kxwee	ETHIOPIC SYLLABLE KXWEE
12C5	et-kxwe	ETHIOPIC SYLLABLE KXWE
12C8	et-wa	ETHIOPIC SYLLABLE WA
12C9	et-wu	ETHIOPIC SYLLABLE WU
12CA	et-wi	ETHIOPIC SYLLABLE WI
12CB	et-waa	ETHIOPIC SYLLABLE WAA
12CC	et-wee	ETHIOPIC SYLLABLE WEE
12CD	et-we	ETHIOPIC SYLLABLE WE
12CE	et-wo	ETHIOPIC SYLLABLE WO
12CF	et-woa	ETHIOPIC SYLLABLE WOA
12D0	et-pharyngeala	ETHIOPIC SYLLABLE PHARYNGEAL A
12D1	et-pharyngealu	ETHIOPIC SYLLABLE PHARYNGEAL U
12D2	et-pharyngeali	ETHIOPIC SYLLABLE PHARYNGEAL I
12D3	et-pharyngealaa	ETHIOPIC SYLLABLE PHARYNGEAL AA
12D4	et-pharyngealee	ETHIOPIC SYLLABLE PHARYNGEAL EE
12D5	et-pharyngeale	ETHIOPIC SYLLABLE PHARYNGEAL E
12D6	et-pharyngealo	ETHIOPIC SYLLABLE PHARYNGEAL O
12D8	et-za	ETHIOPIC SYLLABLE ZA
12D9	et-zu	ETHIOPIC SYLLABLE ZU
12DA	et-zi	ETHIOPIC SYLLABLE ZI
12DB	et-zaa	ETHIOPIC SYLLABLE ZAA
12DC	et-zee	ETHIOPIC SYLLABLE ZEE
12DD	et-ze	ETHIOPIC SYLLABLE ZE
12DE	et-zo	ETHIOPIC SYLLABLE ZO
12DF	et-zwa	ETHIOPIC SYLLABLE ZWA
12E0	et-zha	ETHIOPIC SYLLABLE ZHA
12E1	et-zhu	ETHIOPIC SYLLABLE ZHU
12E2	et-zhi	ETHIOPIC SYLLABLE ZHI
12E3	et-zhaa	ETHIOPIC SYLLABLE ZHAA
12E4	et-zhee	ETHIOPIC SYLLABLE ZHEE
12E5	et-zhe	ETHIOPIC SYLLABLE ZHE
12E6	et-zho	ETHIOPIC SYLLABLE ZHO
12E7	et-zhwa	ETHIOPIC SYLLABLE ZHWA
12E8	et-ya	ETHIOPIC SYLLABLE YA
12E9	et-yu	ETHIOPIC SYLLABLE YU
12EA	et-yi	ETHIOPIC SYLLABLE YI
12EB	et-yaa	ETHIOPIC SYLLABLE YAA
12EC	et-yee	ETHIOPIC SYLLABLE YEE
12ED	et-ye	ETHIOPIC SYLLABLE YE
12EE	et-yo	ETHIOPIC SYLLABLE YO
12EF	et-yoa	ETHIOPIC SYLLABLE YOA
12F0	et-da	ETHIOPIC SYLLABLE DA
12F1	et-du	ETHIOPIC SYLLABLE DU
