# Box Drawing 2500 - 257F
2541	bxdr-dnheavyuphorzlight	BOX DRAWINGS DOWN HEAVY AND UP HORIZONTAL LIGHT
2542	bxdr-vertheavyhorzlight	BOX DRAWINGS VERTICAL HEAVY AND HORIZONTAL LIGHT
2543	bxdr-leftupheavyrightdnlight	BOX DRAWINGS LEFT UP HEAVY AND RIGHT DOWN LIGHT
2544	bxdr-rightupheavyleftdnlight	BOX DRAWINGS RIGHT UP HEAVY AND LEFT DOWN LIGHT
2545	bxdr-leftdnheavyrightuplight	BOX DRAWINGS LEFT DOWN HEAVY AND RIGHT UP LIGHT
2546	bxdr-rightdnheavyleftuplight	BOX DRAWINGS RIGHT DOWN HEAVY AND LEFT UP LIGHT
2547	bxdr-dnlightuphorzheavy	BOX DRAWINGS DOWN LIGHT AND UP HORIZONTAL HEAVY
2548	bxdr-uplightdnhorzheavy	BOX DRAWINGS UP LIGHT AND DOWN HORIZONTAL HEAVY
2549	bxdr-rightlightleftvertheavy	BOX DRAWINGS RIGHT LIGHT AND LEFT VERTICAL HEAVY
254A	bxdr-leftlightrightvertheavy	BOX DRAWINGS LEFT LIGHT AND RIGHT VERTICAL HEAVY
254B	bxdr-heavyverthorz	BOX DRAWINGS HEAVY VERTICAL AND HORIZONTAL
254C	bxdr-lightdbldashhorz	BOX DRAWINGS LIGHT DOUBLE DASH HORIZONTAL
254D	bxdr-heavydbldashhorz	BOX DRAWINGS HEAVY DOUBLE DASH HORIZONTAL
254E	bxdr-lightdbldashvert	BOX DRAWINGS LIGHT DOUBLE DASH VERTICAL
254F	bxdr-heavydbldashvert	BOX DRAWINGS HEAVY DOUBLE DASH VERTICAL
2550	bxdr-dblhorz	BOX DRAWINGS DOUBLE HORIZONTAL
2551	bxdr-dblvert	BOX DRAWINGS DOUBLE VERTICAL
2552	bxdr-dnsngrightdbl	BOX DRAWINGS DOWN SINGLE AND RIGHT DOUBLE
2553	bxdr-dndblrightsng	BOX DRAWINGS DOWN DOUBLE AND RIGHT SINGLE
2554	bxdr-dbldnright	BOX DRAWINGS DOUBLE DOWN AND RIGHT
2555	bxdr-dnsngleftdbl	BOX DRAWINGS DOWN SINGLE AND LEFT DOUBLE
2556	bxdr-dndblleftsng	BOX DRAWINGS DOWN DOUBLE AND LEFT SINGLE
2557	bxdr-dbldnleft	BOX DRAWINGS DOUBLE DOWN AND LEFT
2558	bxdr-upsngrightdbl	BOX DRAWINGS UP SINGLE AND RIGHT DOUBLE
2559	bxdr-updblrightsng	BOX DRAWINGS UP DOUBLE AND RIGHT SINGLE
255A	bxdr-dblupright	BOX DRAWINGS DOUBLE UP AND RIGHT
255B	bxdr-upsngleftdbl	BOX DRAWINGS UP SINGLE AND LEFT DOUBLE
255C	bxdr-updblleftsng	BOX DRAWINGS UP DOUBLE AND LEFT SINGLE
255D	bxdr-dblupleft	BOX DRAWINGS DOUBLE UP AND LEFT
255E	bxdr-vertsngrightdbl	BOX DRAWINGS VERTICAL SINGLE AND RIGHT DOUBLE
255F	bxdr-vertdblrightsng	BOX DRAWINGS VERTICAL DOUBLE AND RIGHT SINGLE
2560	bxdr-dblvertright	BOX DRAWINGS DOUBLE VERTICAL AND RIGHT
2561	bxdr-vertsngleftdbl	BOX DRAWINGS VERTICAL SINGLE AND LEFT DOUBLE
2562	bxdr-vertdblleftsng	BOX DRAWINGS VERTICAL DOUBLE AND LEFT SINGLE
2563	bxdr-dblvertleft	BOX DRAWINGS DOUBLE VERTICAL AND LEFT
2564	bxdr-dnsnghorzdbl	BOX DRAWINGS DOWN SINGLE AND HORIZONTAL DOUBLE
2565	bxdr-dndblhorzsng	BOX DRAWINGS DOWN DOUBLE AND HORIZONTAL SINGLE
2566	bxdr-dbldnhorz	BOX DRAWINGS DOUBLE DOWN AND HORIZONTAL
2567	bxdr-upsnghorzdbl	BOX DRAWINGS UP SINGLE AND HORIZONTAL DOUBLE
2568	bxdr-updblhorzsng	BOX DRAWINGS UP DOUBLE AND HORIZONTAL SINGLE
2569	bxdr-dbluphorz	BOX DRAWINGS DOUBLE UP AND HORIZONTAL
256A	bxdr-vertsnghorzdbl	BOX DRAWINGS VERTICAL SINGLE AND HORIZONTAL DOUBLE
256B	bxdr-vertdblhorzsng	BOX DRAWINGS VERTICAL DOUBLE AND HORIZONTAL SINGLE
256C	bxdr-dblverthorz	BOX DRAWINGS DOUBLE VERTICAL AND HORIZONTAL
256D	bxdr-lightarcdnright	BOX DRAWINGS LIGHT ARC DOWN AND RIGHT
256E	bxdr-lightarcdnleft	BOX DRAWINGS LIGHT ARC DOWN AND LEFT
256F	bxdr-lightarcupleft	BOX DRAWINGS LIGHT ARC UP AND LEFT
2570	bxdr-lightarcupright	BOX DRAWINGS LIGHT ARC UP AND RIGHT
2571	bxdr-lightdiaguprightdnleft	BOX DRAWINGS LIGHT DIAGONAL UPPER RIGHT TO LOWER LEFT
