# Arrows 2190 - 21FF
2190	rrws-arrowleft	LEFTWARDS ARROW
21E1	rrws-arrowupdashed	UPWARDS DASHED ARROW
21E2	rrws-arrowrightdashed	RIGHTWARDS DASHED ARROW
21E3	rrws-arrowdowndashed	DOWNWARDS DASHED ARROW
21E4	rrws-arrowlefttobar	LEFTWARDS ARROW TO BAR
21E5	rrws-arrowrighttobar	RIGHTWARDS ARROW TO BAR
21E6	rrws-whitearrowleft	LEFTWARDS WHITE ARROW
21E7	rrws-whitearrowup	UPWARDS WHITE ARROW
21E8	rrws-whitearrowright	RIGHTWARDS WHITE ARROW
21E9	rrws-whitearrowdown	DOWNWARDS WHITE ARROW
21EA	rrws-whitearrowupfrombar	UPWARDS WHITE ARROW FROM BAR
21EB	rrws-whitearrowonpedestalup	UPWARDS WHITE ARROW ON PEDESTAL
21EC	rrws-horizontalbarwhitearrowonpedestalup	UPWARDS WHITE ARROW ON PEDESTAL WITH HORIZONTAL BAR
21ED	rrws-verticalbarwhitearrowonpedestalup	UPWARDS WHITE ARROW ON PEDESTAL WITH VERTICAL BAR
21EE	rrws-whitedblarrowup	UPWARDS WHITE DOUBLE ARROW
21EF	rrws-whitedblarrowonpedestalup	UPWARDS WHITE DOUBLE ARROW ON PEDESTAL
21F0	rrws-whitearrowfromwallright	RIGHTWARDS WHITE ARROW FROM WALL
21F1	rrws-tocornerarrowNW	NORTH WEST ARROW TO CORNER
21F2	rrws-tocornerarrowSE	SOUTH EAST ARROW TO CORNER
21F3	rrws-whitearrowupdown	UP DOWN WHITE ARROW
21F4	rrws-arrowrightsmallcircle	RIGHT ARROW WITH SMALL CIRCLE
21F5	rrws-downwarrowleftofuparrow	DOWNWARDS ARROW LEFTWARDS OF UPWARDS ARROW
21F6	rrws-threerightarrows	THREE RIGHTWARDS ARROWS
21F7	rrws-verticalstrokearrowleft	LEFTWARDS ARROW WITH VERTICAL STROKE
21F8	rrws-verticalstrokearrowright	RIGHTWARDS ARROW WITH VERTICAL STROKE
21F9	rrws-verticalstrokearrowleftright	LEFT RIGHT ARROW WITH VERTICAL STROKE
21FA	rrws-verticalsdbltrokearrowleft	LEFTWARDS ARROW WITH DOUBLE VERTICAL STROKE
21FB	rrws-verticalsdbltrokearrowright	RIGHTWARDS ARROW WITH DOUBLE VERTICAL STROKE
21FC	rrws-verticalsdbltrokearrowleftright	LEFT RIGHT ARROW WITH DOUBLE VERTICAL STROKE
21FD	rrws-openheadarrowleft	LEFTWARDS OPEN-HEADED ARROW
21FE	rrws-openheadarrowright	RIGHTWARDS OPEN-HEADED ARROW
21FF	rrws-openheadarrowleftright	LEFT RIGHT OPEN-HEADED ARROW
