# Domino Tiles 1F030 - 1F09F
1F07D	dmnt-dominotilevertical0305	DOMINO TILE VERTICAL-03-05
1F07E	dmnt-dominotilevertical0306	DOMINO TILE VERTICAL-03-06
1F07F	dmnt-dominotilevertical0400	DOMINO TILE VERTICAL-04-00
1F080	dmnt-dominotilevertical0401	DOMINO TILE VERTICAL-04-01
1F081	dmnt-dominotilevertical0402	DOMINO TILE VERTICAL-04-02
1F082	dmnt-dominotilevertical0403	DOMINO TILE VERTICAL-04-03
1F083	dmnt-dominotilevertical0404	DOMINO TILE VERTICAL-04-04
1F084	dmnt-dominotilevertical0405	DOMINO TILE VERTICAL-04-05
1F085	dmnt-dominotilevertical0406	DOMINO TILE VERTICAL-04-06
1F086	dmnt-dominotilevertical0500	DOMINO TILE VERTICAL-05-00
1F087	dmnt-dominotilevertical0501	DOMINO TILE VERTICAL-05-01
1F088	dmnt-dominotilevertical0502	DOMINO TILE VERTICAL-05-02
1F089	dmnt-dominotilevertical0503	DOMINO TILE VERTICAL-05-03
1F08A	dmnt-dominotilevertical0504	DOMINO TILE VERTICAL-05-04
1F08B	dmnt-dominotilevertical0505	DOMINO TILE VERTICAL-05-05
1F08C	dmnt-dominotilevertical0506	DOMINO TILE VERTICAL-05-06
1F08D	dmnt-dominotilevertical0600	DOMINO TILE VERTICAL-06-00
1F08E	dmnt-dominotilevertical0601	DOMINO TILE VERTICAL-06-01
1F08F	dmnt-dominotilevertical0602	DOMINO TILE VERTICAL-06-02
1F090	dmnt-dominotilevertical0603	DOMINO TILE VERTICAL-06-03
1F091	dmnt-dominotilevertical0604	DOMINO TILE VERTICAL-06-04
1F092	dmnt-dominotilevertical0605	DOMINO TILE VERTICAL-06-05
1F093	dmnt-dominotilevertical0606	DOMINO TILE VERTICAL-06-06
