# Cuneiform 12000 - 123FF
12049	cnfr-cuneiformsignbi	CUNEIFORM SIGN BI
1204A	cnfr-cuneiformsignbitimesa	CUNEIFORM SIGN BI TIMES A
1204B	cnfr-cuneiformsignbitimesgar	CUNEIFORM SIGN BI TIMES GAR
1204C	cnfr-cuneiformsignbitimesigigunu	CUNEIFORM SIGN BI TIMES IGI GUNU
1204D	cnfr-cuneiformsignbu	CUNEIFORM SIGN BU
1204E	cnfr-cuneiformsignbuoverbuab	CUNEIFORM SIGN BU OVER BU AB
1204F	cnfr-cuneiformsignbuoverbuun	CUNEIFORM SIGN BU OVER BU UN
12050	cnfr-cuneiformsignbucrossingbu	CUNEIFORM SIGN BU CROSSING BU
12051	cnfr-cuneiformsignbulug	CUNEIFORM SIGN BULUG
12052	cnfr-cuneiformsignbulugoverbulug	CUNEIFORM SIGN BULUG OVER BULUG
12053	cnfr-cuneiformsignbur	CUNEIFORM SIGN BUR
12054	cnfr-cuneiformsignbur2	CUNEIFORM SIGN BUR2
12055	cnfr-cuneiformsignda	CUNEIFORM SIGN DA
12056	cnfr-cuneiformsigndag	CUNEIFORM SIGN DAG
12057	cnfr-cuneiformsigndagkisim5timesaplusmash	CUNEIFORM SIGN DAG KISIM5 TIMES A PLUS MASH
12058	cnfr-cuneiformsigndagkisim5timesamar	CUNEIFORM SIGN DAG KISIM5 TIMES AMAR
12059	cnfr-cuneiformsigndagkisim5timesbalag	CUNEIFORM SIGN DAG KISIM5 TIMES BALAG
1205A	cnfr-cuneiformsigndagkisim5timesbi	CUNEIFORM SIGN DAG KISIM5 TIMES BI
1205B	cnfr-cuneiformsigndagkisim5timesga	CUNEIFORM SIGN DAG KISIM5 TIMES GA
1205C	cnfr-cuneiformsigndagkisim5timesgaplusmash	CUNEIFORM SIGN DAG KISIM5 TIMES GA PLUS MASH
1205D	cnfr-cuneiformsigndagkisim5timesgi	CUNEIFORM SIGN DAG KISIM5 TIMES GI
1205E	cnfr-cuneiformsigndagkisim5timesgir2	CUNEIFORM SIGN DAG KISIM5 TIMES GIR2
1205F	cnfr-cuneiformsigndagkisim5timesgud	CUNEIFORM SIGN DAG KISIM5 TIMES GUD
12060	cnfr-cuneiformsigndagkisim5timesha	CUNEIFORM SIGN DAG KISIM5 TIMES HA
12061	cnfr-cuneiformsigndagkisim5timesir	CUNEIFORM SIGN DAG KISIM5 TIMES IR
12062	cnfr-cuneiformsigndagkisim5timesirpluslu	CUNEIFORM SIGN DAG KISIM5 TIMES IR PLUS LU
12063	cnfr-cuneiformsigndagkisim5timeskak	CUNEIFORM SIGN DAG KISIM5 TIMES KAK
12064	cnfr-cuneiformsigndagkisim5timesla	CUNEIFORM SIGN DAG KISIM5 TIMES LA
12065	cnfr-cuneiformsigndagkisim5timeslu	CUNEIFORM SIGN DAG KISIM5 TIMES LU
12066	cnfr-cuneiformsigndagkisim5timesluplusmash2	CUNEIFORM SIGN DAG KISIM5 TIMES LU PLUS MASH2
12067	cnfr-cuneiformsigndagkisim5timeslum	CUNEIFORM SIGN DAG KISIM5 TIMES LUM
12068	cnfr-cuneiformsigndagkisim5timesne	CUNEIFORM SIGN DAG KISIM5 TIMES NE
12069	cnfr-cuneiformsigndagkisim5timespappluspap	CUNEIFORM SIGN DAG KISIM5 TIMES PAP PLUS PAP
1206A	cnfr-cuneiformsigndagkisim5timessi	CUNEIFORM SIGN DAG KISIM5 TIMES SI
1206B	cnfr-cuneiformsigndagkisim5timestak4	CUNEIFORM SIGN DAG KISIM5 TIMES TAK4
1206C	cnfr-cuneiformsigndagkisim5timesu2plusgir2	CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS GIR2
1206D	cnfr-cuneiformsigndagkisim5timesush	CUNEIFORM SIGN DAG KISIM5 TIMES USH
1206E	cnfr-cuneiformsigndam	CUNEIFORM SIGN DAM
1206F	cnfr-cuneiformsigndar	CUNEIFORM SIGN DAR
12070	cnfr-cuneiformsigndara3	CUNEIFORM SIGN DARA3
12071	cnfr-cuneiformsigndara4	CUNEIFORM SIGN DARA4
12072	cnfr-cuneiformsigndi	CUNEIFORM SIGN DI
12073	cnfr-cuneiformsigndib	CUNEIFORM SIGN DIB
12074	cnfr-cuneiformsigndim	CUNEIFORM SIGN DIM
12075	cnfr-cuneiformsigndimtimesshe	CUNEIFORM SIGN DIM TIMES SHE
12076	cnfr-cuneiformsigndim2	CUNEIFORM SIGN DIM2
12077	cnfr-cuneiformsigndin	CUNEIFORM SIGN DIN
12078	cnfr-cuneiformsigndinkaskalugunudish	CUNEIFORM SIGN DIN KASKAL U GUNU DISH
12079	cnfr-cuneiformsigndish	CUNEIFORM SIGN DISH
1207A	cnfr-cuneiformsigndu	CUNEIFORM SIGN DU
1207B	cnfr-cuneiformsignduoverdu	CUNEIFORM SIGN DU OVER DU
1207C	cnfr-cuneiformsigndugunu	CUNEIFORM SIGN DU GUNU
1207D	cnfr-cuneiformsigndusheshig	CUNEIFORM SIGN DU SHESHIG
1207E	cnfr-cuneiformsigndub	CUNEIFORM SIGN DUB
1207F	cnfr-cuneiformsigndubtimesesh2	CUNEIFORM SIGN DUB TIMES ESH2
12080	cnfr-cuneiformsigndub2	CUNEIFORM SIGN DUB2
12081	cnfr-cuneiformsigndug	CUNEIFORM SIGN DUG
12082	cnfr-cuneiformsigndugud	CUNEIFORM SIGN DUGUD
12083	cnfr-cuneiformsignduh	CUNEIFORM SIGN DUH
12084	cnfr-cuneiformsigndun	CUNEIFORM SIGN DUN
12085	cnfr-cuneiformsigndun3	CUNEIFORM SIGN DUN3
12086	cnfr-cuneiformsigndun3gunu	CUNEIFORM SIGN DUN3 GUNU
12087	cnfr-cuneiformsigndun3gunugunu	CUNEIFORM SIGN DUN3 GUNU GUNU
