# Variation Selectors Supplement E0100 - E01EF
E016D	vrtn-variationselector126	VARIATION SELECTOR-126
E016E	vrtn-variationselector127	VARIATION SELECTOR-127
E016F	vrtn-variationselector128	VARIATION SELECTOR-128
E0170	vrtn-variationselector129	VARIATION SELECTOR-129
E0171	vrtn-variationselector130	VARIATION SELECTOR-130
E0172	vrtn-variationselector131	VARIATION SELECTOR-131
E0173	vrtn-variationselector132	VARIATION SELECTOR-132
E0174	vrtn-variationselector133	VARIATION SELECTOR-133
E0175	vrtn-variationselector134	VARIATION SELECTOR-134
E0176	vrtn-variationselector135	VARIATION SELECTOR-135
E0177	vrtn-variationselector136	VARIATION SELECTOR-136
E0178	vrtn-variationselector137	VARIATION SELECTOR-137
E0179	vrtn-variationselector138	VARIATION SELECTOR-138
E017A	vrtn-variationselector139	VARIATION SELECTOR-139
E017B	vrtn-variationselector140	VARIATION SELECTOR-140
E017C	vrtn-variationselector141	VARIATION SELECTOR-141
E017D	vrtn-variationselector142	VARIATION SELECTOR-142
E017E	vrtn-variationselector143	VARIATION SELECTOR-143
E017F	vrtn-variationselector144	VARIATION SELECTOR-144
E0180	vrtn-variationselector145	VARIATION SELECTOR-145
E0181	vrtn-variationselector146	VARIATION SELECTOR-146
E0182	vrtn-variationselector147	VARIATION SELECTOR-147
E0183	vrtn-variationselector148	VARIATION SELECTOR-148
E0184	vrtn-variationselector149	VARIATION SELECTOR-149
E0185	vrtn-variationselector150	VARIATION SELECTOR-150
E0186	vrtn-variationselector151	VARIATION SELECTOR-151
E0187	vrtn-variationselector152	VARIATION SELECTOR-152
E0188	vrtn-variationselector153	VARIATION SELECTOR-153
E0189	vrtn-variationselector154	VARIATION SELECTOR-154
E018A	vrtn-variationselector155	VARIATION SELECTOR-155
E018B	vrtn-variationselector156	VARIATION SELECTOR-156
E018C	vrtn-variationselector157	VARIATION SELECTOR-157
E018D	vrtn-variationselector158	VARIATION SELECTOR-158
E018E	vrtn-variationselector159	VARIATION SELECTOR-159
E018F	vrtn-variationselector160	VARIATION SELECTOR-160
E0190	vrtn-variationselector161	VARIATION SELECTOR-161
E0191	vrtn-variationselector162	VARIATION SELECTOR-162
E0192	vrtn-variationselector163	VARIATION SELECTOR-163
E0193	vrtn-variationselector164	VARIATION SELECTOR-164
E0194	vrtn-variationselector165	VARIATION SELECTOR-165
E0195	vrtn-variationselector166	VARIATION SELECTOR-166
E0196	vrtn-variationselector167	VARIATION SELECTOR-167
E0197	vrtn-variationselector168	VARIATION SELECTOR-168
E0198	vrtn-variationselector169	VARIATION SELECTOR-169
E0199	vrtn-variationselector170	VARIATION SELECTOR-170
E019A	vrtn-variationselector171	VARIATION SELECTOR-171
E019B	vrtn-variationselector172	VARIATION SELECTOR-172
E019C	vrtn-variationselector173	VARIATION SELECTOR-173
E019D	vrtn-variationselector174	VARIATION SELECTOR-174
E019E	vrtn-variationselector175	VARIATION SELECTOR-175
E019F	vrtn-variationselector176	VARIATION SELECTOR-176
E01A0	vrtn-variationselector177	VARIATION SELECTOR-177
E01A1	vrtn-variationselector178	VARIATION SELECTOR-178
E01A2	vrtn-variationselector179	VARIATION SELECTOR-179
E01A3	vrtn-variationselector180	VARIATION SELECTOR-180
E01A4	vrtn-variationselector181	VARIATION SELECTOR-181
E01A5	vrtn-variationselector182	VARIATION SELECTOR-182
E01A6	vrtn-variationselector183	VARIATION SELECTOR-183
E01A7	vrtn-variationselector184	VARIATION SELECTOR-184
E01A8	vrtn-variationselector185	VARIATION SELECTOR-185
E01A9	vrtn-variationselector186	VARIATION SELECTOR-186
E01AA	vrtn-variationselector187	VARIATION SELECTOR-187
E01AB	vrtn-variationselector188	VARIATION SELECTOR-188
E01AC	vrtn-variationselector189	VARIATION SELECTOR-189
E01AD	vrtn-variationselector190	VARIATION SELECTOR-190
E01AE	vrtn-variationselector191	VARIATION SELECTOR-191
E01AF	vrtn-variationselector192	VARIATION SELECTOR-192
E01B0	vrtn-variationselector193	VARIATION SELECTOR-193
E01B1	vrtn-variationselector194	VARIATION SELECTOR-194
E01B2	vrtn-variationselector195	VARIATION SELECTOR-195
E01B3	vrtn-variationselector196	VARIATION SELECTOR-196
E01B4	vrtn-variationselector197	VARIATION SELECTOR-197
E01B5	vrtn-variationselector198	VARIATION SELECTOR-198
E01B6	vrtn-variationselector199	VARIATION SELECTOR-199
E01B7	vrtn-variationselector200	VARIATION SELECTOR-200
E01B8	vrtn-variationselector201	VARIATION SELECTOR-201
E01B9	vrtn-variationselector202	VARIATION SELECTOR-202
E01BA	vrtn-variationselector203	VARIATION SELECTOR-203
E01BB	vrtn-variationselector204	VARIATION SELECTOR-204
E01BC	vrtn-variationselector205	VARIATION SELECTOR-205
E01BD	vrtn-variationselector206	VARIATION SELECTOR-206
E01BE	vrtn-variationselector207	VARIATION SELECTOR-207
E01BF	vrtn-variationselector208	VARIATION SELECTOR-208
E01C0	vrtn-variationselector209	VARIATION SELECTOR-209
E01C1	vrtn-variationselector210	VARIATION SELECTOR-210
E01C2	vrtn-variationselector211	VARIATION SELECTOR-211
E01C3	vrtn-variationselector212	VARIATION SELECTOR-212
E01C4	vrtn-variationselector213	VARIATION SELECTOR-213
E01C5	vrtn-variationselector214	VARIATION SELECTOR-214
E01C6	vrtn-variationselector215	VARIATION SELECTOR-215
E01C7	vrtn-variationselector216	VARIATION SELECTOR-216
E01C8	vrtn-variationselector217	VARIATION SELECTOR-217
E01C9	vrtn-variationselector218	VARIATION SELECTOR-218
E01CA	vrtn-variationselector219	VARIATION SELECTOR-219
E01CB	vrtn-variationselector220	VARIATION SELECTOR-220
E01CC	vrtn-variationselector221	VARIATION SELECTOR-221
E01CD	vrtn-variationselector222	VARIATION SELECTOR-222
E01CE	vrtn-variationselector223	VARIATION SELECTOR-223
E01CF	vrtn-variationselector224	VARIATION SELECTOR-224
E01D0	vrtn-variationselector225	VARIATION SELECTOR-225
E01D1	vrtn-variationselector226	VARIATION SELECTOR-226
E01D2	vrtn-variationselector227	VARIATION SELECTOR-227
E01D3	vrtn-variationselector228	VARIATION SELECTOR-228
E01D4	vrtn-variationselector229	VARIATION SELECTOR-229
E01D5	vrtn-variationselector230	VARIATION SELECTOR-230
E01D6	vrtn-variationselector231	VARIATION SELECTOR-231
E01D7	vrtn-variationselector232	VARIATION SELECTOR-232
E01D8	vrtn-variationselector233	VARIATION SELECTOR-233
E01D9	vrtn-variationselector234	VARIATION SELECTOR-234
E01DA	vrtn-variationselector235	VARIATION SELECTOR-235
E01DB	vrtn-variationselector236	VARIATION SELECTOR-236
E01DC	vrtn-variationselector237	VARIATION SELECTOR-237
E01DD	vrtn-variationselector238	VARIATION SELECTOR-238
E01DE	vrtn-variationselector239	VARIATION SELECTOR-239
E01DF	vrtn-variationselector240	VARIATION SELECTOR-240
E01E0	vrtn-variationselector241	VARIATION SELECTOR-241
E01E1	vrtn-variationselector242	VARIATION SELECTOR-242
E01E2	vrtn-variationselector243	VARIATION SELECTOR-243
E01E3	vrtn-variationselector244	VARIATION SELECTOR-244
E01E4	vrtn-variationselector245	VARIATION SELECTOR-245
E01E5	vrtn-variationselector246	VARIATION SELECTOR-246
E01E6	vrtn-variationselector247	VARIATION SELECTOR-247
E01E7	vrtn-variationselector248	VARIATION SELECTOR-248
E01E8	vrtn-variationselector249	VARIATION SELECTOR-249
E01E9	vrtn-variationselector250	VARIATION SELECTOR-250
E01EA	vrtn-variationselector251	VARIATION SELECTOR-251
E01EB	vrtn-variationselector252	VARIATION SELECTOR-252
E01EC	vrtn-variationselector253	VARIATION SELECTOR-253
E01ED	vrtn-variationselector254	VARIATION SELECTOR-254
E01EE	vrtn-variationselector255	VARIATION SELECTOR-255
E01EF	vrtn-variationselector256	VARIATION SELECTOR-256
