# Miscellaneous Symbols 2600 - 26FF
267A	mscl-recyclegeneric	RECYCLING SYMBOL FOR GENERIC MATERIALS
267B	mscl-recycleuniversalblack	BLACK UNIVERSAL RECYCLING SYMBOL
267C	mscl-recycledpaper	RECYCLED PAPER SYMBOL
267D	mscl-recyclepartiallypaper	PARTIALLY-RECYCLED PAPER SYMBOL
267E	mscl-permanentpaper	PERMANENT PAPER SIGN
267F	mscl-wheelchair	WHEELCHAIR SYMBOL
2680	mscl-dieone	DIE FACE-1
2681	mscl-dietwo	DIE FACE-2
2682	mscl-diethree	DIE FACE-3
2683	mscl-diefour	DIE FACE-4
2684	mscl-diefive	DIE FACE-5
2685	mscl-diesix	DIE FACE-6
2686	mscl-circledotrightwhite	WHITE CIRCLE WITH DOT RIGHT
2687	mscl-circletwodotswhite	WHITE CIRCLE WITH TWO DOTS
2688	mscl-circlewhitedotrightblack	BLACK CIRCLE WITH WHITE DOT RIGHT
2689	mscl-circletwodotsblackwhite	BLACK CIRCLE WITH TWO WHITE DOTS
268A	mscl-monogramyang	MONOGRAM FOR YANG
268B	mscl-monogramyin	MONOGRAM FOR YIN
268C	mscl-digramgreateryang	DIGRAM FOR GREATER YANG
268D	mscl-digramlesseryin	DIGRAM FOR LESSER YIN
268E	mscl-digramlesseryang	DIGRAM FOR LESSER YANG
268F	mscl-digramgreateryin	DIGRAM FOR GREATER YIN
2690	mscl-flagwhite	WHITE FLAG
2691	mscl-flagblack	BLACK FLAG
2692	mscl-hammerpick	HAMMER AND PICK
2693	mscl-anchor	ANCHOR
2694	mscl-crossedswords	CROSSED SWORDS
2695	mscl-staffofaesculapius	STAFF OF AESCULAPIUS
2696	mscl-scales	SCALES
2697	mscl-alembic	ALEMBIC
2698	mscl-flower	FLOWER
2699	mscl-gear	GEAR
269A	mscl-staffofhermes	STAFF OF HERMES
269B	mscl-atom	ATOM SYMBOL
269C	mscl-fleurdelis	FLEUR-DE-LIS
269D	mscl-staroutlinedwhite	OUTLINED WHITE STAR
269E	mscl-threelinesconvergingright	THREE LINES CONVERGING RIGHT
269F	mscl-threelinesconvergingleft	THREE LINES CONVERGING LEFT
26A0	mscl-warning	WARNING SIGN
26A1	mscl-highvoltage	HIGH VOLTAGE SIGN
26A2	mscl-dfemaledbl	DOUBLED FEMALE SIGN
26A3	mscl-dmaledbl	DOUBLED MALE SIGN
26A4	mscl-interlockedfemalemale	INTERLOCKED FEMALE AND MALE SIGN
26A5	mscl-malefemale	MALE AND FEMALE SIGN
26A6	mscl-malestroke	MALE WITH STROKE SIGN
26A7	mscl-malestrokemalefemale	MALE WITH STROKE AND MALE AND FEMALE SIGN
26A8	mscl-verticalmalestroke	VERTICAL MALE WITH STROKE SIGN
26A9	mscl-horizontalmalestroke	HORIZONTAL MALE WITH STROKE SIGN
26AA	mscl-mediumcirclewhite	MEDIUM WHITE CIRCLE
26AB	mscl-mediumcircleblack	MEDIUM BLACK CIRCLE
26AC	mscl-mediumsmallcirclewhite	MEDIUM SMALL WHITE CIRCLE
26AD	mscl-marriage	MARRIAGE SYMBOL
26AE	mscl-divorce	DIVORCE SYMBOL
26AF	mscl-unmarriedpartnership	UNMARRIED PARTNERSHIP SYMBOL
26B0	mscl-coffin	COFFIN
26B1	mscl-funeralurn	FUNERAL URN
26B2	mscl-neuter	NEUTER
26B3	mscl-ceres	CERES
26B4	mscl-pallas	PALLAS
26B5	mscl-juno	JUNO
26B6	mscl-vesta	VESTA
26B7	mscl-chiron	CHIRON
26B8	mscl-moonlilithblack	BLACK MOON LILITH
26B9	mscl-sextile	SEXTILE
26BA	mscl-semisextile	SEMISEXTILE
26BB	mscl-quincunx	QUINCUNX
26BC	mscl-sesquiquadrate	SESQUIQUADRATE
26BD	mscl-soccerball	SOCCER BALL
26BE	mscl-baseball	BASEBALL
26BF	mscl-squaredkey	SQUARED KEY
26C0	mscl-draughtsmanwhite	WHITE DRAUGHTS MAN
