# Supplemental Mathematical Operators 2A00 - 2AFF
2A4E	sppl-doublesquareintersection	DOUBLE SQUARE INTERSECTION
2A4F	sppl-doublesquareunion	DOUBLE SQUARE UNION
2A50	sppl-closedunionwithserifsandsmashproduct	CLOSED UNION WITH SERIFS AND SMASH PRODUCT
2A51	sppl-logicalandwithdotabove	LOGICAL AND WITH DOT ABOVE
2A52	sppl-logicalorwithdotabove	LOGICAL OR WITH DOT ABOVE
2A53	sppl-doublelogicaland	DOUBLE LOGICAL AND
2A54	sppl-doublelogicalor	DOUBLE LOGICAL OR
2A55	sppl-twointersectinglogicaland	TWO INTERSECTING LOGICAL AND
2A56	sppl-twointersectinglogicalor	TWO INTERSECTING LOGICAL OR
2A57	sppl-slopinglargeor	SLOPING LARGE OR
2A58	sppl-slopinglargeand	SLOPING LARGE AND
2A59	sppl-logicaloroverlappinglogicaland	LOGICAL OR OVERLAPPING LOGICAL AND
2A5A	sppl-logicalandwithmiddlestem	LOGICAL AND WITH MIDDLE STEM
2A5B	sppl-logicalorwithmiddlestem	LOGICAL OR WITH MIDDLE STEM
2A5C	sppl-logicalandwithhorizontaldash	LOGICAL AND WITH HORIZONTAL DASH
2A5D	sppl-logicalorwithhorizontaldash	LOGICAL OR WITH HORIZONTAL DASH
2A5E	sppl-logicalandwithdoubleoverbar	LOGICAL AND WITH DOUBLE OVERBAR
2A5F	sppl-logicalandwithunderbar	LOGICAL AND WITH UNDERBAR
2A60	sppl-logicalandwithdoubleunderbar	LOGICAL AND WITH DOUBLE UNDERBAR
2A61	sppl-smallveewithunderbar	SMALL VEE WITH UNDERBAR
2A62	sppl-logicalorwithdoubleoverbar	LOGICAL OR WITH DOUBLE OVERBAR
2A63	sppl-logicalorwithdoubleunderbar	LOGICAL OR WITH DOUBLE UNDERBAR
2A64	sppl-znotationdomainantirestriction	Z NOTATION DOMAIN ANTIRESTRICTION
2A65	sppl-znotationrangeantirestriction	Z NOTATION RANGE ANTIRESTRICTION
2A66	sppl-equalssignwithdotbelow	EQUALS SIGN WITH DOT BELOW
2A67	sppl-identicalwithdotabove	IDENTICAL WITH DOT ABOVE
2A68	sppl-triplehorizontalbarwithdoubleverticalstroke	TRIPLE HORIZONTAL BAR WITH DOUBLE VERTICAL STROKE
2A69	sppl-triplehorizontalbarwithtripleverticalstroke	TRIPLE HORIZONTAL BAR WITH TRIPLE VERTICAL STROKE
2A6A	sppl-tildeoperatorwithdotabove	TILDE OPERATOR WITH DOT ABOVE
2A6B	sppl-tildeoperatorwithrisingdots	TILDE OPERATOR WITH RISING DOTS
2A6C	sppl-similarminussimilar	SIMILAR MINUS SIMILAR
2A6D	sppl-congruentwithdotabove	CONGRUENT WITH DOT ABOVE
2A6E	sppl-equalswithasterisk	EQUALS WITH ASTERISK
2A6F	sppl-almostequaltowithcircumflexaccent	ALMOST EQUAL TO WITH CIRCUMFLEX ACCENT
2A70	sppl-approximatelyequalorequalto	APPROXIMATELY EQUAL OR EQUAL TO
2A71	sppl-equalssignaboveplussign	EQUALS SIGN ABOVE PLUS SIGN
2A72	sppl-plussignaboveequalssign	PLUS SIGN ABOVE EQUALS SIGN
2A73	sppl-equalssignabovetildeoperator	EQUALS SIGN ABOVE TILDE OPERATOR
2A74	sppl-doublecolonequal	DOUBLE COLON EQUAL
2A75	sppl-twoconsecutiveequalssigns	TWO CONSECUTIVE EQUALS SIGNS
2A76	sppl-threeconsecutiveequalssigns	THREE CONSECUTIVE EQUALS SIGNS
2A77	sppl-equalssignwithtwodotsaboveandtwodotsbelow	EQUALS SIGN WITH TWO DOTS ABOVE AND TWO DOTS BELOW
2A78	sppl-equivalentwithfourdotsabove	EQUIVALENT WITH FOUR DOTS ABOVE
2A79	sppl-lessthanwithcircleinside	LESS-THAN WITH CIRCLE INSIDE
