# Hangul Jamo 1100 - 11FF
114E	hangulchoseongchitueumcieuc	HANGUL CHOSEONG CHITUEUMCIEUC
114F	hangulchoseongchitueumssangcieuc	HANGUL CHOSEONG CHITUEUMSSANGCIEUC
1150	hangulchoseongceongchieumcieuc	HANGUL CHOSEONG CEONGCHIEUMCIEUC
1151	hangulchoseongceongchieumssangcieuc	HANGUL CHOSEONG CEONGCHIEUMSSANGCIEUC
1152	hangulchoseongchieuchkhieukh	HANGUL CHOSEONG CHIEUCH-KHIEUKH
1153	hangulchoseongchieuchhieuh	HANGUL CHOSEONG CHIEUCH-HIEUH
1154	hangulchoseongchitueumchieuch	HANGUL CHOSEONG CHITUEUMCHIEUCH
1155	hangulchoseongceongchieumchieuch	HANGUL CHOSEONG CEONGCHIEUMCHIEUCH
1156	hangulchoseongphieuphpieup	HANGUL CHOSEONG PHIEUPH-PIEUP
1157	hangulchoseongkapyeounphieuph	HANGUL CHOSEONG KAPYEOUNPHIEUPH
1158	hangulchoseongssanghieuh	HANGUL CHOSEONG SSANGHIEUH
1159	hangulchoseongyeorinhieuh	HANGUL CHOSEONG YEORINHIEUH
115A	hangulchoseongkiyeoktikeut	HANGUL CHOSEONG KIYEOK-TIKEUT
115B	hangulchoseongnieunsios	HANGUL CHOSEONG NIEUN-SIOS
115C	hangulchoseongnieuncieuc	HANGUL CHOSEONG NIEUN-CIEUC
115D	hangulchoseongnieunhieuh	HANGUL CHOSEONG NIEUN-HIEUH
115E	hangulchoseongtikeutrieul	HANGUL CHOSEONG TIKEUT-RIEUL
115F	hangulchoseongfiller	HANGUL CHOSEONG FILLER
1160	hanguljungseongfiller	HANGUL JUNGSEONG FILLER
1161	hanguljungseonga	HANGUL JUNGSEONG A
1162	hanguljungseongae	HANGUL JUNGSEONG AE
1163	hanguljungseongya	HANGUL JUNGSEONG YA
1164	hanguljungseongyae	HANGUL JUNGSEONG YAE
1165	hanguljungseongeo	HANGUL JUNGSEONG EO
1166	hanguljungseonge	HANGUL JUNGSEONG E
1167	hanguljungseongyeo	HANGUL JUNGSEONG YEO
1168	hanguljungseongye	HANGUL JUNGSEONG YE
1169	hanguljungseongo	HANGUL JUNGSEONG O
116A	hanguljungseongwa	HANGUL JUNGSEONG WA
116B	hanguljungseongwae	HANGUL JUNGSEONG WAE
116C	ko-hanguljungseongoe	HANGUL JUNGSEONG OE
116D	hanguljungseongyo	HANGUL JUNGSEONG YO
