# CJK Compatibility Ideographs F900 - FAFF
F943	cjk-cjkcompatibilityideographf943	CJK COMPATIBILITY IDEOGRAPH-F943
F944	cjk-cjkcompatibilityideographf944	CJK COMPATIBILITY IDEOGRAPH-F944
F945	cjk-cjkcompatibilityideographf945	CJK COMPATIBILITY IDEOGRAPH-F945
F946	cjk-cjkcompatibilityideographf946	CJK COMPATIBILITY IDEOGRAPH-F946
F947	cjk-cjkcompatibilityideographf947	CJK COMPATIBILITY IDEOGRAPH-F947
F948	cjk-cjkcompatibilityideographf948	CJK COMPATIBILITY IDEOGRAPH-F948
F949	cjk-cjkcompatibilityideographf949	CJK COMPATIBILITY IDEOGRAPH-F949
F94A	cjk-cjkcompatibilityideographf94a	CJK COMPATIBILITY IDEOGRAPH-F94A
F94B	cjk-cjkcompatibilityideographf94b	CJK COMPATIBILITY IDEOGRAPH-F94B
F94C	cjk-cjkcompatibilityideographf94c	CJK COMPATIBILITY IDEOGRAPH-F94C
F94D	cjk-cjkcompatibilityideographf94d	CJK COMPATIBILITY IDEOGRAPH-F94D
F94E	cjk-cjkcompatibilityideographf94e	CJK COMPATIBILITY IDEOGRAPH-F94E
F94F	cjk-cjkcompatibilityideographf94f	CJK COMPATIBILITY IDEOGRAPH-F94F
F950	cjk-cjkcompatibilityideographf950	CJK COMPATIBILITY IDEOGRAPH-F950
F951	cjk-cjkcompatibilityideographf951	CJK COMPATIBILITY IDEOGRAPH-F951
F952	cjk-cjkcompatibilityideographf952	CJK COMPATIBILITY IDEOGRAPH-F952
F953	cjk-cjkcompatibilityideographf953	CJK COMPATIBILITY IDEOGRAPH-F953
F954	cjk-cjkcompatibilityideographf954	CJK COMPATIBILITY IDEOGRAPH-F954
F955	cjk-cjkcompatibilityideographf955	CJK COMPATIBILITY IDEOGRAPH-F955
F956	cjk-cjkcompatibilityideographf956	CJK COMPATIBILITY IDEOGRAPH-F956
F957	cjk-cjkcompatibilityideographf957	CJK COMPATIBILITY IDEOGRAPH-F957
F958	cjk-cjkcompatibilityideographf958	CJK COMPATIBILITY IDEOGRAPH-F958
F959	cjk-cjkcompatibilityideographf959	CJK COMPATIBILITY IDEOGRAPH-F959
F95A	cjk-cjkcompatibilityideographf95a	CJK COMPATIBILITY IDEOGRAPH-F95A
F95B	cjk-cjkcompatibilityideographf95b	CJK COMPATIBILITY IDEOGRAPH-F95B
F95C	cjk-cjkcompatibilityideographf95c	CJK COMPATIBILITY IDEOGRAPH-F95C
F95D	cjk-cjkcompatibilityideographf95d	CJK COMPATIBILITY IDEOGRAPH-F95D
F95E	cjk-cjkcompatibilityideographf95e	CJK COMPATIBILITY IDEOGRAPH-F95E
F95F	cjk-cjkcompatibilityideographf95f	CJK COMPATIBILITY IDEOGRAPH-F95F
F960	cjk-cjkcompatibilityideographf960	CJK COMPATIBILITY IDEOGRAPH-F960
F961	cjk-cjkcompatibilityideographf961	CJK COMPATIBILITY IDEOGRAPH-F961
F962	cjk-cjkcompatibilityideographf962	CJK COMPATIBILITY IDEOGRAPH-F962
F963	cjk-cjkcompatibilityideographf963	CJK COMPATIBILITY IDEOGRAPH-F963
F964	cjk-cjkcompatibilityideographf964	CJK COMPATIBILITY IDEOGRAPH-F964
F965	cjk-cjkcompatibilityideographf965	CJK COMPATIBILITY IDEOGRAPH-F965
F966	cjk-cjkcompatibilityideographf966	CJK COMPATIBILITY IDEOGRAPH-F966
F967	cjk-cjkcompatibilityideographf967	CJK COMPATIBILITY IDEOGRAPH-F967
F968	cjk-cjkcompatibilityideographf968	CJK COMPATIBILITY IDEOGRAPH-F968
F969	cjk-cjkcompatibilityideographf969	CJK COMPATIBILITY IDEOGRAPH-F969
F96A	cjk-cjkcompatibilityideographf96a	CJK COMPATIBILITY IDEOGRAPH-F96A
F96B	cjk-cjkcompatibilityideographf96b	CJK COMPATIBILITY IDEOGRAPH-F96B
F96C	cjk-cjkcompatibilityideographf96c	CJK COMPATIBILITY IDEOGRAPH-F96C
F96D	cjk-cjkcompatibilityideographf96d	CJK COMPATIBILITY IDEOGRAPH-F96D
F96E	cjk-cjkcompatibilityideographf96e	CJK COMPATIBILITY IDEOGRAPH-F96E
F96F	cjk-cjkcompatibilityideographf96f	CJK COMPATIBILITY IDEOGRAPH-F96F
F970	cjk-cjkcompatibilityideographf970	CJK COMPATIBILITY IDEOGRAPH-F970
F971	cjk-cjkcompatibilityideographf971	CJK COMPATIBILITY IDEOGRAPH-F971
F972	cjk-cjkcompatibilityideographf972	CJK COMPATIBILITY IDEOGRAPH-F972
F973	cjk-cjkcompatibilityideographf973	CJK COMPATIBILITY IDEOGRAPH-F973
F974	cjk-cjkcompatibilityideographf974	CJK COMPATIBILITY IDEOGRAPH-F974
F975	cjk-cjkcompatibilityideographf975	CJK COMPATIBILITY IDEOGRAPH-F975
F976	cjk-cjkcompatibilityideographf976	CJK COMPATIBILITY IDEOGRAPH-F976
F977	cjk-cjkcompatibilityideographf977	CJK COMPATIBILITY IDEOGRAPH-F977
F978	cjk-cjkcompatibilityideographf978	CJK COMPATIBILITY IDEOGRAPH-F978
F979	cjk-cjkcompatibilityideographf979	CJK COMPATIBILITY IDEOGRAPH-F979
F97A	cjk-cjkcompatibilityideographf97a	CJK COMPATIBILITY IDEOGRAPH-F97A
F97B	cjk-cjkcompatibilityideographf97b	CJK COMPATIBILITY IDEOGRAPH-F97B
F97C	cjk-cjkcompatibilityideographf97c	CJK COMPATIBILITY IDEOGRAPH-F97C
F97D	cjk-cjkcompatibilityideographf97d	CJK COMPATIBILITY IDEOGRAPH-F97D
F97E	cjk-cjkcompatibilityideographf97e	CJK COMPATIBILITY IDEOGRAPH-F97E
F97F	cjk-cjkcompatibilityideographf97f	CJK COMPATIBILITY IDEOGRAPH-F97F
F980	cjk-cjkcompatibilityideographf980	CJK COMPATIBILITY IDEOGRAPH-F980
F981	cjk-cjkcompatibilityideographf981	CJK COMPATIBILITY IDEOGRAPH-F981
F982	cjk-cjkcompatibilityideographf982	CJK COMPATIBILITY IDEOGRAPH-F982
F983	cjk-cjkcompatibilityideographf983	CJK COMPATIBILITY IDEOGRAPH-F983
F984	cjk-cjkcompatibilityideographf984	CJK COMPATIBILITY IDEOGRAPH-F984
F985	cjk-cjkcompatibilityideographf985	CJK COMPATIBILITY IDEOGRAPH-F985
F986	cjk-cjkcompatibilityideographf986	CJK COMPATIBILITY IDEOGRAPH-F986
F987	cjk-cjkcompatibilityideographf987	CJK COMPATIBILITY IDEOGRAPH-F987
F988	cjk-cjkcompatibilityideographf988	CJK COMPATIBILITY IDEOGRAPH-F988
F989	cjk-cjkcompatibilityideographf989	CJK COMPATIBILITY IDEOGRAPH-F989
F98A	cjk-cjkcompatibilityideographf98a	CJK COMPATIBILITY IDEOGRAPH-F98A
F98B	cjk-cjkcompatibilityideographf98b	CJK COMPATIBILITY IDEOGRAPH-F98B
F98C	cjk-cjkcompatibilityideographf98c	CJK COMPATIBILITY IDEOGRAPH-F98C
F98D	cjk-cjkcompatibilityideographf98d	CJK COMPATIBILITY IDEOGRAPH-F98D
F98E	cjk-cjkcompatibilityideographf98e	CJK COMPATIBILITY IDEOGRAPH-F98E
F98F	cjk-cjkcompatibilityideographf98f	CJK COMPATIBILITY IDEOGRAPH-F98F
F990	cjk-cjkcompatibilityideographf990	CJK COMPATIBILITY IDEOGRAPH-F990
F991	cjk-cjkcompatibilityideographf991	CJK COMPATIBILITY IDEOGRAPH-F991
F992	cjk-cjkcompatibilityideographf992	CJK COMPATIBILITY IDEOGRAPH-F992
F993	cjk-cjkcompatibilityideographf993	CJK COMPATIBILITY IDEOGRAPH-F993
F994	cjk-cjkcompatibilityideographf994	CJK COMPATIBILITY IDEOGRAPH-F994
F995	cjk-cjkcompatibilityideographf995	CJK COMPATIBILITY IDEOGRAPH-F995
F996	cjk-cjkcompatibilityideographf996	CJK COMPATIBILITY IDEOGRAPH-F996
F997	cjk-cjkcompatibilityideographf997	CJK COMPATIBILITY IDEOGRAPH-F997
F998	cjk-cjkcompatibilityideographf998	CJK COMPATIBILITY IDEOGRAPH-F998
F999	cjk-cjkcompatibilityideographf999	CJK COMPATIBILITY IDEOGRAPH-F999
F99A	cjk-cjkcompatibilityideographf99a	CJK COMPATIBILITY IDEOGRAPH-F99A
F99B	cjk-cjkcompatibilityideographf99b	CJK COMPATIBILITY IDEOGRAPH-F99B
F99C	cjk-cjkcompatibilityideographf99c	CJK COMPATIBILITY IDEOGRAPH-F99C
F99D	cjk-cjkcompatibilityideographf99d	CJK COMPATIBILITY IDEOGRAPH-F99D
F99E	cjk-cjkcompatibilityideographf99e	CJK COMPATIBILITY IDEOGRAPH-F99E
F99F	cjk-cjkcompatibilityideographf99f	CJK COMPATIBILITY IDEOGRAPH-F99F
F9A0	cjk-cjkcompatibilityideographf9a0	CJK COMPATIBILITY IDEOGRAPH-F9A0
F9A1	cjk-cjkcompatibilityideographf9a1	CJK COMPATIBILITY IDEOGRAPH-F9A1
