# Dingbats 2700 - 27BF
276D	mediumrightpointinganglebracketornament	MEDIUM RIGHT-POINTING ANGLE BRACKET ORNAMENT
276E	heavyleftpointinganglequotationmarkornament	HEAVY LEFT-POINTING ANGLE QUOTATION MARK ORNAMENT
276F	heavyrightpointinganglequotationmarkornament	HEAVY RIGHT-POINTING ANGLE QUOTATION MARK ORNAMENT
2770	heavyleftpointinganglebracketornament	HEAVY LEFT-POINTING ANGLE BRACKET ORNAMENT
2771	heavyrightpointinganglebracketornament	HEAVY RIGHT-POINTING ANGLE BRACKET ORNAMENT
2772	lightlefttortoiseshellbracketornament	LIGHT LEFT TORTOISE SHELL BRACKET ORNAMENT
2773	lightrighttortoiseshellbracketornament	LIGHT RIGHT TORTOISE SHELL BRACKET ORNAMENT
2774	mediumleftcurlybracketornament	MEDIUM LEFT CURLY BRACKET ORNAMENT
2775	mediumrightcurlybracketornament	MEDIUM RIGHT CURLY BRACKET ORNAMENT
2776	dingbatnegativecircleddigitone	DINGBAT NEGATIVE CIRCLED DIGIT ONE
2777	dingbatnegativecircleddigittwo	DINGBAT NEGATIVE CIRCLED DIGIT TWO
2778	dingbatnegativecircleddigitthree	DINGBAT NEGATIVE CIRCLED DIGIT THREE
2779	dingbatnegativecircleddigitfour	DINGBAT NEGATIVE CIRCLED DIGIT FOUR
277A	dingbatnegativecircleddigitfive	DINGBAT NEGATIVE CIRCLED DIGIT FIVE
277B	dingbatnegativecircleddigitsix	DINGBAT NEGATIVE CIRCLED DIGIT SIX
277C	dingbatnegativecircleddigitseven	DINGBAT NEGATIVE CIRCLED DIGIT SEVEN
277D	dingbatnegativecircleddigiteight	DINGBAT NEGATIVE CIRCLED DIGIT EIGHT
277E	dingbatnegativecircleddigitnine	DINGBAT NEGATIVE CIRCLED DIGIT NINE
277F	dingbatnegativecirclednumberten	DINGBAT NEGATIVE CIRCLED NUMBER TEN
2780	dingbatcircledsansserifdigitone	DINGBAT CIRCLED SANS-SERIF DIGIT ONE
2781	dingbatcircledsansserifdigittwo	DINGBAT CIRCLED SANS-SERIF DIGIT TWO
2782	dingbatcircledsansserifdigitthree	DINGBAT CIRCLED SANS-SERIF DIGIT THREE
2783	dingbatcircledsansserifdigitfour	DINGBAT CIRCLED SANS-SERIF DIGIT FOUR
2784	dingbatcircledsansserifdigitfive	DINGBAT CIRCLED SANS-SERIF DIGIT FIVE
2785	dingbatcircledsansserifdigitsix	DINGBAT CIRCLED SANS-SERIF DIGIT SIX
2786	dingbatcircledsansserifdigitseven	DINGBAT CIRCLED SANS-SERIF DIGIT SEVEN
2787	dingbatcircledsansserifdigiteight	DINGBAT CIRCLED SANS-SERIF DIGIT EIGHT
2788	dingbatcircledsansserifdigitnine	DINGBAT CIRCLED SANS-SERIF DIGIT NINE
2789	dingbatcircledsansserifnumberten	DINGBAT CIRCLED SANS-SERIF NUMBER TEN
278A	dingbatnegativecircledsansserifdigitone	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT ONE
278B	dingbatnegativecircledsansserifdigittwo	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT TWO
278C	dingbatnegativecircledsansserifdigitthree	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT THREE
278D	dingbatnegativecircledsansserifdigitfour	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FOUR
278E	dingbatnegativecircledsansserifdigitfive	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT FIVE
278F	dingbatnegativecircledsansserifdigitsix	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SIX
2790	dingbatnegativecircledsansserifdigitseven	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT SEVEN
2791	dingbatnegativecircledsansserifdigiteight	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT EIGHT
2792	dingbatnegativecircledsansserifdigitnine	DINGBAT NEGATIVE CIRCLED SANS-SERIF DIGIT NINE
2793	dingbatnegativecircledsansserifnumberten	DINGBAT NEGATIVE CIRCLED SANS-SERIF NUMBER TEN
2794	heavywideheadedrightwardsarrow	HEAVY WIDE-HEADED RIGHTWARDS ARROW
2798	heavysoutheastarrow	HEAVY SOUTH EAST ARROW
2799	heavyrightwardsarrow	HEAVY RIGHTWARDS ARROW
279A	heavynortheastarrow	HEAVY NORTH EAST ARROW
279B	draftingpointrightwardsarrow	DRAFTING POINT RIGHTWARDS ARROW
279C	heavyroundtippedrightwardsarrow	HEAVY ROUND-TIPPED RIGHTWARDS ARROW
279D	triangleheadedrightwardsarrow	TRIANGLE-HEADED RIGHTWARDS ARROW
279E	heavytriangleheadedrightwardsarrow	HEAVY TRIANGLE-HEADED RIGHTWARDS ARROW
279F	dashedtriangleheadedrightwardsarrow	DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
27A0	heavydashedtriangleheadedrightwardsarrow	HEAVY DASHED TRIANGLE-HEADED RIGHTWARDS ARROW
27A1	blackrightwardsarrow	BLACK RIGHTWARDS ARROW
27A2	threedtoplightedrightwardsarrowhead	THREE-D TOP-LIGHTED RIGHTWARDS ARROWHEAD
