# Tibetan 0F00 - 0FFF
0F5F	ZA	TIBETAN LETTER ZA
0F60	AA	TIBETAN LETTER -A
0F61	YA	TIBETAN LETTER YA
0F62	RA	TIBETAN LETTER RA
0F63	LA	TIBETAN LETTER LA
0F64	SHA	TIBETAN LETTER SHA
0F65	SSA	TIBETAN LETTER SSA
0F66	SA	TIBETAN LETTER SA
0F67	HA	TIBETAN LETTER HA
0F68	A	TIBETAN LETTER A
0F69	KSSA	TIBETAN LETTER KSSA
0F6A	FIXED-FORMRA	TIBETAN LETTER FIXED-FORM RA
0F6B	KKA	TIBETAN LETTER KKA
0F6C	RRA	TIBETAN LETTER RRA
0F71	VOWELSIGNAA	TIBETAN VOWEL SIGN AA
0F72	VOWELSIGNI	TIBETAN VOWEL SIGN I
0F73	VOWELSIGNII	TIBETAN VOWEL SIGN II
0F74	VOWELSIGNU	TIBETAN VOWEL SIGN U
0F75	VOWELSIGNUU	TIBETAN VOWEL SIGN UU
0F76	VOWELSIGNVOCALICR	TIBETAN VOWEL SIGN VOCALIC R
0F77	VOWELSIGNVOCALICRR	TIBETAN VOWEL SIGN VOCALIC RR
0F78	VOWELSIGNVOCALICL	TIBETAN VOWEL SIGN VOCALIC L
0F79	VOWELSIGNVOCALICLL	TIBETAN VOWEL SIGN VOCALIC LL
0F7A	VOWELSIGNE	TIBETAN VOWEL SIGN E
0F7B	VOWELSIGNEE	TIBETAN VOWEL SIGN EE
0F7C	VOWELSIGNO	TIBETAN VOWEL SIGN O
0F7D	VOWELSIGNOO	TIBETAN VOWEL SIGN OO
0F7E	SIGNRJESSUNGARO	TIBETAN SIGN RJES SU NGA RO
0F7F	SIGNRNAMBCAD	TIBETAN SIGN RNAM BCAD
0F80	VOWELSIGNREVERSEDI	TIBETAN VOWEL SIGN REVERSED I
0F81	VOWELSIGNREVERSEDII	TIBETAN VOWEL SIGN REVERSED II
0F82	SIGNNYIZLANAADA	TIBETAN SIGN NYI ZLA NAA DA
0F83	SIGNSNALDAN	TIBETAN SIGN SNA LDAN
0F84	MARKHALANTA	TIBETAN MARK HALANTA
0F85	MARKPALUTA	TIBETAN MARK PALUTA
0F86	SIGNLCIRTAGS	TIBETAN SIGN LCI RTAGS
0F87	SIGNYANGRTAGS	TIBETAN SIGN YANG RTAGS
0F88	SIGNLCETSACAN	TIBETAN SIGN LCE TSA CAN
0F89	SIGNMCHUCAN	TIBETAN SIGN MCHU CAN
0F8A	SIGNGRUCANRGYINGS	TIBETAN SIGN GRU CAN RGYINGS
0F8B	SIGNGRUMEDRGYINGS	TIBETAN SIGN GRU MED RGYINGS
0F90	SUBJOINEDKA	TIBETAN SUBJOINED LETTER KA
0F91	SUBJOINEDKHA	TIBETAN SUBJOINED LETTER KHA
0F92	SUBJOINEDGA	TIBETAN SUBJOINED LETTER GA
0F93	SUBJOINEDGHA	TIBETAN SUBJOINED LETTER GHA
0F94	SUBJOINEDNGA	TIBETAN SUBJOINED LETTER NGA
0F95	SUBJOINEDCA	TIBETAN SUBJOINED LETTER CA
0F96	SUBJOINEDCHA	TIBETAN SUBJOINED LETTER CHA
0F97	SUBJOINEDJA	TIBETAN SUBJOINED LETTER JA
0F99	SUBJOINEDNYA	TIBETAN SUBJOINED LETTER NYA
0F9A	SUBJOINEDTTA	TIBETAN SUBJOINED LETTER TTA
0F9B	SUBJOINEDTTHA	TIBETAN SUBJOINED LETTER TTHA
0F9C	SUBJOINEDDDA	TIBETAN SUBJOINED LETTER DDA
0F9D	SUBJOINEDDDHA	TIBETAN SUBJOINED LETTER DDHA
0F9E	SUBJOINEDNNA	TIBETAN SUBJOINED LETTER NNA
0F9F	SUBJOINEDTA	TIBETAN SUBJOINED LETTER TA
0FA0	SUBJOINEDTHA	TIBETAN SUBJOINED LETTER THA
0FA1	SUBJOINEDDA	TIBETAN SUBJOINED LETTER DA
0FA2	SUBJOINEDDHA	TIBETAN SUBJOINED LETTER DHA
0FA3	SUBJOINEDNA	TIBETAN SUBJOINED LETTER NA
0FA4	SUBJOINEDPA	TIBETAN SUBJOINED LETTER PA
0FA5	SUBJOINEDPHA	TIBETAN SUBJOINED LETTER PHA
0FA6	SUBJOINEDBA	TIBETAN SUBJOINED LETTER BA
0FA7	SUBJOINEDBHA	TIBETAN SUBJOINED LETTER BHA
0FA8	SUBJOINEDMA	TIBETAN SUBJOINED LETTER MA
0FA9	SUBJOINEDTSA	TIBETAN SUBJOINED LETTER TSA
0FAA	SUBJOINEDTSHA	TIBETAN SUBJOINED LETTER TSHA
0FAB	SUBJOINEDDZA	TIBETAN SUBJOINED LETTER DZA
0FAC	SUBJOINEDDZHA	TIBETAN SUBJOINED LETTER DZHA
0FAD	SUBJOINEDWA	TIBETAN SUBJOINED LETTER WA
0FAE	SUBJOINEDZHA	TIBETAN SUBJOINED LETTER ZHA
0FAF	SUBJOINEDZA	TIBETAN SUBJOINED LETTER ZA
0FB0	SUBJOINEDAA	TIBETAN SUBJOINED LETTER -A
0FB1	SUBJOINEDYA	TIBETAN SUBJOINED LETTER YA
0FB2	SUBJOINEDRA	TIBETAN SUBJOINED LETTER RA
0FB3	SUBJOINEDLA	TIBETAN SUBJOINED LETTER LA
0FB4	SUBJOINEDSHA	TIBETAN SUBJOINED LETTER SHA
0FB5	SUBJOINEDSSA	TIBETAN SUBJOINED LETTER SSA
0FB6	SUBJOINEDSA	TIBETAN SUBJOINED LETTER SA
0FB7	SUBJOINEDHA	TIBETAN SUBJOINED LETTER HA
0FB8	SUBJOINEDA	TIBETAN SUBJOINED LETTER A
0FB9	SUBJOINEDKSSA	TIBETAN SUBJOINED LETTER KSSA
0FBA	SUBJOINEDFIXED-FORMWA	TIBETAN SUBJOINED LETTER FIXED-FORM WA
0FBB	SUBJOINEDFIXED-FORMYA	TIBETAN SUBJOINED LETTER FIXED-FORM YA
0FBC	SUBJOINEDFIXED-FORMRA	TIBETAN SUBJOINED LETTER FIXED-FORM RA
0FBE	KURUKHA	TIBETAN KU RU KHA
0FBF	KURUKHABZHIMIGCAN	TIBETAN KU RU KHA BZHI MIG CAN
0FC0	CANTILLATIONSIGNHEAVYBEAT	TIBETAN CANTILLATION SIGN HEAVY BEAT
0FC1	CANTILLATIONSIGNLIGHTBEAT	TIBETAN CANTILLATION SIGN LIGHT BEAT
0FC2	CANTILLATIONSIGNCANGTE-U	TIBETAN CANTILLATION SIGN CANG TE-U
0FC3	CANTILLATIONSIGNSBUB-CHAL	TIBETAN CANTILLATION SIGN SBUB -CHAL
0FC4	SYMBOLDRILBU	TIBETAN SYMBOL DRIL BU
0FC5	SYMBOLRDORJE	TIBETAN SYMBOL RDO RJE
0FC6	SYMBOLPADMAGDAN	TIBETAN SYMBOL PADMA GDAN
0FC7	SYMBOLRDORJERGYAGRAM	TIBETAN SYMBOL RDO RJE RGYA GRAM
0FC8	SYMBOLPHURPA	TIBETAN SYMBOL PHUR PA
0FC9	SYMBOLNORBU	TIBETAN SYMBOL NOR BU
0FCA	SYMBOLNORBUNYIS-KHYIL	TIBETAN SYMBOL NOR BU NYIS -KHYIL
0FCB	SYMBOLNORBUGSUM-KHYIL	TIBETAN SYMBOL NOR BU GSUM -KHYIL
0FCC	SYMBOLNORBUBZHI-KHYIL	TIBETAN SYMBOL NOR BU BZHI -KHYIL
0FCE	SIGNRDELNAGRDELDKAR	TIBETAN SIGN RDEL NAG RDEL DKAR
0FCF	SIGNRDELNAGGSUM	TIBETAN SIGN RDEL NAG GSUM
0FD0	MARKBSKA-SHOGGIMGORGYAN	TIBETAN MARK BSKA- SHOG GI MGO RGYAN
0FD1	MARKMNYAMYIGGIMGORGYAN	TIBETAN MARK MNYAM YIG GI MGO RGYAN
0FD2	MARKNYISTSHEG	TIBETAN MARK NYIS TSHEG
0FD3	MARKINITIALBRDARNYINGYIGMGOMDUNMA	TIBETAN MARK INITIAL BRDA RNYING YIG MGO MDUN MA
0FD4	MARKCLOSINGBRDARNYINGYIGMGOSGABMA	TIBETAN MARK CLOSING BRDA RNYING YIG MGO SGAB MA
0FD5	svastiright	RIGHT-FACING SVASTI SIGN
0FD6	svastileft	LEFT-FACING SVASTI SIGN
0FD7	svastirightdot	RIGHT-FACING SVASTI SIGN WITH DOTS
0FD8	svastileftdot	LEFT-FACING SVASTI SIGN WITH DOTS
