# Arabic Presentation Forms-B FE70 - FEFF
FEC5	ar-zah.isol	ARABIC LETTER ZAH ISOLATED FORM
FEC6	ar-zah.fina	ARABIC LETTER ZAH FINAL FORM
FEC7	ar-zah.init	ARABIC LETTER ZAH INITIAL FORM
FEC8	ar-zah.medi	ARABIC LETTER ZAH MEDIAL FORM
FEC9	ar-ain.isol	ARABIC LETTER AIN ISOLATED FORM
FECA	ar-ain.fina	ARABIC LETTER AIN FINAL FORM
FECB	ar-ain.init	ARABIC LETTER AIN INITIAL FORM
FECC	ar-ain.medi	ARABIC LETTER AIN MEDIAL FORM
FECD	ar-ghain.isol	ARABIC LETTER GHAIN ISOLATED FORM
FECE	ar-ghain.fina	ARABIC LETTER GHAIN FINAL FORM
FECF	ar-ghain.init	ARABIC LETTER GHAIN INITIAL FORM
FED0	ar-ghain.medi	ARABIC LETTER GHAIN MEDIAL FORM
FED1	ar-feh.isol	ARABIC LETTER FEH ISOLATED FORM
FED2	ar-feh.fina	ARABIC LETTER FEH FINAL FORM
FED3	ar-feh.init	ARABIC LETTER FEH INITIAL FORM
FED4	ar-feh.medi	ARABIC LETTER FEH MEDIAL FORM
FED5	ar-qaf.isol	ARABIC LETTER QAF ISOLATED FORM
FED6	ar-qaf.fina	ARABIC LETTER QAF FINAL FORM
FED7	ar-qaf.init	ARABIC LETTER QAF INITIAL FORM
FED8	ar-qaf.medi	ARABIC LETTER QAF MEDIAL FORM
FED9	ar-kaf.isol	ARABIC LETTER KAF ISOLATED FORM
FEDA	ar-kaf.fina	ARABIC LETTER KAF FINAL FORM
FEDB	ar-kaf.init	ARABIC LETTER KAF INITIAL FORM
FEDC	ar-kaf.medi	ARABIC LETTER KAF MEDIAL FORM
FEDD	ar-lam.isol	ARABIC LETTER LAM ISOLATED FORM
FEDE	ar-lam.fina	ARABIC LETTER LAM FINAL FORM
FEDF	ar-lam.init	ARABIC LETTER LAM INITIAL FORM
FEE0	ar-lam.medi	ARABIC LETTER LAM MEDIAL FORM
FEE1	ar-meem.isol	ARABIC LETTER MEEM ISOLATED FORM
FEE2	ar-meem.fina	ARABIC LETTER MEEM FINAL FORM
FEE3	ar-meem.init	ARABIC LETTER MEEM INITIAL FORM
FEE4	ar-meem.medi	ARABIC LETTER MEEM MEDIAL FORM
FEE5	ar-noon.isol	ARABIC LETTER NOON ISOLATED FORM
FEE6	ar-noon.fina	ARABIC LETTER NOON FINAL FORM
FEE7	ar-noon.init	ARABIC LETTER NOON INITIAL FORM
FEE8	ar-noon.medi	ARABIC LETTER NOON MEDIAL FORM
FEE9	ar-heh.isol	ARABIC LETTER HEH ISOLATED FORM
FEEA	ar-heh.fina	ARABIC LETTER HEH FINAL FORM
FEEB	ar-heh.init	ARABIC LETTER HEH INITIAL FORM
FEEC	ar-heh.medi	ARABIC LETTER HEH MEDIAL FORM
FEED	ar-waw.isol	ARABIC LETTER WAW ISOLATED FORM
FEEE	ar-waw.fina	ARABIC LETTER WAW FINAL FORM
FEEF	ar-alefmaksura.isol	ARABIC LETTER ALEF MAKSURA ISOLATED FORM
FEF0	ar-alefmaksura.fina	ARABIC LETTER ALEF MAKSURA FINAL FORM
FEF1	ar-yeh.isol	ARABIC LETTER YEH ISOLATED FORM
FEF2	ar-yeh.fina	ARABIC LETTER YEH FINAL FORM
FEF3	ar-yeh.init	ARABIC LETTER YEH INITIAL FORM
FEF4	ar-yeh.medi	ARABIC LETTER YEH MEDIAL FORM
FEF5	ar-ligaturelamwithalefmadda.isol	ARABIC LIGATURE LAM WITH ALEF WITH MADDA ABOVE ISOLATED FORM
FEF6	ar-ligaturelamwithalefmadda.fina	ARABIC LIGATURE LAM WITH ALEF WITH MADDA ABOVE FINAL FORM
FEF7	ar-ligaturelamwithalefhamza.isol	ARABIC LIGATURE LAM WITH ALEF WITH HAMZA ABOVE ISOLATED FORM
FEF8	ar-ligaturelamwithalefhamza.fina	ARABIC LIGATURE LAM WITH ALEF WITH HAMZA ABOVE FINAL FORM
FEF9	ar-ligaturelamwithalefhamzabelow.isol	ARABIC LIGATURE LAM WITH ALEF WITH HAMZA BELOW ISOLATED FORM
FEFA	ar-ligaturelamwithalefhamzabelow.fina	ARABIC LIGATURE LAM WITH ALEF WITH HAMZA BELOW FINAL FORM
FEFB	ar-ligaturelamwithalef.isol	ARABIC LIGATURE LAM WITH ALEF ISOLATED FORM
FEFC	ar-ligaturelamwithalef.fina	ARABIC LIGATURE LAM WITH ALEF FINAL FORM
FEFF	ar-zerowidthnobreakspace	ZERO WIDTH NO-BREAK SPACE
