# Sinhala 0D80 - 0DFF
0DD8	snhl-sinhalavowelsigngaettapilla	SINHALA VOWEL SIGN GAETTA-PILLA
0DD9	snhl-sinhalavowelsignkombuva	SINHALA VOWEL SIGN KOMBUVA
0DDA	snhl-sinhalavowelsigndigakombuva	SINHALA VOWEL SIGN DIGA KOMBUVA
0DDB	snhl-sinhalavowelsignkombudeka	SINHALA VOWEL SIGN KOMBU DEKA
0DDC	snhl-sinhalavowelsignkombuvahaaaelapilla	SINHALA VOWEL SIGN KOMBUVA HAA AELA-PILLA
0DDD	snhl-sinhalavowelsignkombuvahaadigaaelapilla	SINHALA VOWEL SIGN KOMBUVA HAA DIGA AELA-PILLA
0DDE	snhl-sinhalavowelsignkombuvahaagayanukitta	SINHALA VOWEL SIGN KOMBUVA HAA GAYANUKITTA
0DDF	snhl-sinhalavowelsigngayanukitta	SINHALA VOWEL SIGN GAYANUKITTA
0DF2	snhl-sinhalavowelsigndigagaettapilla	SINHALA VOWEL SIGN DIGA GAETTA-PILLA
0DF3	snhl-sinhalavowelsigndigagayanukitta	SINHALA VOWEL SIGN DIGA GAYANUKITTA
0DF4	snhl-sinhalapunctuationkunddaliya	SINHALA PUNCTUATION KUNDDALIYA
