# Braille Patterns 2800 - 28FF
285E	brll-braillepatterndots23457	BRAILLE PATTERN DOTS-23457
285F	brll-braillepatterndots123457	BRAILLE PATTERN DOTS-123457
2860	brll-braillepatterndots67	BRAILLE PATTERN DOTS-67
2861	brll-braillepatterndots167	BRAILLE PATTERN DOTS-167
2862	brll-braillepatterndots267	BRAILLE PATTERN DOTS-267
2863	brll-braillepatterndots1267	BRAILLE PATTERN DOTS-1267
2864	brll-braillepatterndots367	BRAILLE PATTERN DOTS-367
2865	brll-braillepatterndots1367	BRAILLE PATTERN DOTS-1367
2866	brll-braillepatterndots2367	BRAILLE PATTERN DOTS-2367
2867	brll-braillepatterndots12367	BRAILLE PATTERN DOTS-12367
2868	brll-braillepatterndots467	BRAILLE PATTERN DOTS-467
2869	brll-braillepatterndots1467	BRAILLE PATTERN DOTS-1467
286A	brll-braillepatterndots2467	BRAILLE PATTERN DOTS-2467
286B	brll-braillepatterndots12467	BRAILLE PATTERN DOTS-12467
286C	brll-braillepatterndots3467	BRAILLE PATTERN DOTS-3467
286D	brll-braillepatterndots13467	BRAILLE PATTERN DOTS-13467
286E	brll-braillepatterndots23467	BRAILLE PATTERN DOTS-23467
286F	brll-braillepatterndots123467	BRAILLE PATTERN DOTS-123467
2870	brll-braillepatterndots567	BRAILLE PATTERN DOTS-567
2871	brll-braillepatterndots1567	BRAILLE PATTERN DOTS-1567
2872	brll-braillepatterndots2567	BRAILLE PATTERN DOTS-2567
2873	brll-braillepatterndots12567	BRAILLE PATTERN DOTS-12567
2874	brll-braillepatterndots3567	BRAILLE PATTERN DOTS-3567
2875	brll-braillepatterndots13567	BRAILLE PATTERN DOTS-13567
2876	brll-braillepatterndots23567	BRAILLE PATTERN DOTS-23567
2877	brll-braillepatterndots123567	BRAILLE PATTERN DOTS-123567
2878	brll-braillepatterndots4567	BRAILLE PATTERN DOTS-4567
2879	brll-braillepatterndots14567	BRAILLE PATTERN DOTS-14567
287A	brll-braillepatterndots24567	BRAILLE PATTERN DOTS-24567
287B	brll-braillepatterndots124567	BRAILLE PATTERN DOTS-124567
287C	brll-braillepatterndots34567	BRAILLE PATTERN DOTS-34567
287D	brll-braillepatterndots134567	BRAILLE PATTERN DOTS-134567
287E	brll-braillepatterndots234567	BRAILLE PATTERN DOTS-234567
287F	brll-braillepatterndots1234567	BRAILLE PATTERN DOTS-1234567
2880	brll-braillepatterndots8	BRAILLE PATTERN DOTS-8
2881	brll-braillepatterndots18	BRAILLE PATTERN DOTS-18
2882	brll-braillepatterndots28	BRAILLE PATTERN DOTS-28
2883	brll-braillepatterndots128	BRAILLE PATTERN DOTS-128
2884	brll-braillepatterndots38	BRAILLE PATTERN DOTS-38
2885	brll-braillepatterndots138	BRAILLE PATTERN DOTS-138
2886	brll-braillepatterndots238	BRAILLE PATTERN DOTS-238
2887	brll-braillepatterndots1238	BRAILLE PATTERN DOTS-1238
2888	brll-braillepatterndots48	BRAILLE PATTERN DOTS-48
2889	brll-braillepatterndots148	BRAILLE PATTERN DOTS-148
288A	brll-braillepatterndots248	BRAILLE PATTERN DOTS-248
288B	brll-braillepatterndots1248	BRAILLE PATTERN DOTS-1248
288C	brll-braillepatterndots348	BRAILLE PATTERN DOTS-348
288D	brll-braillepatterndots1348	BRAILLE PATTERN DOTS-1348
288E	brll-braillepatterndots2348	BRAILLE PATTERN DOTS-2348
288F	brll-braillepatterndots12348	BRAILLE PATTERN DOTS-12348
2890	brll-braillepatterndots58	BRAILLE PATTERN DOTS-58
2891	brll-braillepatterndots158	BRAILLE PATTERN DOTS-158
2892	brll-braillepatterndots258	BRAILLE PATTERN DOTS-258
2893	brll-braillepatterndots1258	BRAILLE PATTERN DOTS-1258
2894	brll-braillepatterndots358	BRAILLE PATTERN DOTS-358
2895	brll-braillepatterndots1358	BRAILLE PATTERN DOTS-1358
2896	brll-braillepatterndots2358	BRAILLE PATTERN DOTS-2358
2897	brll-braillepatterndots12358	BRAILLE PATTERN DOTS-12358
2898	brll-braillepatterndots458	BRAILLE PATTERN DOTS-458
2899	brll-braillepatterndots1458	BRAILLE PATTERN DOTS-1458
289A	brll-braillepatterndots2458	BRAILLE PATTERN DOTS-2458
289B	brll-braillepatterndots12458	BRAILLE PATTERN DOTS-12458
289C	brll-braillepatterndots3458	BRAILLE PATTERN DOTS-3458
289D	brll-braillepatterndots13458	BRAILLE PATTERN DOTS-13458
289E	brll-braillepatterndots23458	BRAILLE PATTERN DOTS-23458
289F	brll-braillepatterndots123458	BRAILLE PATTERN DOTS-123458
28A0	brll-braillepatterndots68	BRAILLE PATTERN DOTS-68
28A1	brll-braillepatterndots168	BRAILLE PATTERN DOTS-168
28A2	brll-braillepatterndots268	BRAILLE PATTERN DOTS-268
28A3	brll-braillepatterndots1268	BRAILLE PATTERN DOTS-1268
28A4	brll-braillepatterndots368	BRAILLE PATTERN DOTS-368
28A5	brll-braillepatterndots1368	BRAILLE PATTERN DOTS-1368
28A6	brll-braillepatterndots2368	BRAILLE PATTERN DOTS-2368
28A7	brll-braillepatterndots12368	BRAILLE PATTERN DOTS-12368
28A8	brll-braillepatterndots468	BRAILLE PATTERN DOTS-468
28A9	brll-braillepatterndots1468	BRAILLE PATTERN DOTS-1468
28AA	brll-braillepatterndots2468	BRAILLE PATTERN DOTS-2468
28AB	brll-braillepatterndots12468	BRAILLE PATTERN DOTS-12468
28AC	brll-braillepatterndots3468	BRAILLE PATTERN DOTS-3468
28AD	brll-braillepatterndots13468	BRAILLE PATTERN DOTS-13468
28AE	brll-braillepatterndots23468	BRAILLE PATTERN DOTS-23468
28AF	brll-braillepatterndots123468	BRAILLE PATTERN DOTS-123468
28B0	brll-braillepatterndots568	BRAILLE PATTERN DOTS-568
28B1	brll-braillepatterndots1568	BRAILLE PATTERN DOTS-1568
28B2	brll-braillepatterndots2568	BRAILLE PATTERN DOTS-2568
28B3	brll-braillepatterndots12568	BRAILLE PATTERN DOTS-12568
28B4	brll-braillepatterndots3568	BRAILLE PATTERN DOTS-3568
28B5	brll-braillepatterndots13568	BRAILLE PATTERN DOTS-13568
28B6	brll-braillepatterndots23568	BRAILLE PATTERN DOTS-23568
28B7	brll-braillepatterndots123568	BRAILLE PATTERN DOTS-123568
28B8	brll-braillepatterndots4568	BRAILLE PATTERN DOTS-4568
28B9	brll-braillepatterndots14568	BRAILLE PATTERN DOTS-14568
28BA	brll-braillepatterndots24568	BRAILLE PATTERN DOTS-24568
28BB	brll-braillepatterndots124568	BRAILLE PATTERN DOTS-124568
28BC	brll-braillepatterndots34568	BRAILLE PATTERN DOTS-34568
28BD	brll-braillepatterndots134568	BRAILLE PATTERN DOTS-134568
28BE	brll-braillepatterndots234568	BRAILLE PATTERN DOTS-234568
28BF	brll-braillepatterndots1234568	BRAILLE PATTERN DOTS-1234568
28C0	brll-braillepatterndots78	BRAILLE PATTERN DOTS-78
28C1	brll-braillepatterndots178	BRAILLE PATTERN DOTS-178
28C2	brll-braillepatterndots278	BRAILLE PATTERN DOTS-278
28C3	brll-braillepatterndots1278	BRAILLE PATTERN DOTS-1278
28C4	brll-braillepatterndots378	BRAILLE PATTERN DOTS-378
28C5	brll-braillepatterndots1378	BRAILLE PATTERN DOTS-1378
28C6	brll-braillepatterndots2378	BRAILLE PATTERN DOTS-2378
28C7	brll-braillepatterndots12378	BRAILLE PATTERN DOTS-12378
28C8	brll-braillepatterndots478	BRAILLE PATTERN DOTS-478
28C9	brll-braillepatterndots1478	BRAILLE PATTERN DOTS-1478
28CA	brll-braillepatterndots2478	BRAILLE PATTERN DOTS-2478
28CB	brll-braillepatterndots12478	BRAILLE PATTERN DOTS-12478
28CC	brll-braillepatterndots3478	BRAILLE PATTERN DOTS-3478
28CD	brll-braillepatterndots13478	BRAILLE PATTERN DOTS-13478
28CE	brll-braillepatterndots23478	BRAILLE PATTERN DOTS-23478
28CF	brll-braillepatterndots123478	BRAILLE PATTERN DOTS-123478
28D0	brll-braillepatterndots578	BRAILLE PATTERN DOTS-578
28D1	brll-braillepatterndots1578	BRAILLE PATTERN DOTS-1578
28D2	brll-braillepatterndots2578	BRAILLE PATTERN DOTS-2578
28D3	brll-braillepatterndots12578	BRAILLE PATTERN DOTS-12578
28D4	brll-braillepatterndots3578	BRAILLE PATTERN DOTS-3578
28D5	brll-braillepatterndots13578	BRAILLE PATTERN DOTS-13578
28D6	brll-braillepatterndots23578	BRAILLE PATTERN DOTS-23578
28D7	brll-braillepatterndots123578	BRAILLE PATTERN DOTS-123578
28D8	brll-braillepatterndots4578	BRAILLE PATTERN DOTS-4578
28D9	brll-braillepatterndots14578	BRAILLE PATTERN DOTS-14578
28DA	brll-braillepatterndots24578	BRAILLE PATTERN DOTS-24578
28DB	brll-braillepatterndots124578	BRAILLE PATTERN DOTS-124578
28DC	brll-braillepatterndots34578	BRAILLE PATTERN DOTS-34578
28DD	brll-braillepatterndots134578	BRAILLE PATTERN DOTS-134578
28DE	brll-braillepatterndots234578	BRAILLE PATTERN DOTS-234578
28DF	brll-braillepatterndots1234578	BRAILLE PATTERN DOTS-1234578
28E0	brll-braillepatterndots678	BRAILLE PATTERN DOTS-678
28E1	brll-braillepatterndots1678	BRAILLE PATTERN DOTS-1678
28E2	brll-braillepatterndots2678	BRAILLE PATTERN DOTS-2678
28E3	brll-braillepatterndots12678	BRAILLE PATTERN DOTS-12678
28E4	brll-braillepatterndots3678	BRAILLE PATTERN DOTS-3678
28E5	brll-braillepatterndots13678	BRAILLE PATTERN DOTS-13678
28E6	brll-braillepatterndots23678	BRAILLE PATTERN DOTS-23678
28E7	brll-braillepatterndots123678	BRAILLE PATTERN DOTS-123678
28E8	brll-braillepatterndots4678	BRAILLE PATTERN DOTS-4678
28E9	brll-braillepatterndots14678	BRAILLE PATTERN DOTS-14678
28EA	brll-braillepatterndots24678	BRAILLE PATTERN DOTS-24678
28EB	brll-braillepatterndots124678	BRAILLE PATTERN DOTS-124678
28EC	brll-braillepatterndots34678	BRAILLE PATTERN DOTS-34678
28ED	brll-braillepatterndots134678	BRAILLE PATTERN DOTS-134678
28EE	brll-braillepatterndots234678	BRAILLE PATTERN DOTS-234678
28EF	brll-braillepatterndots1234678	BRAILLE PATTERN DOTS-1234678
28F0	brll-braillepatterndots5678	BRAILLE PATTERN DOTS-5678
28F1	brll-braillepatterndots15678	BRAILLE PATTERN DOTS-15678
28F2	brll-braillepatterndots25678	BRAILLE PATTERN DOTS-25678
28F3	brll-braillepatterndots125678	BRAILLE PATTERN DOTS-125678
28F4	brll-braillepatterndots35678	BRAILLE PATTERN DOTS-35678
28F5	brll-braillepatterndots135678	BRAILLE PATTERN DOTS-135678
28F6	brll-braillepatterndots235678	BRAILLE PATTERN DOTS-235678
28F7	brll-braillepatterndots1235678	BRAILLE PATTERN DOTS-1235678
28F8	brll-braillepatterndots45678	BRAILLE PATTERN DOTS-45678
28F9	brll-braillepatterndots145678	BRAILLE PATTERN DOTS-145678
28FA	brll-braillepatterndots245678	BRAILLE PATTERN DOTS-245678
28FB	brll-braillepatterndots1245678	BRAILLE PATTERN DOTS-1245678
28FC	brll-braillepatterndots345678	BRAILLE PATTERN DOTS-345678
28FD	brll-braillepatterndots1345678	BRAILLE PATTERN DOTS-1345678
28FE	brll-braillepatterndots2345678	BRAILLE PATTERN DOTS-2345678
28FF	brll-braillepatterndots12345678	BRAILLE PATTERN DOTS-12345678
