# Halfwidth and Fullwidth Forms FF00 - FFEF
FF53	hlfw-sfullwidth	FULLWIDTH LATIN SMALL LETTER S
FF54	hlfw-tfullwidth	FULLWIDTH LATIN SMALL LETTER T
FF55	hlfw-ufullwidth	FULLWIDTH LATIN SMALL LETTER U
FF56	hlfw-vfullwidth	FULLWIDTH LATIN SMALL LETTER V
FF57	hlfw-wfullwidth	FULLWIDTH LATIN SMALL LETTER W
FF58	hlfw-xfullwidth	FULLWIDTH LATIN SMALL LETTER X
FF59	hlfw-yfullwidth	FULLWIDTH LATIN SMALL LETTER Y
FF5A	hlfw-zfullwidth	FULLWIDTH LATIN SMALL LETTER Z
FF5B	hlfw-braceleftfullwidth	FULLWIDTH LEFT CURLY BRACKET
FF5C	hlfw-barfullwidth	FULLWIDTH VERTICAL LINE
FF5D	hlfw-bracerightfullwidth	FULLWIDTH RIGHT CURLY BRACKET
FF5E	hlfw-asciitildefullwidth	FULLWIDTH TILDE
FF5F	hlfw-FULLWIDTHLEFTWHITEPARENTHESIS	FULLWIDTH LEFT WHITE PARENTHESIS
FF60	hlfw-FULLWIDTHRIGHTWHITEPARENTHESIS	FULLWIDTH RIGHT WHITE PARENTHESIS
FF61	hlfw-HALFWIDTHIDEOGRAPHICFULLSTOP	HALFWIDTH IDEOGRAPHIC FULL STOP
FF62	hlfw-HALFWIDTHLEFTCORNERBRACKET	HALFWIDTH LEFT CORNER BRACKET
FF63	hlfw-HALFWIDTHRIGHTCORNERBRACKET	HALFWIDTH RIGHT CORNER BRACKET
FF64	hlfw-HALFWIDTHIDEOGRAPHICCOMMA	HALFWIDTH IDEOGRAPHIC COMMA
FF65	hlfw-middledothalfwidthkatakana	HALFWIDTH KATAKANA MIDDLE DOT
FF66	hlfw-wohalfwidthkatakana	HALFWIDTH KATAKANA LETTER WO
FF67	hlfw-asmallhalfwidthkatakana	HALFWIDTH KATAKANA LETTER SMALL A
FF68	hlfw-ismallhalfwidthkatakana	HALFWIDTH KATAKANA LETTER SMALL I
FF69	hlfw-usmallhalfwidthkatakana	HALFWIDTH KATAKANA LETTER SMALL U
