# Musical Symbols 1D100 - 1D1FF
1D147	mscl-musicalsymbolsquarenoteheadblack	MUSICAL SYMBOL SQUARE NOTEHEAD BLACK
1D148	mscl-musicalsymboltrianglenoteheadupwhite	MUSICAL SYMBOL TRIANGLE NOTEHEAD UP WHITE
1D149	mscl-musicalsymboltrianglenoteheadupblack	MUSICAL SYMBOL TRIANGLE NOTEHEAD UP BLACK
1D14A	mscl-musicalsymboltrianglenoteheadleftwhite	MUSICAL SYMBOL TRIANGLE NOTEHEAD LEFT WHITE
1D14B	mscl-musicalsymboltrianglenoteheadleftblack	MUSICAL SYMBOL TRIANGLE NOTEHEAD LEFT BLACK
1D14C	mscl-musicalsymboltrianglenoteheadrightwhite	MUSICAL SYMBOL TRIANGLE NOTEHEAD RIGHT WHITE
1D14D	mscl-musicalsymboltrianglenoteheadrightblack	MUSICAL SYMBOL TRIANGLE NOTEHEAD RIGHT BLACK
1D14E	mscl-musicalsymboltrianglenoteheaddownwhite	MUSICAL SYMBOL TRIANGLE NOTEHEAD DOWN WHITE
1D14F	mscl-musicalsymboltrianglenoteheaddownblack	MUSICAL SYMBOL TRIANGLE NOTEHEAD DOWN BLACK
1D150	mscl-musicalsymboltrianglenoteheaduprightwhite	MUSICAL SYMBOL TRIANGLE NOTEHEAD UP RIGHT WHITE
1D151	mscl-musicalsymboltrianglenoteheaduprightblack	MUSICAL SYMBOL TRIANGLE NOTEHEAD UP RIGHT BLACK
1D152	mscl-musicalsymbolmoonnoteheadwhite	MUSICAL SYMBOL MOON NOTEHEAD WHITE
1D153	mscl-musicalsymbolmoonnoteheadblack	MUSICAL SYMBOL MOON NOTEHEAD BLACK
1D154	mscl-musicalsymboltriangleroundnoteheaddownwhite	MUSICAL SYMBOL TRIANGLE-ROUND NOTEHEAD DOWN WHITE
1D155	mscl-musicalsymboltriangleroundnoteheaddownblack	MUSICAL SYMBOL TRIANGLE-ROUND NOTEHEAD DOWN BLACK
1D156	mscl-musicalsymbolparenthesisnotehead	MUSICAL SYMBOL PARENTHESIS NOTEHEAD
1D157	mscl-musicalsymbolvoidnotehead	MUSICAL SYMBOL VOID NOTEHEAD
1D158	mscl-musicalsymbolnoteheadblack	MUSICAL SYMBOL NOTEHEAD BLACK
1D159	mscl-musicalsymbolnullnotehead	MUSICAL SYMBOL NULL NOTEHEAD
1D15A	mscl-musicalsymbolclusternoteheadwhite	MUSICAL SYMBOL CLUSTER NOTEHEAD WHITE
1D15B	mscl-musicalsymbolclusternoteheadblack	MUSICAL SYMBOL CLUSTER NOTEHEAD BLACK
1D15C	mscl-musicalsymbolbreve	MUSICAL SYMBOL BREVE
1D15D	mscl-musicalsymbolwholenote	MUSICAL SYMBOL WHOLE NOTE
1D15E	mscl-musicalsymbolhalfnote	MUSICAL SYMBOL HALF NOTE
1D15F	mscl-musicalsymbolquarternote	MUSICAL SYMBOL QUARTER NOTE
1D160	mscl-musicalsymboleighthnote	MUSICAL SYMBOL EIGHTH NOTE
1D161	mscl-musicalsymbolsixteenthnote	MUSICAL SYMBOL SIXTEENTH NOTE
1D162	mscl-musicalsymbolthirtysecondnote	MUSICAL SYMBOL THIRTY-SECOND NOTE
1D163	mscl-musicalsymbolsixtyfourthnote	MUSICAL SYMBOL SIXTY-FOURTH NOTE
1D164	mscl-musicalsymbolonehundredtwentyeighthnote	MUSICAL SYMBOL ONE HUNDRED TWENTY-EIGHTH NOTE
1D165	mscl-musicalsymbolcombiningstem	MUSICAL SYMBOL COMBINING STEM
1D166	mscl-musicalsymbolcombiningsprechgesangstem	MUSICAL SYMBOL COMBINING SPRECHGESANG STEM
1D167	mscl-musicalsymbolcombiningtremolo1	MUSICAL SYMBOL COMBINING TREMOLO-1
1D168	mscl-musicalsymbolcombiningtremolo2	MUSICAL SYMBOL COMBINING TREMOLO-2
1D169	mscl-musicalsymbolcombiningtremolo3	MUSICAL SYMBOL COMBINING TREMOLO-3
1D16A	mscl-musicalsymbolfingeredtremolo1	MUSICAL SYMBOL FINGERED TREMOLO-1
1D16B	mscl-musicalsymbolfingeredtremolo2	MUSICAL SYMBOL FINGERED TREMOLO-2
1D16C	mscl-musicalsymbolfingeredtremolo3	MUSICAL SYMBOL FINGERED TREMOLO-3
1D16D	mscl-musicalsymbolcombiningaugmentationdot	MUSICAL SYMBOL COMBINING AUGMENTATION DOT
1D16E	mscl-musicalsymbolcombiningflag1	MUSICAL SYMBOL COMBINING FLAG-1
1D16F	mscl-musicalsymbolcombiningflag2	MUSICAL SYMBOL COMBINING FLAG-2
1D170	mscl-musicalsymbolcombiningflag3	MUSICAL SYMBOL COMBINING FLAG-3
1D171	mscl-musicalsymbolcombiningflag4	MUSICAL SYMBOL COMBINING FLAG-4
1D172	mscl-musicalsymbolcombiningflag5	MUSICAL SYMBOL COMBINING FLAG-5
1D173	mscl-musicalsymbolbeginbeam	MUSICAL SYMBOL BEGIN BEAM
1D174	mscl-musicalsymbolendbeam	MUSICAL SYMBOL END BEAM
1D175	mscl-musicalsymbolbegintie	MUSICAL SYMBOL BEGIN TIE
1D176	mscl-musicalsymbolendtie	MUSICAL SYMBOL END TIE
1D177	mscl-musicalsymbolbeginslur	MUSICAL SYMBOL BEGIN SLUR
1D178	mscl-musicalsymbolendslur	MUSICAL SYMBOL END SLUR
1D179	mscl-musicalsymbolbeginphrase	MUSICAL SYMBOL BEGIN PHRASE
1D17A	mscl-musicalsymbolendphrase	MUSICAL SYMBOL END PHRASE
1D17B	mscl-musicalsymbolcombiningaccent	MUSICAL SYMBOL COMBINING ACCENT
1D17C	mscl-musicalsymbolcombiningstaccato	MUSICAL SYMBOL COMBINING STACCATO
1D17D	mscl-musicalsymbolcombiningtenuto	MUSICAL SYMBOL COMBINING TENUTO
1D17E	mscl-musicalsymbolcombiningstaccatissimo	MUSICAL SYMBOL COMBINING STACCATISSIMO
1D17F	mscl-musicalsymbolcombiningmarcato	MUSICAL SYMBOL COMBINING MARCATO
1D180	mscl-musicalsymbolcombiningmarcatostaccato	MUSICAL SYMBOL COMBINING MARCATO-STACCATO
1D181	mscl-musicalsymbolcombiningaccentstaccato	MUSICAL SYMBOL COMBINING ACCENT-STACCATO
1D182	mscl-musicalsymbolcombiningloure	MUSICAL SYMBOL COMBINING LOURE
1D183	mscl-musicalsymbolarpeggiatoup	MUSICAL SYMBOL ARPEGGIATO UP
1D184	mscl-musicalsymbolarpeggiatodown	MUSICAL SYMBOL ARPEGGIATO DOWN
1D185	mscl-musicalsymbolcombiningdoit	MUSICAL SYMBOL COMBINING DOIT
1D186	mscl-musicalsymbolcombiningrip	MUSICAL SYMBOL COMBINING RIP
1D187	mscl-musicalsymbolcombiningflip	MUSICAL SYMBOL COMBINING FLIP
1D188	mscl-musicalsymbolcombiningsmear	MUSICAL SYMBOL COMBINING SMEAR
1D189	mscl-musicalsymbolcombiningbend	MUSICAL SYMBOL COMBINING BEND
1D18A	mscl-musicalsymbolcombiningdoubletongue	MUSICAL SYMBOL COMBINING DOUBLE TONGUE
1D18B	mscl-musicalsymbolcombiningtripletongue	MUSICAL SYMBOL COMBINING TRIPLE TONGUE
1D18C	mscl-musicalsymbolrinforzando	MUSICAL SYMBOL RINFORZANDO
1D18D	mscl-musicalsymbolsubito	MUSICAL SYMBOL SUBITO
1D18E	mscl-musicalsymbolz	MUSICAL SYMBOL Z
1D18F	mscl-musicalsymbolpiano	MUSICAL SYMBOL PIANO
1D190	mscl-musicalsymbolmezzo	MUSICAL SYMBOL MEZZO
1D191	mscl-musicalsymbolforte	MUSICAL SYMBOL FORTE
1D192	mscl-musicalsymbolcrescendo	MUSICAL SYMBOL CRESCENDO
1D193	mscl-musicalsymboldecrescendo	MUSICAL SYMBOL DECRESCENDO
1D194	mscl-musicalsymbolgracenoteslash	MUSICAL SYMBOL GRACE NOTE SLASH
1D195	mscl-musicalsymbolgracenotenoslash	MUSICAL SYMBOL GRACE NOTE NO SLASH
1D196	mscl-musicalsymboltr	MUSICAL SYMBOL TR
1D197	mscl-musicalsymbolturn	MUSICAL SYMBOL TURN
1D198	mscl-musicalsymbolinvertedturn	MUSICAL SYMBOL INVERTED TURN
1D199	mscl-musicalsymbolturnslash	MUSICAL SYMBOL TURN SLASH
1D19A	mscl-musicalsymbolturnup	MUSICAL SYMBOL TURN UP
1D19B	mscl-musicalsymbolornamentstroke1	MUSICAL SYMBOL ORNAMENT STROKE-1
1D19C	mscl-musicalsymbolornamentstroke2	MUSICAL SYMBOL ORNAMENT STROKE-2
1D19D	mscl-musicalsymbolornamentstroke3	MUSICAL SYMBOL ORNAMENT STROKE-3
1D19E	mscl-musicalsymbolornamentstroke4	MUSICAL SYMBOL ORNAMENT STROKE-4
1D19F	mscl-musicalsymbolornamentstroke5	MUSICAL SYMBOL ORNAMENT STROKE-5
1D1A0	mscl-musicalsymbolornamentstroke6	MUSICAL SYMBOL ORNAMENT STROKE-6
1D1A1	mscl-musicalsymbolornamentstroke7	MUSICAL SYMBOL ORNAMENT STROKE-7
1D1A2	mscl-musicalsymbolornamentstroke8	MUSICAL SYMBOL ORNAMENT STROKE-8
1D1A3	mscl-musicalsymbolornamentstroke9	MUSICAL SYMBOL ORNAMENT STROKE-9
1D1A4	mscl-musicalsymbolornamentstroke10	MUSICAL SYMBOL ORNAMENT STROKE-10
1D1A5	mscl-musicalsymbolornamentstroke11	MUSICAL SYMBOL ORNAMENT STROKE-11
1D1A6	mscl-musicalsymbolhauptstimme	MUSICAL SYMBOL HAUPTSTIMME
1D1A7	mscl-musicalsymbolnebenstimme	MUSICAL SYMBOL NEBENSTIMME
1D1A8	mscl-musicalsymbolendofstimme	MUSICAL SYMBOL END OF STIMME
1D1A9	mscl-musicalsymboldegreeslash	MUSICAL SYMBOL DEGREE SLASH
