# CJK Compatibility 3300 - 33FF
3367	cjk-hourfifteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR FIFTEEN
3368	cjk-hoursixteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SIXTEEN
3369	cjk-hourseventeentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR SEVENTEEN
336A	cjk-houreighteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR EIGHTEEN
336B	cjk-hournineteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR NINETEEN
336C	cjk-hourtwentytelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY
336D	cjk-hourtwentyonetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-ONE
336E	cjk-hourtwentytwotelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-TWO
336F	cjk-hourtwentythreetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-THREE
3370	cjk-hourtwentyfourtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR HOUR TWENTY-FOUR
3371	cjk-hpafullwidth	SQUARE HPA
3372	cjk-dafullwidth	SQUARE DA
3373	cjk-aufullwidth	SQUARE AU
3374	cjk-barfullwidth	SQUARE BAR
3375	cjk-ovfullwidth	SQUARE OV
3376	cjk-pcfullwidth	SQUARE PC
3377	cjk-dmfullwidth	SQUARE DM
3378	cjk-dmdfullwidth	SQUARE DM SQUARED
3379	cjk-dmcubedfullwidth	SQUARE DM CUBED
337A	cjk-iufullwidth	SQUARE IU
337B	cjk-eranameheiseifullwidth	SQUARE ERA NAME HEISEI
337C	cjk-eranamesyouwafullwidth	SQUARE ERA NAME SYOUWA
337D	cjk-eranametaisyoufullwidth	SQUARE ERA NAME TAISYOU
337E	cjk-eranamemeizifullwidth	SQUARE ERA NAME MEIZI
337F	cjk-corporationfullwidth	SQUARE CORPORATION
3380	cjk-paampsfullwidth	SQUARE PA AMPS
3381	cjk-nafullwidth	SQUARE NA
3382	cjk-muafullwidth	SQUARE MU A
3383	cjk-mafullwidth	SQUARE MA
3384	cjk-kafullwidth	SQUARE KA
3385	cjk-kbfullwidth	SQUARE KB
3386	cjk-mbfullwidth	SQUARE MB
3387	cjk-gbfullwidth	SQUARE GB
3388	cjk-calfullwidth	SQUARE CAL
3389	cjk-kcalfullwidth	SQUARE KCAL
338A	cjk-pffullwidth	SQUARE PF
338B	cjk-nffullwidth	SQUARE NF
338C	cjk-muffullwidth	SQUARE MU F
338D	cjk-mugfullwidth	SQUARE MU G
338E	cjk-mgfullwidth	SQUARE MG
338F	cjk-kgfullwidth	SQUARE KG
3390	cjk-hzfullwidth	SQUARE HZ
3391	cjk-khzfullwidth	SQUARE KHZ
3392	cjk-mhzfullwidth	SQUARE MHZ
3393	cjk-ghzfullwidth	SQUARE GHZ
3394	cjk-thzfullwidth	SQUARE THZ
3395	cjk-mulfullwidth	SQUARE MU L
3396	cjk-mlfullwidth	SQUARE ML
3397	cjk-dlfullwidth	SQUARE DL
3398	cjk-klfullwidth	SQUARE KL
3399	cjk-fmfullwidth	SQUARE FM
339A	cjk-nmfullwidth	SQUARE NM
339B	cjk-mumfullwidth	SQUARE MU M
339C	cjk-mmfullwidth	SQUARE MM
339D	cjk-cmfullwidth	SQUARE CM
339E	cjk-kmfullwidth	SQUARE KM
339F	cjk-mmdfullwidth	SQUARE MM SQUARED
33A0	cjk-cmdfullwidth	SQUARE CM SQUARED
33A1	cjk-mdfullwidth	SQUARE M SQUARED
33A2	cjk-kmdfullwidth	SQUARE KM SQUARED
33A3	cjk-mmcubedfullwidth	SQUARE MM CUBED
33A4	cjk-cmcubedfullwidth	SQUARE CM CUBED
33A5	cjk-mcubedfullwidth	SQUARE M CUBED
33A6	cjk-kmcubedfullwidth	SQUARE KM CUBED
33A7	cjk-moversfullwidth	SQUARE M OVER S
33A8	cjk-moversdfullwidth	SQUARE M OVER S SQUARED
33A9	cjk-pafullwidth	SQUARE PA
33AA	cjk-kpafullwidth	SQUARE KPA
33AB	cjk-mpafullwidth	SQUARE MPA
33AC	cjk-gpafullwidth	SQUARE GPA
33AD	cjk-radfullwidth	SQUARE RAD
33AE	cjk-radoversfullwidth	SQUARE RAD OVER S
33AF	cjk-radoversdfullwidth	SQUARE RAD OVER S SQUARED
33B0	cjk-psfullwidth	SQUARE PS
33B1	cjk-nsfullwidth	SQUARE NS
33B2	cjk-musfullwidth	SQUARE MU S
33B3	cjk-msfullwidth	SQUARE MS
33B4	cjk-pvfullwidth	SQUARE PV
33B5	cjk-nvfullwidth	SQUARE NV
33B6	cjk-muvfullwidth	SQUARE MU V
33B7	cjk-mvfullwidth	SQUARE MV
33B8	cjk-kvfullwidth	SQUARE KV
33B9	cjk-mvmegafullwidth	SQUARE MV MEGA
33BA	cjk-pwfullwidth	SQUARE PW
33BB	cjk-nwfullwidth	SQUARE NW
33BC	cjk-muwfullwidth	SQUARE MU W
33BD	cjk-mwfullwidth	SQUARE MW
33BE	cjk-kwfullwidth	SQUARE KW
33BF	cjk-mwmegafullwidth	SQUARE MW MEGA
33C0	cjk-kohmfullwidth	SQUARE K OHM
33C1	cjk-mohmfullwidth	SQUARE M OHM
33C2	cjk-amfullwidth	SQUARE AM
33C3	cjk-bqfullwidth	SQUARE BQ
33C4	cjk-ccfullwidth	SQUARE CC
33C5	cjk-cdfullwidth	SQUARE CD
33C6	cjk-coverkgfullwidth	SQUARE C OVER KG
33C7	cjk-cofullwidth	SQUARE CO
33C8	cjk-dbfullwidth	SQUARE DB
33C9	cjk-gyfullwidth	SQUARE GY
33CA	cjk-hafullwidth	SQUARE HA
33CB	cjk-hpfullwidth	SQUARE HP
33CC	cjk-infullwidth	SQUARE IN
33CD	cjk-kkfullwidth	SQUARE KK
33CE	cjk-kmcapitalfullwidth	SQUARE KM CAPITAL
33CF	cjk-ktfullwidth	SQUARE KT
33D0	cjk-lmfullwidth	SQUARE LM
33D1	cjk-lnfullwidth	SQUARE LN
33D2	cjk-logfullwidth	SQUARE LOG
33D3	cjk-lxfullwidth	SQUARE LX
33D4	cjk-mbsmallfullwidth	SQUARE MB SMALL
33D5	cjk-milfullwidth	SQUARE MIL
33D6	cjk-molfullwidth	SQUARE MOL
33D7	cjk-phfullwidth	SQUARE PH
33D8	cjk-pmfullwidth	SQUARE PM
33D9	cjk-ppmfullwidth	SQUARE PPM
33DA	cjk-prfullwidth	SQUARE PR
33DB	cjk-srfullwidth	SQUARE SR
33DC	cjk-svfullwidth	SQUARE SV
33DD	cjk-wbfullwidth	SQUARE WB
33DE	cjk-vovermfullwidth	SQUARE V OVER M
33DF	cjk-aovermfullwidth	SQUARE A OVER M
33E0	cjk-dayonetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY ONE
33E1	cjk-daytwotelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWO
33E2	cjk-daythreetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THREE
33E3	cjk-dayfourtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FOUR
33E4	cjk-dayfivetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FIVE
33E5	cjk-daysixtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SIX
33E6	cjk-dayseventelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SEVEN
33E7	cjk-dayeighttelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY EIGHT
33E8	cjk-dayninetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY NINE
33E9	cjk-daytentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TEN
33EA	cjk-dayeleventelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY ELEVEN
33EB	cjk-daytwelvetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWELVE
33EC	cjk-daythirteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTEEN
33ED	cjk-dayfourteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FOURTEEN
33EE	cjk-dayfifteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY FIFTEEN
33EF	cjk-daysixteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SIXTEEN
33F0	cjk-dayseventeentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY SEVENTEEN
33F1	cjk-dayeighteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY EIGHTEEN
33F2	cjk-daynineteentelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY NINETEEN
33F3	cjk-daytwentytelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY
33F4	cjk-daytwentyonetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-ONE
33F5	cjk-daytwentytwotelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-TWO
33F6	cjk-daytwentythreetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-THREE
33F7	cjk-daytwentyfourtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FOUR
33F8	cjk-daytwentyfivetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-FIVE
33F9	cjk-daytwentysixtelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SIX
33FA	cjk-daytwentyseventelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-SEVEN
33FB	cjk-daytwentyeighttelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-EIGHT
33FC	cjk-daytwentyninetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY TWENTY-NINE
33FD	cjk-daythirtytelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY
33FE	cjk-daythirtyonetelegraph	IDEOGRAPHIC TELEGRAPH SYMBOL FOR DAY THIRTY-ONE
33FF	cjk-galfullwidth	SQUARE GAL
