# CJK Unified Ideographs Extension C 2A700 - 2B73F
2A744	cjk-cjkunifiedideograph2a744	CJK UNIFIED IDEOGRAPH-2A744
2A745	cjk-cjkunifiedideograph2a745	CJK UNIFIED IDEOGRAPH-2A745
2A746	cjk-cjkunifiedideograph2a746	CJK UNIFIED IDEOGRAPH-2A746
2A747	cjk-cjkunifiedideograph2a747	CJK UNIFIED IDEOGRAPH-2A747
2A748	cjk-cjkunifiedideograph2a748	CJK UNIFIED IDEOGRAPH-2A748
2A749	cjk-cjkunifiedideograph2a749	CJK UNIFIED IDEOGRAPH-2A749
2A74A	cjk-cjkunifiedideograph2a74a	CJK UNIFIED IDEOGRAPH-2A74A
2A74B	cjk-cjkunifiedideograph2a74b	CJK UNIFIED IDEOGRAPH-2A74B
2A74C	cjk-cjkunifiedideograph2a74c	CJK UNIFIED IDEOGRAPH-2A74C
2A74D	cjk-cjkunifiedideograph2a74d	CJK UNIFIED IDEOGRAPH-2A74D
2A74E	cjk-cjkunifiedideograph2a74e	CJK UNIFIED IDEOGRAPH-2A74E
2A74F	cjk-cjkunifiedideograph2a74f	CJK UNIFIED IDEOGRAPH-2A74F
2A750	cjk-cjkunifiedideograph2a750	CJK UNIFIED IDEOGRAPH-2A750
2A751	cjk-cjkunifiedideograph2a751	CJK UNIFIED IDEOGRAPH-2A751
2A752	cjk-cjkunifiedideograph2a752	CJK UNIFIED IDEOGRAPH-2A752
2A753	cjk-cjkunifiedideograph2a753	CJK UNIFIED IDEOGRAPH-2A753
2A754	cjk-cjkunifiedideograph2a754	CJK UNIFIED IDEOGRAPH-2A754
2A755	cjk-cjkunifiedideograph2a755	CJK UNIFIED IDEOGRAPH-2A755
2A756	cjk-cjkunifiedideograph2a756	CJK UNIFIED IDEOGRAPH-2A756
2A757	cjk-cjkunifiedideograph2a757	CJK UNIFIED IDEOGRAPH-2A757
2A758	cjk-cjkunifiedideograph2a758	CJK UNIFIED IDEOGRAPH-2A758
2A759	cjk-cjkunifiedideograph2a759	CJK UNIFIED IDEOGRAPH-2A759
2A75A	cjk-cjkunifiedideograph2a75a	CJK UNIFIED IDEOGRAPH-2A75A
2A75B	cjk-cjkunifiedideograph2a75b	CJK UNIFIED IDEOGRAPH-2A75B
2A75C	cjk-cjkunifiedideograph2a75c	CJK UNIFIED IDEOGRAPH-2A75C
2A75D	cjk-cjkunifiedideograph2a75d	CJK UNIFIED IDEOGRAPH-2A75D
2A75E	cjk-cjkunifiedideograph2a75e	CJK UNIFIED IDEOGRAPH-2A75E
2A75F	cjk-cjkunifiedideograph2a75f	CJK UNIFIED IDEOGRAPH-2A75F
2A760	cjk-cjkunifiedideograph2a760	CJK UNIFIED IDEOGRAPH-2A760
2A761	cjk-cjkunifiedideograph2a761	CJK UNIFIED IDEOGRAPH-2A761
2A762	cjk-cjkunifiedideograph2a762	CJK UNIFIED IDEOGRAPH-2A762
2A763	cjk-cjkunifiedideograph2a763	CJK UNIFIED IDEOGRAPH-2A763
2A764	cjk-cjkunifiedideograph2a764	CJK UNIFIED IDEOGRAPH-2A764
2A765	cjk-cjkunifiedideograph2a765	CJK UNIFIED IDEOGRAPH-2A765
2A766	cjk-cjkunifiedideograph2a766	CJK UNIFIED IDEOGRAPH-2A766
