# Myanmar 1000 - 109F
105F	mynm-myanmarconsonantsignmonmedialma	MYANMAR CONSONANT SIGN MON MEDIAL MA
1060	mynm-myanmarconsonantsignmonmedialla	MYANMAR CONSONANT SIGN MON MEDIAL LA
1061	mynm-myanmarlettersgawkarensha	MYANMAR LETTER SGAW KAREN SHA
1062	mynm-myanmarvowelsignsgawkareneu	MYANMAR VOWEL SIGN SGAW KAREN EU
1063	mynm-myanmartonemarksgawkarenhathi	MYANMAR TONE MARK SGAW KAREN HATHI
1064	mynm-myanmartonemarksgawkarenkepho	MYANMAR TONE MARK SGAW KAREN KE PHO
1065	mynm-myanmarletterwesternpwokarentha	MYANMAR LETTER WESTERN PWO KAREN THA
1066	mynm-myanmarletterwesternpwokarenpwa	MYANMAR LETTER WESTERN PWO KAREN PWA
1067	mynm-myanmarvowelsignwesternpwokareneu	MYANMAR VOWEL SIGN WESTERN PWO KAREN EU
1068	mynm-myanmarvowelsignwesternpwokarenue	MYANMAR VOWEL SIGN WESTERN PWO KAREN UE
1069	mynm-myanmarsignwesternpwokarentone1	MYANMAR SIGN WESTERN PWO KAREN TONE-1
106A	mynm-myanmarsignwesternpwokarentone2	MYANMAR SIGN WESTERN PWO KAREN TONE-2
106B	mynm-myanmarsignwesternpwokarentone3	MYANMAR SIGN WESTERN PWO KAREN TONE-3
106C	mynm-myanmarsignwesternpwokarentone4	MYANMAR SIGN WESTERN PWO KAREN TONE-4
106D	mynm-myanmarsignwesternpwokarentone5	MYANMAR SIGN WESTERN PWO KAREN TONE-5
106E	mynm-myanmarlettereasternpwokarennna	MYANMAR LETTER EASTERN PWO KAREN NNA
106F	mynm-myanmarlettereasternpwokarenywa	MYANMAR LETTER EASTERN PWO KAREN YWA
1070	mynm-myanmarlettereasternpwokarenghwa	MYANMAR LETTER EASTERN PWO KAREN GHWA
1071	mynm-myanmarvowelsigngebakareni	MYANMAR VOWEL SIGN GEBA KAREN I
1072	mynm-myanmarvowelsignkayahoe	MYANMAR VOWEL SIGN KAYAH OE
1073	mynm-myanmarvowelsignkayahu	MYANMAR VOWEL SIGN KAYAH U
1074	mynm-myanmarvowelsignkayahee	MYANMAR VOWEL SIGN KAYAH EE
1075	mynm-myanmarlettershanka	MYANMAR LETTER SHAN KA
1076	mynm-myanmarlettershankha	MYANMAR LETTER SHAN KHA
1077	mynm-myanmarlettershanga	MYANMAR LETTER SHAN GA
1078	mynm-myanmarlettershanca	MYANMAR LETTER SHAN CA
1079	mynm-myanmarlettershanza	MYANMAR LETTER SHAN ZA
107A	mynm-myanmarlettershannya	MYANMAR LETTER SHAN NYA
107B	mynm-myanmarlettershanda	MYANMAR LETTER SHAN DA
107C	mynm-myanmarlettershanna	MYANMAR LETTER SHAN NA
107D	mynm-myanmarlettershanpha	MYANMAR LETTER SHAN PHA
107E	mynm-myanmarlettershanfa	MYANMAR LETTER SHAN FA
107F	mynm-myanmarlettershanba	MYANMAR LETTER SHAN BA
1080	mynm-myanmarlettershantha	MYANMAR LETTER SHAN THA
1081	mynm-myanmarlettershanha	MYANMAR LETTER SHAN HA
1082	mynm-myanmarconsonantsignshanmedialwa	MYANMAR CONSONANT SIGN SHAN MEDIAL WA
1083	mynm-myanmarvowelsignshanaa	MYANMAR VOWEL SIGN SHAN AA
1084	mynm-myanmarvowelsignshane	MYANMAR VOWEL SIGN SHAN E
1085	mynm-myanmarvowelsignshaneabove	MYANMAR VOWEL SIGN SHAN E ABOVE
1086	mynm-myanmarvowelsignshanfinaly	MYANMAR VOWEL SIGN SHAN FINAL Y
1087	mynm-myanmarsignshantone2	MYANMAR SIGN SHAN TONE-2
1088	mynm-myanmarsignshantone3	MYANMAR SIGN SHAN TONE-3
1089	mynm-myanmarsignshantone5	MYANMAR SIGN SHAN TONE-5
108A	mynm-myanmarsignshantone6	MYANMAR SIGN SHAN TONE-6
108B	mynm-myanmarsignshancounciltone2	MYANMAR SIGN SHAN COUNCIL TONE-2
108C	mynm-myanmarsignshancounciltone3	MYANMAR SIGN SHAN COUNCIL TONE-3
108D	mynm-myanmarsignshancouncilemphatictone	MYANMAR SIGN SHAN COUNCIL EMPHATIC TONE
108E	mynm-myanmarletterrumaipalaungfa	MYANMAR LETTER RUMAI PALAUNG FA
108F	mynm-myanmarsignrumaipalaungtone5	MYANMAR SIGN RUMAI PALAUNG TONE-5
1090	mynm-myanmarshandigitzero	MYANMAR SHAN DIGIT ZERO
1091	mynm-myanmarshandigitone	MYANMAR SHAN DIGIT ONE
1092	mynm-myanmarshandigittwo	MYANMAR SHAN DIGIT TWO
1093	mynm-myanmarshandigitthree	MYANMAR SHAN DIGIT THREE
1094	mynm-myanmarshandigitfour	MYANMAR SHAN DIGIT FOUR
1095	mynm-myanmarshandigitfive	MYANMAR SHAN DIGIT FIVE
1096	mynm-myanmarshandigitsix	MYANMAR SHAN DIGIT SIX
1097	mynm-myanmarshandigitseven	MYANMAR SHAN DIGIT SEVEN
1098	mynm-myanmarshandigiteight	MYANMAR SHAN DIGIT EIGHT
1099	mynm-myanmarshandigitnine	MYANMAR SHAN DIGIT NINE
109A	mynm-myanmarsignkhamtitone1	MYANMAR SIGN KHAMTI TONE-1
109B	mynm-myanmarsignkhamtitone3	MYANMAR SIGN KHAMTI TONE-3
109C	mynm-myanmarvowelsignaitona	MYANMAR VOWEL SIGN AITON A
109D	mynm-myanmarvowelsignaitonai	MYANMAR VOWEL SIGN AITON AI
109E	mynm-myanmarsymbolshanone	MYANMAR SYMBOL SHAN ONE
109F	mynm-myanmarsymbolshanexclamation	MYANMAR SYMBOL SHAN EXCLAMATION
