# Greek and Coptic 0370 - 03FF
03D9	gr-koppaarchaic	GREEK SMALL LETTER ARCHAIC KOPPA
03DA	gr-Stigma	GREEK LETTER STIGMA
03DB	gr-stigma	GREEK SMALL LETTER STIGMA
03DC	gr-Digamma	GREEK LETTER DIGAMMA
03DD	gr-digamma	GREEK SMALL LETTER DIGAMMA
03DE	gr-Koppa	GREEK LETTER KOPPA
03DF	gr-koppa	GREEK SMALL LETTER KOPPA
03E0	gr-Sampi	GREEK LETTER SAMPI
03E1	gr-sampi	GREEK SMALL LETTER SAMPI
03E2	gr-Sheicoptic	COPTIC CAPITAL LETTER SHEI
03E3	gr-sheicoptic	COPTIC SMALL LETTER SHEI
03E4	gr-Feicoptic	COPTIC CAPITAL LETTER FEI
03E5	gr-feicoptic	COPTIC SMALL LETTER FEI
03E6	gr-Kheicoptic	COPTIC CAPITAL LETTER KHEI
03E7	gr-kheicoptic	COPTIC SMALL LETTER KHEI
03E8	gr-Horicoptic	COPTIC CAPITAL LETTER HORI
03E9	gr-horicoptic	COPTIC SMALL LETTER HORI
03EA	gr-Gangiacoptic	COPTIC CAPITAL LETTER GANGIA
03EB	gr-gangiacoptic	COPTIC SMALL LETTER GANGIA
03EC	gr-Shimacoptic	COPTIC CAPITAL LETTER SHIMA
03ED	gr-shimacoptic	COPTIC SMALL LETTER SHIMA
03EE	gr-Deicoptic	COPTIC CAPITAL LETTER DEI
03EF	gr-deicoptic	COPTIC SMALL LETTER DEI
03F0	gr-kappa.math	GREEK KAPPA SYMBOL
03F1	gr-rhosymbol	GREEK RHO SYMBOL
03F2	gr-sigmalunatesymbol	GREEK LUNATE SIGMA SYMBOL
03F3	gr-yot	GREEK LETTER YOT
03F4	gr-Thetasymbol	GREEK CAPITAL THETA SYMBOL
03F5	gr-epsilonlunatesymbol	GREEK LUNATE EPSILON SYMBOL
03F6	gr-epsilonreversedlunatesymbol	GREEK REVERSED LUNATE EPSILON SYMBOL
03F7	gr-Sho	GREEK CAPITAL LETTER SHO
03F8	gr-sho	GREEK SMALL LETTER SHO
03F9	gr-Sigmalunatesymbol	GREEK CAPITAL LUNATE SIGMA SYMBOL
03FA	gr-San	GREEK CAPITAL LETTER SAN
03FB	gr-san	GREEK SMALL LETTER SAN
03FC	gr-rhostrokesymbol	GREEK RHO WITH STROKE SYMBOL
03FD	gr-Sigmareversedlunatesymbol	GREEK CAPITAL REVERSED LUNATE SIGMA SYMBOL
03FE	gr-Sigmalunatesymboldotted	GREEK CAPITAL DOTTED LUNATE SIGMA SYMBOL
03FF	gr-Reversed dottedsigmalunatesymbol	GREEK CAPITAL REVERSED DOTTED LUNATE SIGMA SYMBOL
