# Yi Syllables A000 - A48F
A06B	ysyl-yisyllablebbep	YI SYLLABLE BBEP
A06C	ysyl-yisyllablebbut	YI SYLLABLE BBUT
A06D	ysyl-yisyllablebbux	YI SYLLABLE BBUX
A06E	ysyl-yisyllablebbu	YI SYLLABLE BBU
A06F	ysyl-yisyllablebbup	YI SYLLABLE BBUP
A070	ysyl-yisyllablebburx	YI SYLLABLE BBURX
A071	ysyl-yisyllablebbur	YI SYLLABLE BBUR
A072	ysyl-yisyllablebbyt	YI SYLLABLE BBYT
A073	ysyl-yisyllablebbyx	YI SYLLABLE BBYX
A074	ysyl-yisyllablebby	YI SYLLABLE BBY
A075	ysyl-yisyllablebbyp	YI SYLLABLE BBYP
A076	ysyl-yisyllablenbit	YI SYLLABLE NBIT
A077	ysyl-yisyllablenbix	YI SYLLABLE NBIX
A078	ysyl-yisyllablenbi	YI SYLLABLE NBI
A079	ysyl-yisyllablenbip	YI SYLLABLE NBIP
A07A	ysyl-yisyllablenbiex	YI SYLLABLE NBIEX
A07B	ysyl-yisyllablenbie	YI SYLLABLE NBIE
A07C	ysyl-yisyllablenbiep	YI SYLLABLE NBIEP
A07D	ysyl-yisyllablenbat	YI SYLLABLE NBAT
A07E	ysyl-yisyllablenbax	YI SYLLABLE NBAX
A07F	ysyl-yisyllablenba	YI SYLLABLE NBA
A080	ysyl-yisyllablenbap	YI SYLLABLE NBAP
A081	ysyl-yisyllablenbot	YI SYLLABLE NBOT
A082	ysyl-yisyllablenbox	YI SYLLABLE NBOX
A083	ysyl-yisyllablenbo	YI SYLLABLE NBO
A084	ysyl-yisyllablenbop	YI SYLLABLE NBOP
A085	ysyl-yisyllablenbut	YI SYLLABLE NBUT
A086	ysyl-yisyllablenbux	YI SYLLABLE NBUX
A087	ysyl-yisyllablenbu	YI SYLLABLE NBU
A088	ysyl-yisyllablenbup	YI SYLLABLE NBUP
A089	ysyl-yisyllablenburx	YI SYLLABLE NBURX
A08A	ysyl-yisyllablenbur	YI SYLLABLE NBUR
A08B	ysyl-yisyllablenbyt	YI SYLLABLE NBYT
A08C	ysyl-yisyllablenbyx	YI SYLLABLE NBYX
A08D	ysyl-yisyllablenby	YI SYLLABLE NBY
A08E	ysyl-yisyllablenbyp	YI SYLLABLE NBYP
A08F	ysyl-yisyllablenbyrx	YI SYLLABLE NBYRX
A090	ysyl-yisyllablenbyr	YI SYLLABLE NBYR
A091	ysyl-yisyllablehmit	YI SYLLABLE HMIT
A092	ysyl-yisyllablehmix	YI SYLLABLE HMIX
A093	ysyl-yisyllablehmi	YI SYLLABLE HMI
A094	ysyl-yisyllablehmip	YI SYLLABLE HMIP
A095	ysyl-yisyllablehmiex	YI SYLLABLE HMIEX
A096	ysyl-yisyllablehmie	YI SYLLABLE HMIE
A097	ysyl-yisyllablehmiep	YI SYLLABLE HMIEP
A098	ysyl-yisyllablehmat	YI SYLLABLE HMAT
A099	ysyl-yisyllablehmax	YI SYLLABLE HMAX
A09A	ysyl-yisyllablehma	YI SYLLABLE HMA
A09B	ysyl-yisyllablehmap	YI SYLLABLE HMAP
A09C	ysyl-yisyllablehmuox	YI SYLLABLE HMUOX
A09D	ysyl-yisyllablehmuo	YI SYLLABLE HMUO
A09E	ysyl-yisyllablehmuop	YI SYLLABLE HMUOP
A09F	ysyl-yisyllablehmot	YI SYLLABLE HMOT
A0A0	ysyl-yisyllablehmox	YI SYLLABLE HMOX
A0A1	ysyl-yisyllablehmo	YI SYLLABLE HMO
A0A2	ysyl-yisyllablehmop	YI SYLLABLE HMOP
A0A3	ysyl-yisyllablehmut	YI SYLLABLE HMUT
A0A4	ysyl-yisyllablehmux	YI SYLLABLE HMUX
A0A5	ysyl-yisyllablehmu	YI SYLLABLE HMU
A0A6	ysyl-yisyllablehmup	YI SYLLABLE HMUP
A0A7	ysyl-yisyllablehmurx	YI SYLLABLE HMURX
A0A8	ysyl-yisyllablehmur	YI SYLLABLE HMUR
A0A9	ysyl-yisyllablehmyx	YI SYLLABLE HMYX
A0AA	ysyl-yisyllablehmy	YI SYLLABLE HMY
A0AB	ysyl-yisyllablehmyp	YI SYLLABLE HMYP
A0AC	ysyl-yisyllablehmyrx	YI SYLLABLE HMYRX
A0AD	ysyl-yisyllablehmyr	YI SYLLABLE HMYR
A0AE	ysyl-yisyllablemit	YI SYLLABLE MIT
A0AF	ysyl-yisyllablemix	YI SYLLABLE MIX
A0B0	ysyl-yisyllablemi	YI SYLLABLE MI
A0B1	ysyl-yisyllablemip	YI SYLLABLE MIP
A0B2	ysyl-yisyllablemiex	YI SYLLABLE MIEX
A0B3	ysyl-yisyllablemie	YI SYLLABLE MIE
A0B4	ysyl-yisyllablemiep	YI SYLLABLE MIEP
A0B5	ysyl-yisyllablemat	YI SYLLABLE MAT
A0B6	ysyl-yisyllablemax	YI SYLLABLE MAX
A0B7	ysyl-yisyllablema	YI SYLLABLE MA
A0B8	ysyl-yisyllablemap	YI SYLLABLE MAP
A0B9	ysyl-yisyllablemuot	YI SYLLABLE MUOT
A0BA	ysyl-yisyllablemuox	YI SYLLABLE MUOX
A0BB	ysyl-yisyllablemuo	YI SYLLABLE MUO
A0BC	ysyl-yisyllablemuop	YI SYLLABLE MUOP
A0BD	ysyl-yisyllablemot	YI SYLLABLE MOT
A0BE	ysyl-yisyllablemox	YI SYLLABLE MOX
A0BF	ysyl-yisyllablemo	YI SYLLABLE MO
A0C0	ysyl-yisyllablemop	YI SYLLABLE MOP
A0C1	ysyl-yisyllablemex	YI SYLLABLE MEX
A0C2	ysyl-yisyllableme	YI SYLLABLE ME
A0C3	ysyl-yisyllablemut	YI SYLLABLE MUT
A0C4	ysyl-yisyllablemux	YI SYLLABLE MUX
A0C5	ysyl-yisyllablemu	YI SYLLABLE MU
A0C6	ysyl-yisyllablemup	YI SYLLABLE MUP
A0C7	ysyl-yisyllablemurx	YI SYLLABLE MURX
A0C8	ysyl-yisyllablemur	YI SYLLABLE MUR
A0C9	ysyl-yisyllablemyt	YI SYLLABLE MYT
A0CA	ysyl-yisyllablemyx	YI SYLLABLE MYX
A0CB	ysyl-yisyllablemy	YI SYLLABLE MY
A0CC	ysyl-yisyllablemyp	YI SYLLABLE MYP
A0CD	ysyl-yisyllablefit	YI SYLLABLE FIT
A0CE	ysyl-yisyllablefix	YI SYLLABLE FIX
A0CF	ysyl-yisyllablefi	YI SYLLABLE FI
A0D0	ysyl-yisyllablefip	YI SYLLABLE FIP
A0D1	ysyl-yisyllablefat	YI SYLLABLE FAT
A0D2	ysyl-yisyllablefax	YI SYLLABLE FAX
A0D3	ysyl-yisyllablefa	YI SYLLABLE FA
A0D4	ysyl-yisyllablefap	YI SYLLABLE FAP
A0D5	ysyl-yisyllablefox	YI SYLLABLE FOX
A0D6	ysyl-yisyllablefo	YI SYLLABLE FO
A0D7	ysyl-yisyllablefop	YI SYLLABLE FOP
A0D8	ysyl-yisyllablefut	YI SYLLABLE FUT
A0D9	ysyl-yisyllablefux	YI SYLLABLE FUX
A0DA	ysyl-yisyllablefu	YI SYLLABLE FU
A0DB	ysyl-yisyllablefup	YI SYLLABLE FUP
A0DC	ysyl-yisyllablefurx	YI SYLLABLE FURX
A0DD	ysyl-yisyllablefur	YI SYLLABLE FUR
A0DE	ysyl-yisyllablefyt	YI SYLLABLE FYT
A0DF	ysyl-yisyllablefyx	YI SYLLABLE FYX
A0E0	ysyl-yisyllablefy	YI SYLLABLE FY
A0E1	ysyl-yisyllablefyp	YI SYLLABLE FYP
A0E2	ysyl-yisyllablevit	YI SYLLABLE VIT
A0E3	ysyl-yisyllablevix	YI SYLLABLE VIX
A0E4	ysyl-yisyllablevi	YI SYLLABLE VI
A0E5	ysyl-yisyllablevip	YI SYLLABLE VIP
A0E6	ysyl-yisyllableviet	YI SYLLABLE VIET
A0E7	ysyl-yisyllableviex	YI SYLLABLE VIEX
A0E8	ysyl-yisyllablevie	YI SYLLABLE VIE
A0E9	ysyl-yisyllableviep	YI SYLLABLE VIEP
A0EA	ysyl-yisyllablevat	YI SYLLABLE VAT
A0EB	ysyl-yisyllablevax	YI SYLLABLE VAX
A0EC	ysyl-yisyllableva	YI SYLLABLE VA
A0ED	ysyl-yisyllablevap	YI SYLLABLE VAP
A0EE	ysyl-yisyllablevot	YI SYLLABLE VOT
A0EF	ysyl-yisyllablevox	YI SYLLABLE VOX
A0F0	ysyl-yisyllablevo	YI SYLLABLE VO
A0F1	ysyl-yisyllablevop	YI SYLLABLE VOP
A0F2	ysyl-yisyllablevex	YI SYLLABLE VEX
A0F3	ysyl-yisyllablevep	YI SYLLABLE VEP
A0F4	ysyl-yisyllablevut	YI SYLLABLE VUT
A0F5	ysyl-yisyllablevux	YI SYLLABLE VUX
A0F6	ysyl-yisyllablevu	YI SYLLABLE VU
A0F7	ysyl-yisyllablevup	YI SYLLABLE VUP
A0F8	ysyl-yisyllablevurx	YI SYLLABLE VURX
A0F9	ysyl-yisyllablevur	YI SYLLABLE VUR
A0FA	ysyl-yisyllablevyt	YI SYLLABLE VYT
A0FB	ysyl-yisyllablevyx	YI SYLLABLE VYX
A0FC	ysyl-yisyllablevy	YI SYLLABLE VY
A0FD	ysyl-yisyllablevyp	YI SYLLABLE VYP
A0FE	ysyl-yisyllablevyrx	YI SYLLABLE VYRX
A0FF	ysyl-yisyllablevyr	YI SYLLABLE VYR
A100	ysyl-yisyllabledit	YI SYLLABLE DIT
A101	ysyl-yisyllabledix	YI SYLLABLE DIX
A102	ysyl-yisyllabledi	YI SYLLABLE DI
A103	ysyl-yisyllabledip	YI SYLLABLE DIP
A104	ysyl-yisyllablediex	YI SYLLABLE DIEX
A105	ysyl-yisyllabledie	YI SYLLABLE DIE
A106	ysyl-yisyllablediep	YI SYLLABLE DIEP
A107	ysyl-yisyllabledat	YI SYLLABLE DAT
A108	ysyl-yisyllabledax	YI SYLLABLE DAX
A109	ysyl-yisyllableda	YI SYLLABLE DA
A10A	ysyl-yisyllabledap	YI SYLLABLE DAP
A10B	ysyl-yisyllableduox	YI SYLLABLE DUOX
A10C	ysyl-yisyllableduo	YI SYLLABLE DUO
A10D	ysyl-yisyllabledot	YI SYLLABLE DOT
A10E	ysyl-yisyllabledox	YI SYLLABLE DOX
