# Geometric Shapes 25A0 - 25FF
25F0	gmtr-squarewhiteupperquadrantleft	WHITE SQUARE WITH UPPER LEFT QUADRANT
25F1	gmtr-squarewhitelowerquadrantleft	WHITE SQUARE WITH LOWER LEFT QUADRANT
25F2	gmtr-squarewhitelowerquadrantright	WHITE SQUARE WITH LOWER RIGHT QUADRANT
25F3	gmtr-squarewhiteupperquadrantright	WHITE SQUARE WITH UPPER RIGHT QUADRANT
25F4	gmtr-circleupperquadrantleftwhite	WHITE CIRCLE WITH UPPER LEFT QUADRANT
25F5	gmtr-circlelowerquadrantleftwhite	WHITE CIRCLE WITH LOWER LEFT QUADRANT
25F6	gmtr-circlelowerquadrantrightwhite	WHITE CIRCLE WITH LOWER RIGHT QUADRANT
25F7	gmtr-circleupperquadrantrightwhite	WHITE CIRCLE WITH UPPER RIGHT QUADRANT
25F8	gmtr-uppertriangleleft	UPPER LEFT TRIANGLE
25F9	gmtr-uppertriangleright	UPPER RIGHT TRIANGLE
25FA	gmtr-lowertriangleleft	LOWER LEFT TRIANGLE
25FB	gmtr-squaremediumwhite	WHITE MEDIUM SQUARE
25FC	gmtr-squaremediumblack	BLACK MEDIUM SQUARE
25FD	gmtr-squaresmallmediumwhite	WHITE MEDIUM SMALL SQUARE
25FE	gmtr-squaresmallmediumblack	BLACK MEDIUM SMALL SQUARE
25FF	gmtr-lowertriangleright	LOWER RIGHT TRIANGLE
