# Combining Diacritical Marks 0300 - 036F
0357	needsfix_combiningrighthalfringabove	COMBINING RIGHT HALF RING ABOVE
0358	needsfix_combiningdotaboveright	COMBINING DOT ABOVE RIGHT
0359	needsfix_combiningasteriskbelow	COMBINING ASTERISK BELOW
035A	needsfix_combiningdoubleringbelow	COMBINING DOUBLE RING BELOW
035B	needsfix_combiningzigzagabove	COMBINING ZIGZAG ABOVE
035C	needsfix_combiningdoublebrevebelow	COMBINING DOUBLE BREVE BELOW
035D	needsfix_combiningdoublebreve	COMBINING DOUBLE BREVE
035E	needsfix_combiningdoublemacron	COMBINING DOUBLE MACRON
035F	needsfix_combiningdoublemacronbelow	COMBINING DOUBLE MACRON BELOW
0360	needsfix_combiningdoubletilde	COMBINING DOUBLE TILDE
0361	needsfix_combiningdoubleinvertedbreve	COMBINING DOUBLE INVERTED BREVE
0362	needsfix_combiningdoublerightwardsarrowbelow	COMBINING DOUBLE RIGHTWARDS ARROW BELOW
0363	needsfix_combininglatinsmalllettera	COMBINING LATIN SMALL LETTER A
0364	needsfix_combininglatinsmalllettere	COMBINING LATIN SMALL LETTER E
0365	needsfix_combininglatinsmallletteri	COMBINING LATIN SMALL LETTER I
0366	needsfix_combininglatinsmalllettero	COMBINING LATIN SMALL LETTER O
0367	needsfix_combininglatinsmallletteru	COMBINING LATIN SMALL LETTER U
0368	needsfix_combininglatinsmallletterc	COMBINING LATIN SMALL LETTER C
0369	needsfix_combininglatinsmallletterd	COMBINING LATIN SMALL LETTER D
036A	needsfix_combininglatinsmallletterh	COMBINING LATIN SMALL LETTER H
036B	needsfix_combininglatinsmallletterm	COMBINING LATIN SMALL LETTER M
036C	needsfix_combininglatinsmallletterr	COMBINING LATIN SMALL LETTER R
036D	needsfix_combininglatinsmalllettert	COMBINING LATIN SMALL LETTER T
036E	needsfix_combininglatinsmallletterv	COMBINING LATIN SMALL LETTER V
036F	needsfix_combininglatinsmallletterx	COMBINING LATIN SMALL LETTER X
