# Enclosed CJK Letters and Months 3200 - 32FF
3253	cjk-twentythreecircle	CIRCLED NUMBER TWENTY THREE
3254	cjk-twentyfourcircle	CIRCLED NUMBER TWENTY FOUR
3255	cjk-twentyfivecircle	CIRCLED NUMBER TWENTY FIVE
3256	cjk-twentysixcircle	CIRCLED NUMBER TWENTY SIX
3257	cjk-twentysevencircle	CIRCLED NUMBER TWENTY SEVEN
3258	cjk-twentyeightcircle	CIRCLED NUMBER TWENTY EIGHT
3259	cjk-twentyninecircle	CIRCLED NUMBER TWENTY NINE
325A	cjk-thirtycircle	CIRCLED NUMBER THIRTY
325B	cjk-thirtyonecircle	CIRCLED NUMBER THIRTY ONE
325C	cjk-thirtytwocircle	CIRCLED NUMBER THIRTY TWO
325D	cjk-thirtythreecircle	CIRCLED NUMBER THIRTY THREE
325E	cjk-thirtyfourcircle	CIRCLED NUMBER THIRTY FOUR
325F	cjk-thirtyfivecircle	CIRCLED NUMBER THIRTY FIVE
3260	cjk-kiyeokcirclekorean	CIRCLED HANGUL KIYEOK
3261	cjk-nieuncirclekorean	CIRCLED HANGUL NIEUN
3262	cjk-tikeutcirclekorean	CIRCLED HANGUL TIKEUT
3263	cjk-rieulcirclekorean	CIRCLED HANGUL RIEUL
3264	cjk-mieumcirclekorean	CIRCLED HANGUL MIEUM
3265	cjk-pieupcirclekorean	CIRCLED HANGUL PIEUP
3266	cjk-sioscirclekorean	CIRCLED HANGUL SIOS
3267	cjk-ieungcirclekorean	CIRCLED HANGUL IEUNG
3268	cjk-cieuccirclekorean	CIRCLED HANGUL CIEUC
3269	cjk-chieuchcirclekorean	CIRCLED HANGUL CHIEUCH
326A	cjk-khieukhcirclekorean	CIRCLED HANGUL KHIEUKH
326B	cjk-thieuthcirclekorean	CIRCLED HANGUL THIEUTH
326C	cjk-phieuphcirclekorean	CIRCLED HANGUL PHIEUPH
326D	cjk-hieuhcirclekorean	CIRCLED HANGUL HIEUH
326E	cjk-kiyeokacirclekorean	CIRCLED HANGUL KIYEOK A
326F	cjk-nieunacirclekorean	CIRCLED HANGUL NIEUN A
3270	cjk-tikeutacirclekorean	CIRCLED HANGUL TIKEUT A
3271	cjk-rieulacirclekorean	CIRCLED HANGUL RIEUL A
3272	cjk-mieumacirclekorean	CIRCLED HANGUL MIEUM A
3273	cjk-pieupacirclekorean	CIRCLED HANGUL PIEUP A
3274	cjk-siosacirclekorean	CIRCLED HANGUL SIOS A
3275	cjk-ieungacirclekorean	CIRCLED HANGUL IEUNG A
3276	cjk-cieucacirclekorean	CIRCLED HANGUL CIEUC A
3277	cjk-chieuchacirclekorean	CIRCLED HANGUL CHIEUCH A
3278	cjk-khieukhacirclekorean	CIRCLED HANGUL KHIEUKH A
3279	cjk-thieuthacirclekorean	CIRCLED HANGUL THIEUTH A
327A	cjk-phieuphacirclekorean	CIRCLED HANGUL PHIEUPH A
327B	cjk-hieuhacirclekorean	CIRCLED HANGUL HIEUH A
327C	cjk-chamkocircle	CIRCLED KOREAN CHARACTER CHAMKO
327D	cjk-jueuicircle	CIRCLED KOREAN CHARACTER JUEUI
327E	cjk-ieungucirclekorean	CIRCLED HANGUL IEUNG U
327F	cjk-koreanstandardsymbol	KOREAN STANDARD SYMBOL
3280	cjk-oneideographiccircled	CIRCLED IDEOGRAPH ONE
3281	cjk-twoideographiccircled	CIRCLED IDEOGRAPH TWO
3282	cjk-threeideographiccircled	CIRCLED IDEOGRAPH THREE
3283	cjk-fourideographiccircled	CIRCLED IDEOGRAPH FOUR
3284	cjk-fiveideographiccircled	CIRCLED IDEOGRAPH FIVE
3285	cjk-sixideographiccircled	CIRCLED IDEOGRAPH SIX
3286	cjk-sevenideographiccircled	CIRCLED IDEOGRAPH SEVEN
3287	cjk-eightideographiccircled	CIRCLED IDEOGRAPH EIGHT
3288	cjk-nineideographiccircled	CIRCLED IDEOGRAPH NINE
3289	cjk-tenideographiccircled	CIRCLED IDEOGRAPH TEN
328A	cjk-moonideographiccircled	CIRCLED IDEOGRAPH MOON
328B	cjk-fireideographiccircled	CIRCLED IDEOGRAPH FIRE
