# Egyptian Hieroglyphs 13000 - 1342F
13050	gypt-egyptianhieroglyphb001	EGYPTIAN HIEROGLYPH B001
13051	gypt-egyptianhieroglyphb002	EGYPTIAN HIEROGLYPH B002
13052	gypt-egyptianhieroglyphb003	EGYPTIAN HIEROGLYPH B003
13053	gypt-egyptianhieroglyphb004	EGYPTIAN HIEROGLYPH B004
13054	gypt-egyptianhieroglyphb005	EGYPTIAN HIEROGLYPH B005
13055	gypt-egyptianhieroglyphb005a	EGYPTIAN HIEROGLYPH B005A
13056	gypt-egyptianhieroglyphb006	EGYPTIAN HIEROGLYPH B006
13057	gypt-egyptianhieroglyphb007	EGYPTIAN HIEROGLYPH B007
13058	gypt-egyptianhieroglyphb008	EGYPTIAN HIEROGLYPH B008
13059	gypt-egyptianhieroglyphb009	EGYPTIAN HIEROGLYPH B009
1305A	gypt-egyptianhieroglyphc001	EGYPTIAN HIEROGLYPH C001
1305B	gypt-egyptianhieroglyphc002	EGYPTIAN HIEROGLYPH C002
1305C	gypt-egyptianhieroglyphc002a	EGYPTIAN HIEROGLYPH C002A
1305D	gypt-egyptianhieroglyphc002b	EGYPTIAN HIEROGLYPH C002B
1305E	gypt-egyptianhieroglyphc002c	EGYPTIAN HIEROGLYPH C002C
1305F	gypt-egyptianhieroglyphc003	EGYPTIAN HIEROGLYPH C003
13060	gypt-egyptianhieroglyphc004	EGYPTIAN HIEROGLYPH C004
13061	gypt-egyptianhieroglyphc005	EGYPTIAN HIEROGLYPH C005
13062	gypt-egyptianhieroglyphc006	EGYPTIAN HIEROGLYPH C006
13063	gypt-egyptianhieroglyphc007	EGYPTIAN HIEROGLYPH C007
13064	gypt-egyptianhieroglyphc008	EGYPTIAN HIEROGLYPH C008
13065	gypt-egyptianhieroglyphc009	EGYPTIAN HIEROGLYPH C009
13066	gypt-egyptianhieroglyphc010	EGYPTIAN HIEROGLYPH C010
13067	gypt-egyptianhieroglyphc010a	EGYPTIAN HIEROGLYPH C010A
13068	gypt-egyptianhieroglyphc011	EGYPTIAN HIEROGLYPH C011
13069	gypt-egyptianhieroglyphc012	EGYPTIAN HIEROGLYPH C012
1306A	gypt-egyptianhieroglyphc013	EGYPTIAN HIEROGLYPH C013
1306B	gypt-egyptianhieroglyphc014	EGYPTIAN HIEROGLYPH C014
1306C	gypt-egyptianhieroglyphc015	EGYPTIAN HIEROGLYPH C015
1306D	gypt-egyptianhieroglyphc016	EGYPTIAN HIEROGLYPH C016
1306E	gypt-egyptianhieroglyphc017	EGYPTIAN HIEROGLYPH C017
1306F	gypt-egyptianhieroglyphc018	EGYPTIAN HIEROGLYPH C018
13070	gypt-egyptianhieroglyphc019	EGYPTIAN HIEROGLYPH C019
13071	gypt-egyptianhieroglyphc020	EGYPTIAN HIEROGLYPH C020
13072	gypt-egyptianhieroglyphc021	EGYPTIAN HIEROGLYPH C021
13073	gypt-egyptianhieroglyphc022	EGYPTIAN HIEROGLYPH C022
13074	gypt-egyptianhieroglyphc023	EGYPTIAN HIEROGLYPH C023
13075	gypt-egyptianhieroglyphc024	EGYPTIAN HIEROGLYPH C024
13076	gypt-egyptianhieroglyphd001	EGYPTIAN HIEROGLYPH D001
13077	gypt-egyptianhieroglyphd002	EGYPTIAN HIEROGLYPH D002
13078	gypt-egyptianhieroglyphd003	EGYPTIAN HIEROGLYPH D003
13079	gypt-egyptianhieroglyphd004	EGYPTIAN HIEROGLYPH D004
1307A	gypt-egyptianhieroglyphd005	EGYPTIAN HIEROGLYPH D005
1307B	gypt-egyptianhieroglyphd006	EGYPTIAN HIEROGLYPH D006
1307C	gypt-egyptianhieroglyphd007	EGYPTIAN HIEROGLYPH D007
1307D	gypt-egyptianhieroglyphd008	EGYPTIAN HIEROGLYPH D008
1307E	gypt-egyptianhieroglyphd008a	EGYPTIAN HIEROGLYPH D008A
1307F	gypt-egyptianhieroglyphd009	EGYPTIAN HIEROGLYPH D009
13080	gypt-egyptianhieroglyphd010	EGYPTIAN HIEROGLYPH D010
13081	gypt-egyptianhieroglyphd011	EGYPTIAN HIEROGLYPH D011
13082	gypt-egyptianhieroglyphd012	EGYPTIAN HIEROGLYPH D012
13083	gypt-egyptianhieroglyphd013	EGYPTIAN HIEROGLYPH D013
13084	gypt-egyptianhieroglyphd014	EGYPTIAN HIEROGLYPH D014
13085	gypt-egyptianhieroglyphd015	EGYPTIAN HIEROGLYPH D015
13086	gypt-egyptianhieroglyphd016	EGYPTIAN HIEROGLYPH D016
13087	gypt-egyptianhieroglyphd017	EGYPTIAN HIEROGLYPH D017
13088	gypt-egyptianhieroglyphd018	EGYPTIAN HIEROGLYPH D018
13089	gypt-egyptianhieroglyphd019	EGYPTIAN HIEROGLYPH D019
1308A	gypt-egyptianhieroglyphd020	EGYPTIAN HIEROGLYPH D020
1308B	gypt-egyptianhieroglyphd021	EGYPTIAN HIEROGLYPH D021
1308C	gypt-egyptianhieroglyphd022	EGYPTIAN HIEROGLYPH D022
1308D	gypt-egyptianhieroglyphd023	EGYPTIAN HIEROGLYPH D023
1308E	gypt-egyptianhieroglyphd024	EGYPTIAN HIEROGLYPH D024
1308F	gypt-egyptianhieroglyphd025	EGYPTIAN HIEROGLYPH D025
13090	gypt-egyptianhieroglyphd026	EGYPTIAN HIEROGLYPH D026
13091	gypt-egyptianhieroglyphd027	EGYPTIAN HIEROGLYPH D027
13092	gypt-egyptianhieroglyphd027a	EGYPTIAN HIEROGLYPH D027A
13093	gypt-egyptianhieroglyphd028	EGYPTIAN HIEROGLYPH D028
13094	gypt-egyptianhieroglyphd029	EGYPTIAN HIEROGLYPH D029
13095	gypt-egyptianhieroglyphd030	EGYPTIAN HIEROGLYPH D030
13096	gypt-egyptianhieroglyphd031	EGYPTIAN HIEROGLYPH D031
13097	gypt-egyptianhieroglyphd031a	EGYPTIAN HIEROGLYPH D031A
13098	gypt-egyptianhieroglyphd032	EGYPTIAN HIEROGLYPH D032
13099	gypt-egyptianhieroglyphd033	EGYPTIAN HIEROGLYPH D033
1309A	gypt-egyptianhieroglyphd034	EGYPTIAN HIEROGLYPH D034
1309B	gypt-egyptianhieroglyphd034a	EGYPTIAN HIEROGLYPH D034A
1309C	gypt-egyptianhieroglyphd035	EGYPTIAN HIEROGLYPH D035
1309D	gypt-egyptianhieroglyphd036	EGYPTIAN HIEROGLYPH D036
1309E	gypt-egyptianhieroglyphd037	EGYPTIAN HIEROGLYPH D037
1309F	gypt-egyptianhieroglyphd038	EGYPTIAN HIEROGLYPH D038
130A0	gypt-egyptianhieroglyphd039	EGYPTIAN HIEROGLYPH D039
130A1	gypt-egyptianhieroglyphd040	EGYPTIAN HIEROGLYPH D040
130A2	gypt-egyptianhieroglyphd041	EGYPTIAN HIEROGLYPH D041
130A3	gypt-egyptianhieroglyphd042	EGYPTIAN HIEROGLYPH D042
130A4	gypt-egyptianhieroglyphd043	EGYPTIAN HIEROGLYPH D043
130A5	gypt-egyptianhieroglyphd044	EGYPTIAN HIEROGLYPH D044
130A6	gypt-egyptianhieroglyphd045	EGYPTIAN HIEROGLYPH D045
130A7	gypt-egyptianhieroglyphd046	EGYPTIAN HIEROGLYPH D046
130A8	gypt-egyptianhieroglyphd046a	EGYPTIAN HIEROGLYPH D046A
130A9	gypt-egyptianhieroglyphd047	EGYPTIAN HIEROGLYPH D047
130AA	gypt-egyptianhieroglyphd048	EGYPTIAN HIEROGLYPH D048
130AB	gypt-egyptianhieroglyphd048a	EGYPTIAN HIEROGLYPH D048A
130AC	gypt-egyptianhieroglyphd049	EGYPTIAN HIEROGLYPH D049
130AD	gypt-egyptianhieroglyphd050	EGYPTIAN HIEROGLYPH D050
130AE	gypt-egyptianhieroglyphd050a	EGYPTIAN HIEROGLYPH D050A
130AF	gypt-egyptianhieroglyphd050b	EGYPTIAN HIEROGLYPH D050B
130B0	gypt-egyptianhieroglyphd050c	EGYPTIAN HIEROGLYPH D050C
130B1	gypt-egyptianhieroglyphd050d	EGYPTIAN HIEROGLYPH D050D
130B2	gypt-egyptianhieroglyphd050e	EGYPTIAN HIEROGLYPH D050E
130B3	gypt-egyptianhieroglyphd050f	EGYPTIAN HIEROGLYPH D050F
130B4	gypt-egyptianhieroglyphd050g	EGYPTIAN HIEROGLYPH D050G
130B5	gypt-egyptianhieroglyphd050h	EGYPTIAN HIEROGLYPH D050H
130B6	gypt-egyptianhieroglyphd050i	EGYPTIAN HIEROGLYPH D050I
130B7	gypt-egyptianhieroglyphd051	EGYPTIAN HIEROGLYPH D051
130B8	gypt-egyptianhieroglyphd052	EGYPTIAN HIEROGLYPH D052
130B9	gypt-egyptianhieroglyphd052a	EGYPTIAN HIEROGLYPH D052A
130BA	gypt-egyptianhieroglyphd053	EGYPTIAN HIEROGLYPH D053
130BB	gypt-egyptianhieroglyphd054	EGYPTIAN HIEROGLYPH D054
130BC	gypt-egyptianhieroglyphd054a	EGYPTIAN HIEROGLYPH D054A
130BD	gypt-egyptianhieroglyphd055	EGYPTIAN HIEROGLYPH D055
130BE	gypt-egyptianhieroglyphd056	EGYPTIAN HIEROGLYPH D056
130BF	gypt-egyptianhieroglyphd057	EGYPTIAN HIEROGLYPH D057
130C0	gypt-egyptianhieroglyphd058	EGYPTIAN HIEROGLYPH D058
130C1	gypt-egyptianhieroglyphd059	EGYPTIAN HIEROGLYPH D059
130C2	gypt-egyptianhieroglyphd060	EGYPTIAN HIEROGLYPH D060
130C3	gypt-egyptianhieroglyphd061	EGYPTIAN HIEROGLYPH D061
130C4	gypt-egyptianhieroglyphd062	EGYPTIAN HIEROGLYPH D062
130C5	gypt-egyptianhieroglyphd063	EGYPTIAN HIEROGLYPH D063
130C6	gypt-egyptianhieroglyphd064	EGYPTIAN HIEROGLYPH D064
130C7	gypt-egyptianhieroglyphd065	EGYPTIAN HIEROGLYPH D065
130C8	gypt-egyptianhieroglyphd066	EGYPTIAN HIEROGLYPH D066
130C9	gypt-egyptianhieroglyphd067	EGYPTIAN HIEROGLYPH D067
130CA	gypt-egyptianhieroglyphd067a	EGYPTIAN HIEROGLYPH D067A
130CB	gypt-egyptianhieroglyphd067b	EGYPTIAN HIEROGLYPH D067B
130CC	gypt-egyptianhieroglyphd067c	EGYPTIAN HIEROGLYPH D067C
130CD	gypt-egyptianhieroglyphd067d	EGYPTIAN HIEROGLYPH D067D
130CE	gypt-egyptianhieroglyphd067e	EGYPTIAN HIEROGLYPH D067E
130CF	gypt-egyptianhieroglyphd067f	EGYPTIAN HIEROGLYPH D067F
130D0	gypt-egyptianhieroglyphd067g	EGYPTIAN HIEROGLYPH D067G
130D1	gypt-egyptianhieroglyphd067h	EGYPTIAN HIEROGLYPH D067H
130D2	gypt-egyptianhieroglyphe001	EGYPTIAN HIEROGLYPH E001
130D3	gypt-egyptianhieroglyphe002	EGYPTIAN HIEROGLYPH E002
130D4	gypt-egyptianhieroglyphe003	EGYPTIAN HIEROGLYPH E003
130D5	gypt-egyptianhieroglyphe004	EGYPTIAN HIEROGLYPH E004
130D6	gypt-egyptianhieroglyphe005	EGYPTIAN HIEROGLYPH E005
