# Balinese 1B00 - 1B7F
1B62	blns-balinesemusicalsymboldeng	BALINESE MUSICAL SYMBOL DENG
1B63	blns-balinesemusicalsymboldung	BALINESE MUSICAL SYMBOL DUNG
1B64	blns-balinesemusicalsymboldang	BALINESE MUSICAL SYMBOL DANG
1B65	blns-balinesemusicalsymboldangsurang	BALINESE MUSICAL SYMBOL DANG SURANG
1B66	blns-balinesemusicalsymbolding	BALINESE MUSICAL SYMBOL DING
1B67	blns-balinesemusicalsymboldaeng	BALINESE MUSICAL SYMBOL DAENG
1B68	blns-balinesemusicalsymboldeung	BALINESE MUSICAL SYMBOL DEUNG
1B69	blns-balinesemusicalsymboldaing	BALINESE MUSICAL SYMBOL DAING
1B6A	blns-balinesemusicalsymboldanggede	BALINESE MUSICAL SYMBOL DANG GEDE
1B6B	blns-balinesemusicalsymbolcombiningtegeh	BALINESE MUSICAL SYMBOL COMBINING TEGEH
1B6C	blns-balinesemusicalsymbolcombiningendep	BALINESE MUSICAL SYMBOL COMBINING ENDEP
1B6D	blns-balinesemusicalsymbolcombiningkempul	BALINESE MUSICAL SYMBOL COMBINING KEMPUL
1B6E	blns-balinesemusicalsymbolcombiningkempli	BALINESE MUSICAL SYMBOL COMBINING KEMPLI
1B6F	blns-balinesemusicalsymbolcombiningjegogan	BALINESE MUSICAL SYMBOL COMBINING JEGOGAN
1B70	blns-balinesemusicalsymbolcombiningkempulwithjegogan	BALINESE MUSICAL SYMBOL COMBINING KEMPUL WITH JEGOGAN
1B71	blns-balinesemusicalsymbolcombiningkempliwithjegogan	BALINESE MUSICAL SYMBOL COMBINING KEMPLI WITH JEGOGAN
1B72	blns-balinesemusicalsymbolcombiningbende	BALINESE MUSICAL SYMBOL COMBINING BENDE
1B73	blns-balinesemusicalsymbolcombininggong	BALINESE MUSICAL SYMBOL COMBINING GONG
1B74	blns-balinesemusicalsymbolrighthandopendug	BALINESE MUSICAL SYMBOL RIGHT-HAND OPEN DUG
1B75	blns-balinesemusicalsymbolrighthandopendag	BALINESE MUSICAL SYMBOL RIGHT-HAND OPEN DAG
1B76	blns-balinesemusicalsymbolrighthandclosedtuk	BALINESE MUSICAL SYMBOL RIGHT-HAND CLOSED TUK
1B77	blns-balinesemusicalsymbolrighthandclosedtak	BALINESE MUSICAL SYMBOL RIGHT-HAND CLOSED TAK
1B78	blns-balinesemusicalsymbollefthandopenpang	BALINESE MUSICAL SYMBOL LEFT-HAND OPEN PANG
1B79	blns-balinesemusicalsymbollefthandopenpung	BALINESE MUSICAL SYMBOL LEFT-HAND OPEN PUNG
1B7A	blns-balinesemusicalsymbollefthandclosedplak	BALINESE MUSICAL SYMBOL LEFT-HAND CLOSED PLAK
1B7B	blns-balinesemusicalsymbollefthandclosedpluk	BALINESE MUSICAL SYMBOL LEFT-HAND CLOSED PLUK
1B7C	blns-balinesemusicalsymbollefthandopenping	BALINESE MUSICAL SYMBOL LEFT-HAND OPEN PING
