   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            
  183B : mo-kha                                            -                        mo-kha                                  Mongolian                               MONGOLIAN LETTER KHA

   959 : dv-khha                                           dvKhha                   dv-khha                                 Devanagari                              DEVANAGARI LETTER KHHA
   A59 : grmk-khha                                         guKhha                   grmk-khha                               Gurmukhi                                GURMUKHI LETTER KHHA

   3DF : koppa                                             -                        koppa                                   Greek and Coptic                        GREEK SMALL LETTER KOPPA
   481 : koppacyr                                          koppacyrillic            koppacyr                                Cyrillic                                CYRILLIC SMALL LETTER KOPPA

    6C : l                                                 l                        l                                       Basic Latin                             LATIN SMALL LETTER L
  310C : bpmf-l                                            lbopomofo                bpmf-l                                  Bopomofo                                BOPOMOFO LETTER L   

   932 : dv-la                                             dvLa                     dv-la                                   Devanagari                              DEVANAGARI LETTER LA
   9B2 : bngl-la                                           beLa                     bngl-la                                 Bengali                                 BENGALI LETTER LA   
   A32 : grmk-la                                           guLa                     grmk-la                                 Gurmukhi                                GURMUKHI LETTER LA  
   AB2 : gjrt-la                                           gjLa                     gjrt-la                                 Gujarati                                GUJARATI LETTER LA  
   B32 : ry-la                                             odLa                     ry-la                                   Oriya                                   ORIYA LETTER LA     
   BB2 : tml-la                                            taLa                     tml-la                                  Tamil                                   TAMIL LETTER LA     
   C32 : tlg-la                                            teLa                     tlg-la                                  Telugu                                  TELUGU LETTER LA    
   CB2 : kn-la                                             knLa                     kn-la                                   Kannada                                 KANNADA LETTER LA   
   D32 : ma-la                                             mlLa                     ma-la                                   Malayalam                               MALAYALAM LETTER LA 
   F63 : tb-la                                             -                        tb-la                                   Tibetan                                 TIBETAN LETTER LA   
  182F : mo-la                                             -                        mo-la                                   Mongolian                               MONGOLIAN LETTER LA 
  A9AD : ja-la                                             -                        ja-la                                   Javanese                                JAVANESE LETTER LA  

    3C : less                                              less                     less                                    Basic Latin                             LESS-THAN SIGN      
  FE64 : smll-less                                         lesssmall                smll-less                               Small Form Variants                     SMALL LESS-THAN SIGN

   515 : lhacyr                                            -                        lhacyr                                  Cyrillic Supplement                     CYRILLIC SMALL LETTER LHA
  1840 : mo-lha                                            -                        mo-lha                                  Mongolian                               MONGOLIAN LETTER LHA

   933 : dv-lla                                            dvLla                    dv-lla                                  Devanagari                              DEVANAGARI LETTER LLA
   A33 : grmk-lla                                          guLla                    grmk-lla                                Gurmukhi                                GURMUKHI LETTER LLA 
   AB3 : gjrt-lla                                          gjLla                    gjrt-lla                                Gujarati                                GUJARATI LETTER LLA 
   B33 : ry-lla                                            odLla                    ry-lla                                  Oriya                                   ORIYA LETTER LLA    
   BB3 : tml-lla                                           taLla                    tml-lla                                 Tamil                                   TAMIL LETTER LLA    
   C33 : tlg-lla                                           teLla                    tlg-lla                                 Telugu                                  TELUGU LETTER LLA   
   CB3 : kn-lla                                            knLla                    kn-lla                                  Kannada                                 KANNADA LETTER LLA  
   D33 : ma-lla                                            mlLla                    ma-lla                                  Malayalam                               MALAYALAM LETTER LLA

   934 : dv-llla                                           dvLlla                   dv-llla                                 Devanagari                              DEVANAGARI LETTER LLLA
   BB4 : tml-llla                                          taLlla                   tml-llla                                Tamil                                   TAMIL LETTER LLLA   
   D34 : ma-llla                                           mlLlla                   ma-llla                                 Malayalam                               MALAYALAM LETTER LLLA

   961 : dv-llvocal                                        dvLlvocal                dv-llvocal                              Devanagari                              DEVANAGARI LETTER VOCALIC LL
   9E1 : bngl-llvocal                                      beLlvocal                bngl-llvocal                            Bengali                                 BENGALI LETTER VOCALIC LL
   AE1 : gjrt-llvocal                                      gjLlvocal                gjrt-llvocal                            Gujarati                                GUJARATI LETTER VOCALIC LL
   B61 : ry-llvocal                                        odLlvocal                ry-llvocal                              Oriya                                   ORIYA LETTER VOCALIC LL
   C61 : tlg-llvocal                                       teLlvocal                tlg-llvocal                             Telugu                                  TELUGU LETTER VOCALIC LL
   CE1 : kn-llvocal                                        knLlvocal                kn-llvocal                              Kannada                                 KANNADA LETTER VOCALIC LL
   D61 : ma-llvocal                                        mlLlvocal                ma-llvocal                              Malayalam                               MALAYALAM LETTER VOCALIC LL

   963 : dv-llvocalsign                                    dvLlvocalsign            dv-llvocalsign                          Devanagari                              DEVANAGARI VOWEL SIGN VOCALIC LL
   9E3 : bngl-llvocalsign                                  beLlvocalsign            bngl-llvocalsign                        Bengali                                 BENGALI VOWEL SIGN VOCALIC LL
   AE3 : gjrt-llvocalsign                                  gjLlvocalsign            gjrt-llvocalsign                        Gujarati                                GUJARATI VOWEL SIGN VOCALIC LL
   B63 : ry-llvocalsign                                    odLlvocalsign            ry-llvocalsign                          Oriya                                   ORIYA VOWEL SIGN VOCALIC LL
   CE3 : kn-llvocalsign                                    knLlvocalsign            kn-llvocalsign                          Kannada                                 KANNADA VOWEL SIGN VOCALIC LL
   D63 : ma-llvocalsign                                    mlLlvocalsign            ma-llvocalsign                          Malayalam                               MALAYALAM VOWEL SIGN VOCALIC LL

   90C : dv-lvocal                                         dvLvocal                 dv-lvocal                               Devanagari                              DEVANAGARI LETTER VOCALIC L
   98C : bngl-lvocal                                       beLvocal                 bngl-lvocal                             Bengali                                 BENGALI LETTER VOCALIC L
   A8C : gjrt-lvocal                                       gjLvocal                 gjrt-lvocal                             Gujarati                                GUJARATI LETTER VOCALIC L
   B0C : ry-lvocal                                         odLvocal                 ry-lvocal                               Oriya                                   ORIYA LETTER VOCALIC L
   C0C : tlg-lvocal                                        teLvocal                 tlg-lvocal                              Telugu                                  TELUGU LETTER VOCALIC L
   C8C : kn-lvocal                                         knLvocal                 kn-lvocal                               Kannada                                 KANNADA LETTER VOCALIC L
   D0C : ma-lvocal                                         mlLvocal                 ma-lvocal                               Malayalam                               MALAYALAM LETTER VOCALIC L

   962 : dv-lvocalsign                                     dvLvocalsign             dv-lvocalsign                           Devanagari                              DEVANAGARI VOWEL SIGN VOCALIC L
   9E2 : bngl-lvocalsign                                   beLvocalsign             bngl-lvocalsign                         Bengali                                 BENGALI VOWEL SIGN VOCALIC L
   AE2 : gjrt-lvocalsign                                   gjLvocalsign             gjrt-lvocalsign                         Gujarati                                GUJARATI VOWEL SIGN VOCALIC L
   B62 : ry-lvocalsign                                     odLvocalsign             ry-lvocalsign                           Oriya                                   ORIYA VOWEL SIGN VOCALIC L
   CE2 : kn-lvocalsign                                     knLvocalsign             kn-lvocalsign                           Kannada                                 KANNADA VOWEL SIGN VOCALIC L
   D62 : ma-lvocalsign                                     mlLvocalsign             ma-lvocalsign                           Malayalam                               MALAYALAM VOWEL SIGN VOCALIC L

    6D : m                                                 m                        m                                       Basic Latin                             LATIN SMALL LETTER M
  3107 : bpmf-m                                            mbopomofo                bpmf-m                                  Bopomofo                                BOPOMOFO LETTER M   

   92E : dv-ma                                             dvMa                     dv-ma                                   Devanagari                              DEVANAGARI LETTER MA
   9AE : bngl-ma                                           beMa                     bngl-ma                                 Bengali                                 BENGALI LETTER MA   
   A2E : grmk-ma                                           guMa                     grmk-ma                                 Gurmukhi                                GURMUKHI LETTER MA  
   AAE : gjrt-ma                                           gjMa                     gjrt-ma                                 Gujarati                                GUJARATI LETTER MA  
   B2E : ry-ma                                             odMa                     ry-ma                                   Oriya                                   ORIYA LETTER MA     
   BAE : tml-ma                                            taMa                     tml-ma                                  Tamil                                   TAMIL LETTER MA     
   C2E : tlg-ma                                            teMa                     tlg-ma                                  Telugu                                  TELUGU LETTER MA    
   CAE : kn-ma                                             knMa                     kn-ma                                   Kannada                                 KANNADA LETTER MA   
   D2E : ma-ma                                             mlMa                     ma-ma                                   Malayalam                               MALAYALAM LETTER MA 
   F58 : tb-ma                                             -                        tb-ma                                   Tibetan                                 TIBETAN LETTER MA   
  182E : mo-ma                                             -                        mo-ma                                   Mongolian                               MONGOLIAN LETTER MA 
  A9A9 : ja-ma                                             -                        ja-ma                                   Javanese                                JAVANESE LETTER MA  

    6E : n                                                 n                        n                                       Basic Latin                             LATIN SMALL LETTER N
  310B : bpmf-n                                            nbopomofo                bpmf-n                                  Bopomofo                                BOPOMOFO LETTER N   

   928 : dv-na                                             dvNa                     dv-na                                   Devanagari                              DEVANAGARI LETTER NA
   9A8 : bngl-na                                           beNa                     bngl-na                                 Bengali                                 BENGALI LETTER NA   
   A28 : grmk-na                                           guNa                     grmk-na                                 Gurmukhi                                GURMUKHI LETTER NA  
   AA8 : gjrt-na                                           gjNa                     gjrt-na                                 Gujarati                                GUJARATI LETTER NA  
   B28 : ry-na                                             odNa                     ry-na                                   Oriya                                   ORIYA LETTER NA     
   BA8 : tml-na                                            taNa                     tml-na                                  Tamil                                   TAMIL LETTER NA     
   C28 : tlg-na                                            teNa                     tlg-na                                  Telugu                                  TELUGU LETTER NA    
   CA8 : kn-na                                             knNa                     kn-na                                   Kannada                                 KANNADA LETTER NA   
   D28 : ma-na                                             mlNa                     ma-na                                   Malayalam                               MALAYALAM LETTER NA 
   F53 : tb-na                                             -                        tb-na                                   Tibetan                                 TIBETAN LETTER NA   
  1828 : mo-na                                             -                        mo-na                                   Mongolian                               MONGOLIAN LETTER NA 
  A9A4 : ja-na                                             -                        ja-na                                   Javanese                                JAVANESE LETTER NA  

   6AD : ar-ng                                             arNg                     ar-ng                                   Arabic                                  ARABIC LETTER NG    
  312B : bpmf-ng                                           -                        bpmf-ng                                 Bopomofo                                BOPOMOFO LETTER NG  

   919 : dv-nga                                            dvNga                    dv-nga                                  Devanagari                              DEVANAGARI LETTER NGA
   999 : bngl-nga                                          beNga                    bngl-nga                                Bengali                                 BENGALI LETTER NGA  
   A19 : grmk-nga                                          guNga                    grmk-nga                                Gurmukhi                                GURMUKHI LETTER NGA 
   A99 : gjrt-nga                                          gjNga                    gjrt-nga                                Gujarati                                GUJARATI LETTER NGA 
   B19 : ry-nga                                            odNga                    ry-nga                                  Oriya                                   ORIYA LETTER NGA    
   B99 : tml-nga                                           taNga                    tml-nga                                 Tamil                                   TAMIL LETTER NGA    
   C19 : tlg-nga                                           teNga                    tlg-nga                                 Telugu                                  TELUGU LETTER NGA   
   C99 : kn-nga                                            knNga                    kn-nga                                  Kannada                                 KANNADA LETTER NGA  
   D19 : ma-nga                                            mlNga                    ma-nga                                  Malayalam                               MALAYALAM LETTER NGA
   F44 : tb-nga                                            -                        tb-nga                                  Tibetan                                 TIBETAN LETTER NGA  
  A994 : ja-nga                                            -                        ja-nga                                  Javanese                                JAVANESE LETTER NGA 

    39 : nine                                              nine                     nine                                    Basic Latin                             DIGIT NINE          
   669 : ar-nine                                           arNine                   ar-nine                                 Arabic                                  ARABIC-INDIC DIGIT NINE
   96F : dv-nine                                           dvNine                   dv-nine                                 Devanagari                              DEVANAGARI DIGIT NINE
   9EF : bngl-nine                                         beNine                   bngl-nine                               Bengali                                 BENGALI DIGIT NINE  
   A6F : grmk-nine                                         guNine                   grmk-nine                               Gurmukhi                                GURMUKHI DIGIT NINE 
   AEF : gjrt-nine                                         gjNine                   gjrt-nine                               Gujarati                                GUJARATI DIGIT NINE 
   B6F : ry-nine                                           odNine                   ry-nine                                 Oriya                                   ORIYA DIGIT NINE    
   BEF : tml-nine                                          taNine                   tml-nine                                Tamil                                   TAMIL DIGIT NINE    
   C6F : tlg-nine                                          teNine                   tlg-nine                                Telugu                                  TELUGU DIGIT NINE   
   CEF : kn-nine                                           knNine                   kn-nine                                 Kannada                                 KANNADA DIGIT NINE  
   D6F : ma-nine                                           mlNine                   ma-nine                                 Malayalam                               MALAYALAM DIGIT NINE
   E59 : ti-nine                                           tiNine                   ti-nine                                 Thai                                    THAI DIGIT NINE     
   F29 : tb-nine                                           -                        tb-nine                                 Tibetan                                 TIBETAN DIGIT NINE  
  1819 : mo-nine                                           -                        mo-nine                                 Mongolian                               MONGOLIAN DIGIT NINE
  A9D9 : ja-nine                                           -                        ja-nine                                 Javanese                                JAVANESE DIGIT NINE 

   923 : dv-nna                                            dvNna                    dv-nna                                  Devanagari                              DEVANAGARI LETTER NNA
   9A3 : bngl-nna                                          beNna                    bngl-nna                                Bengali                                 BENGALI LETTER NNA  
   A23 : grmk-nna                                          guNna                    grmk-nna                                Gurmukhi                                GURMUKHI LETTER NNA 
   AA3 : gjrt-nna                                          gjNna                    gjrt-nna                                Gujarati                                GUJARATI LETTER NNA 
   B23 : ry-nna                                            odNna                    ry-nna                                  Oriya                                   ORIYA LETTER NNA    
   BA3 : tml-nna                                           taNna                    tml-nna                                 Tamil                                   TAMIL LETTER NNA    
   C23 : tlg-nna                                           teNna                    tlg-nna                                 Telugu                                  TELUGU LETTER NNA   
   CA3 : kn-nna                                            knNna                    kn-nna                                  Kannada                                 KANNADA LETTER NNA  
   D23 : ma-nna                                            mlNna                    ma-nna                                  Malayalam                               MALAYALAM LETTER NNA
   F4E : tb-nna                                            -                        tb-nna                                  Tibetan                                 TIBETAN LETTER NNA  

   929 : dv-nnna                                           dvNnna                   dv-nnna                                 Devanagari                              DEVANAGARI LETTER NNNA
   BA9 : tml-nnna                                          taNnna                   tml-nnna                                Tamil                                   TAMIL LETTER NNNA   

   93C : dv-nukta                                          dvNukta                  dv-nukta                                Devanagari                              DEVANAGARI SIGN NUKTA
   9BC : bngl-nukta                                        beNukta                  bngl-nukta                              Bengali                                 BENGALI SIGN NUKTA  
   A3C : grmk-nukta                                        guNukta                  grmk-nukta                              Gurmukhi                                GURMUKHI SIGN NUKTA 
   ABC : gjrt-nukta                                        gjNukta                  gjrt-nukta                              Gujarati                                GUJARATI SIGN NUKTA 
   B3C : ry-nukta                                          odNukta                  ry-nukta                                Oriya                                   ORIYA SIGN NUKTA    
   CBC : kn-nukta                                          knNukta                  kn-nukta                                Kannada                                 KANNADA SIGN NUKTA  

    23 : numbersign                                        numbersign               numbersign                              Basic Latin                             NUMBER SIGN         
   600 : ar-numbersign                                     arNumberSign             ar-numbersign                           Arabic                                  ARABIC NUMBER SIGN  
  FE5F : smll-numbersign                                   numbersignsmall          smll-numbersign                         Small Form Variants                     SMALL NUMBER SIGN   

   91E : dv-nya                                            dvNya                    dv-nya                                  Devanagari                              DEVANAGARI LETTER NYA
   99E : bngl-nya                                          beNya                    bngl-nya                                Bengali                                 BENGALI LETTER NYA  
   A1E : grmk-nya                                          guNya                    grmk-nya                                Gurmukhi                                GURMUKHI LETTER NYA 
   A9E : gjrt-nya                                          gjNya                    gjrt-nya                                Gujarati                                GUJARATI LETTER NYA 
   B1E : ry-nya                                            odNya                    ry-nya                                  Oriya                                   ORIYA LETTER NYA    
   B9E : tml-nya                                           taNya                    tml-nya                                 Tamil                                   TAMIL LETTER NYA    
   C1E : tlg-nya                                           teNya                    tlg-nya                                 Telugu                                  TELUGU LETTER NYA   
   C9E : kn-nya                                            knNya                    kn-nya                                  Kannada                                 KANNADA LETTER NYA  
   D1E : ma-nya                                            mlNya                    ma-nya                                  Malayalam                               MALAYALAM LETTER NYA
   F49 : tb-nya                                            -                        tb-nya                                  Tibetan                                 TIBETAN LETTER NYA  
  A99A : ja-nya                                            -                        ja-nya                                  Javanese                                JAVANESE LETTER NYA 

    6F : o                                                 o                        o                                       Basic Latin                             LATIN SMALL LETTER O
   43E : ocyr                                              ocyr                     ocyr                                    Cyrillic                                CYRILLIC SMALL LETTER O
   913 : dv-o                                              dvO                      dv-o                                    Devanagari                              DEVANAGARI LETTER O 
   993 : bngl-o                                            beO                      bngl-o                                  Bengali                                 BENGALI LETTER O    
   A93 : gjrt-o                                            gjO                      gjrt-o                                  Gujarati                                GUJARATI LETTER O   
   B13 : ry-o                                              odO                      ry-o                                    Oriya                                   ORIYA LETTER O      
   B92 : tml-o                                             taO                      tml-o                                   Tamil                                   TAMIL LETTER O      
   C12 : tlg-o                                             teO                      tlg-o                                   Telugu                                  TELUGU LETTER O     
   C92 : kn-o                                              knO                      kn-o                                    Kannada                                 KANNADA LETTER O    
   D12 : ma-o                                              mlO                      ma-o                                    Malayalam                               MALAYALAM LETTER O  
  1823 : mo-o                                              -                        mo-o                                    Mongolian                               MONGOLIAN LETTER O  
  311B : bpmf-o                                            obopomofo                bpmf-o                                  Bopomofo                                BOPOMOFO LETTER O   
  A98E : ja-o                                              -                        ja-o                                    Javanese                                JAVANESE LETTER O   

   911 : dv-ocandra                                        dvOcandra                dv-ocandra                              Devanagari                              DEVANAGARI LETTER CANDRA O
   A91 : gjrt-ocandra                                      gjOcandra                gjrt-ocandra                            Gujarati                                GUJARATI VOWEL CANDRA O

    F6 : odieresis                                         odieresis                odieresis                               Latin-1 Supplement                      LATIN SMALL LETTER O WITH DIAERESIS
   4E7 : odieresiscyr                                      odieresiscyr             odieresiscyr                            Cyrillic                                CYRILLIC SMALL LETTER O WITH DIAERESIS

   153 : oe                                                oe                       oe                                      Latin Extended-A                        LATIN SMALL LIGATURE OE
   6C6 : ar-oe                                             arOe                     ar-oe                                   Arabic                                  ARABIC LETTER OE    
  1825 : mo-oe                                             -                        mo-oe                                   Mongolian                               MONGOLIAN LETTER OE 

   950 : dv-om                                             dvOm                     dv-om                                   Devanagari                              DEVANAGARI OM       
   AD0 : gjrt-om                                           gjOm                     gjrt-om                                 Gujarati                                GUJARATI OM         
   BD0 : tml-om                                            taOm                     tml-om                                  Tamil                                   TAMIL OM            

   3C9 : omega                                             omega                    omega                                   Greek and Coptic                        GREEK SMALL LETTER OMEGA
   461 : omegacyr                                          omegacyrillic            omegacyr                                Cyrillic                                CYRILLIC SMALL LETTER OMEGA

    31 : one                                               one                      one                                     Basic Latin                             DIGIT ONE           
   661 : ar-one                                            arOne                    ar-one                                  Arabic                                  ARABIC-INDIC DIGIT ONE
   967 : dv-one                                            dvOne                    dv-one                                  Devanagari                              DEVANAGARI DIGIT ONE
   9E7 : bngl-one                                          beOne                    bngl-one                                Bengali                                 BENGALI DIGIT ONE   
   A67 : grmk-one                                          guOne                    grmk-one                                Gurmukhi                                GURMUKHI DIGIT ONE  
   AE7 : gjrt-one                                          gjOne                    gjrt-one                                Gujarati                                GUJARATI DIGIT ONE  
   B67 : ry-one                                            odOne                    ry-one                                  Oriya                                   ORIYA DIGIT ONE     
   BE7 : tml-one                                           taOne                    tml-one                                 Tamil                                   TAMIL DIGIT ONE     
   C67 : tlg-one                                           teOne                    tlg-one                                 Telugu                                  TELUGU DIGIT ONE    
   CE7 : kn-one                                            knOne                    kn-one                                  Kannada                                 KANNADA DIGIT ONE   
   D67 : ma-one                                            mlOne                    ma-one                                  Malayalam                               MALAYALAM DIGIT ONE 
   E51 : ti-one                                            tiOne                    ti-one                                  Thai                                    THAI DIGIT ONE      
   F21 : tb-one                                            -                        tb-one                                  Tibetan                                 TIBETAN DIGIT ONE   
  1811 : mo-one                                            -                        mo-one                                  Mongolian                               MONGOLIAN DIGIT ONE 
  A9D1 : ja-one                                            -                        ja-one                                  Javanese                                JAVANESE DIGIT ONE  

    BD : onehalf                                           onehalf                  onehalf                                 Latin-1 Supplement                      VULGAR FRACTION ONE HALF
   D74 : ma-onehalf                                        mlOneHalf                ma-onehalf                              Malayalam                               MALAYALAM FRACTION ONE HALF

   BF1 : tml-onehundred                                    taHundred                tml-onehundred                          Tamil                                   TAMIL NUMBER ONE HUNDRED
   D71 : ma-onehundred                                     mlOneHundred             ma-onehundred                           Malayalam                               MALAYALAM NUMBER ONE HUNDRED

    BC : onequarter                                        onequarter               onequarter                              Latin-1 Supplement                      VULGAR FRACTION ONE QUARTER
   D73 : ma-onequarter                                     mlOneQuarter             ma-onequarter                           Malayalam                               MALAYALAM FRACTION ONE QUARTER

   BF2 : tml-onethousand                                   taThousand               tml-onethousand                         Tamil                                   TAMIL NUMBER ONE THOUSAND
   D72 : ma-onethousand                                    mlOneThousand            ma-onethousand                          Malayalam                               MALAYALAM NUMBER ONE THOUSAND

   A13 : grmk-oo                                           guOo                     grmk-oo                                 Gurmukhi                                GURMUKHI LETTER OO  
   B93 : tml-oo                                            taOo                     tml-oo                                  Tamil                                   TAMIL LETTER OO     
   C13 : tlg-oo                                            teOo                     tlg-oo                                  Telugu                                  TELUGU LETTER OO    
   C93 : kn-oo                                             knOo                     kn-oo                                   Kannada                                 KANNADA LETTER OO   
   D13 : ma-oo                                             mlOo                     ma-oo                                   Malayalam                               MALAYALAM LETTER OO 
  A74F : oo                                                -                        oo                                      Latin Extended-D                        LATIN SMALL LETTER OO

   A4B : grmk-oosign                                       guOosign                 grmk-oosign                             Gurmukhi                                GURMUKHI VOWEL SIGN OO
   BCB : tml-oosign                                        taOosign                 tml-oosign                              Tamil                                   TAMIL VOWEL SIGN OO 
   C4B : tlg-oosign                                        teOosign                 tlg-oosign                              Telugu                                  TELUGU VOWEL SIGN OO
   CCB : kn-oosign                                         knOosign                 kn-oosign                               Kannada                                 KANNADA VOWEL SIGN OO
   D4B : ma-oosign                                         mlOosign                 ma-oosign                               Malayalam                               MALAYALAM VOWEL SIGN OO

   94B : dv-osign                                          dvOsign                  dv-osign                                Devanagari                              DEVANAGARI VOWEL SIGN O
   9CB : bngl-osign                                        beOsign                  bngl-osign                              Bengali                                 BENGALI VOWEL SIGN O
   ACB : gjrt-osign                                        gjOsign                  gjrt-osign                              Gujarati                                GUJARATI VOWEL SIGN O
   B4B : ry-osign                                          odOsign                  ry-osign                                Oriya                                   ORIYA VOWEL SIGN O  
   BCA : tml-osign                                         taOsign                  tml-osign                               Tamil                                   TAMIL VOWEL SIGN O  
   C4A : tlg-osign                                         teOsign                  tlg-osign                               Telugu                                  TELUGU VOWEL SIGN O 
   CCA : kn-osign                                          knOsign                  kn-osign                                Kannada                                 KANNADA VOWEL SIGN O
   D4A : ma-osign                                          mlOsign                  ma-osign                                Malayalam                               MALAYALAM VOWEL SIGN O

   949 : dv-osigncandra                                    dvOcandrasign            dv-osigncandra                          Devanagari                              DEVANAGARI VOWEL SIGN CANDRA O
   AC9 : gjrt-osigncandra                                  gjOcandrasign            gjrt-osigncandra                        Gujarati                                GUJARATI VOWEL SIGN CANDRA O

   223 : ou                                                -                        ou                                      Latin Extended-B                        LATIN SMALL LETTER OU
  3121 : bpmf-ou                                           oubopomofo               bpmf-ou                                 Bopomofo                                BOPOMOFO LETTER OU  

    70 : p                                                 p                        p                                       Basic Latin                             LATIN SMALL LETTER P
  3106 : bpmf-p                                            pbopomofo                bpmf-p                                  Bopomofo                                BOPOMOFO LETTER P   

   92A : dv-pa                                             dvPa                     dv-pa                                   Devanagari                              DEVANAGARI LETTER PA
   9AA : bngl-pa                                           bePa                     bngl-pa                                 Bengali                                 BENGALI LETTER PA   
   A2A : grmk-pa                                           guPa                     grmk-pa                                 Gurmukhi                                GURMUKHI LETTER PA  
   AAA : gjrt-pa                                           gjPa                     gjrt-pa                                 Gujarati                                GUJARATI LETTER PA  
   B2A : ry-pa                                             odPa                     ry-pa                                   Oriya                                   ORIYA LETTER PA     
   BAA : tml-pa                                            taPa                     tml-pa                                  Tamil                                   TAMIL LETTER PA     
   C2A : tlg-pa                                            tePa                     tlg-pa                                  Telugu                                  TELUGU LETTER PA    
   CAA : kn-pa                                             knPa                     kn-pa                                   Kannada                                 KANNADA LETTER PA   
   D2A : ma-pa                                             mlPa                     ma-pa                                   Malayalam                               MALAYALAM LETTER PA 
   F54 : tb-pa                                             -                        tb-pa                                   Tibetan                                 TIBETAN LETTER PA   
  182B : mo-pa                                             -                        mo-pa                                   Mongolian                               MONGOLIAN LETTER PA 
  A9A5 : ja-pa                                             -                        ja-pa                                   Javanese                                JAVANESE LETTER PA  

   57A : am-peh                                            peharmenian              am-peh                                  Armenian                                ARMENIAN SMALL LETTER PEH
   67E : ar-peh                                            arPeh                    ar-peh                                  Arabic                                  ARABIC LETTER PEH   

    25 : percent                                           percent                  percent                                 Basic Latin                             PERCENT SIGN        
   66A : ar-percent                                        arPercent                ar-percent                              Arabic                                  ARABIC PERCENT SIGN 
  FE6A : smll-percent                                      percentsmall             smll-percent                            Small Form Variants                     SMALL PERCENT SIGN  

    2E : period                                            period                   period                                  Basic Latin                             FULL STOP           
   589 : am-period                                         periodarmenian           am-period                               Armenian                                ARMENIAN FULL STOP  
   6D4 : ar-period                                         arPeriodURD              ar-period                               Arabic                                  ARABIC FULL STOP    
  1803 : mo-period                                         -                        mo-period                               Mongolian                               MONGOLIAN FULL STOP 
