   hex | basic formatted name                              AGL name                 with extension                          range                                   uni name            
   B85 : tml-a                                             taA                      tml-a                                   Tamil                                   TAMIL LETTER A      
   C05 : tlg-a                                             teA                      tlg-a                                   Telugu                                  TELUGU LETTER A     
   C85 : kn-a                                              knA                      kn-a                                    Kannada                                 KANNADA LETTER A    
   D05 : ma-a                                              mlA                      ma-a                                    Malayalam                               MALAYALAM LETTER A  
   F68 : tb-a                                              -                        tb-a                                    Tibetan                                 TIBETAN LETTER A    
  1820 : mo-a                                              -                        mo-a                                    Mongolian                               MONGOLIAN LETTER A  
  311A : bpmf-a                                            abopomofo                bpmf-a                                  Bopomofo                                BOPOMOFO LETTER A   
  A984 : ja-a                                              -                        ja-a                                    Javanese                                JAVANESE LETTER A   

   906 : dv-aa                                             dvAa                     dv-aa                                   Devanagari                              DEVANAGARI LETTER AA
   986 : bngl-aa                                           beAa                     bngl-aa                                 Bengali                                 BENGALI LETTER AA   
   A06 : grmk-aa                                           guAa                     grmk-aa                                 Gurmukhi                                GURMUKHI LETTER AA  
   A86 : gjrt-aa                                           gjAa                     gjrt-aa                                 Gujarati                                GUJARATI LETTER AA  
   B06 : ry-aa                                             odAa                     ry-aa                                   Oriya                                   ORIYA LETTER AA     
   B86 : tml-aa                                            taAa                     tml-aa                                  Tamil                                   TAMIL LETTER AA     
   C06 : tlg-aa                                            teAa                     tlg-aa                                  Telugu                                  TELUGU LETTER AA    
   C86 : kn-aa                                             knAa                     kn-aa                                   Kannada                                 KANNADA LETTER AA   
   D06 : ma-aa                                             mlAa                     ma-aa                                   Malayalam                               MALAYALAM LETTER AA 
  A733 : aa                                                -                        aa                                      Latin Extended-D                        LATIN SMALL LETTER AA

   93E : dv-aasign                                         dvAasign                 dv-aasign                               Devanagari                              DEVANAGARI VOWEL SIGN AA
   9BE : bngl-aasign                                       beAasign                 bngl-aasign                             Bengali                                 BENGALI VOWEL SIGN AA
   A3E : grmk-aasign                                       guAasign                 grmk-aasign                             Gurmukhi                                GURMUKHI VOWEL SIGN AA
   ABE : gjrt-aasign                                       gjAasign                 gjrt-aasign                             Gujarati                                GUJARATI VOWEL SIGN AA
   B3E : ry-aasign                                         odAasign                 ry-aasign                               Oriya                                   ORIYA VOWEL SIGN AA 
   BBE : tml-aasign                                        taAasign                 tml-aasign                              Tamil                                   TAMIL VOWEL SIGN AA 
   C3E : tlg-aasign                                        teAasign                 tlg-aasign                              Telugu                                  TELUGU VOWEL SIGN AA
   CBE : kn-aasign                                         knAasign                 kn-aasign                               Kannada                                 KANNADA VOWEL SIGN AA
   D3E : ma-aasign                                         mlAasign                 ma-aasign                               Malayalam                               MALAYALAM VOWEL SIGN AA

   103 : abreve                                            abreve                   abreve                                  Latin Extended-A                        LATIN SMALL LETTER A WITH BREVE
   4D1 : abrevecyr                                         abrevecyr                abrevecyr                               Cyrillic                                CYRILLIC SMALL LETTER A WITH BREVE

    B4 : acute                                             acute                    acute                                   Latin-1 Supplement                      ACUTE ACCENT        
   954 : dv-acute                                          dvAcute                  dv-acute                                Devanagari                              DEVANAGARI ACUTE ACCENT
  1FFD : gr-acute                                          oxia                     gr-acute                                Greek Extended                          GREEK OXIA          

    E4 : adieresis                                         adieresis                adieresis                               Latin-1 Supplement                      LATIN SMALL LETTER A WITH DIAERESIS
   4D3 : adieresiscyr                                      adieresiscyr             adieresiscyr                            Cyrillic                                CYRILLIC SMALL LETTER A WITH DIAERESIS

    E6 : ae                                                ae                       ae                                      Latin-1 Supplement                      LATIN SMALL LETTER AE
   6D5 : ar-ae                                             arAe                     ar-ae                                   Arabic                                  ARABIC LETTER AE    

   910 : dv-ai                                             dvAi                     dv-ai                                   Devanagari                              DEVANAGARI LETTER AI
   990 : bngl-ai                                           beAi                     bngl-ai                                 Bengali                                 BENGALI LETTER AI   
   A10 : grmk-ai                                           guAi                     grmk-ai                                 Gurmukhi                                GURMUKHI LETTER AI  
   A90 : gjrt-ai                                           gjAi                     gjrt-ai                                 Gujarati                                GUJARATI LETTER AI  
   B10 : ry-ai                                             odAi                     ry-ai                                   Oriya                                   ORIYA LETTER AI     
   B90 : tml-ai                                            taAi                     tml-ai                                  Tamil                                   TAMIL LETTER AI     
   C10 : tlg-ai                                            teAi                     tlg-ai                                  Telugu                                  TELUGU LETTER AI    
   C90 : kn-ai                                             knAi                     kn-ai                                   Kannada                                 KANNADA LETTER AI   
   D10 : ma-ai                                             mlAi                     ma-ai                                   Malayalam                               MALAYALAM LETTER AI 
  311E : bpmf-ai                                           aibopomofo               bpmf-ai                                 Bopomofo                                BOPOMOFO LETTER AI  
  A98D : ja-ai                                             -                        ja-ai                                   Javanese                                JAVANESE LETTER AI  

   639 : ar-ain                                            arAin                    ar-ain                                  Arabic                                  ARABIC LETTER AIN   
  1D25 : phnt-ain                                          -                        phnt-ain                                Phonetic Extensions                     LATIN LETTER AIN    

   948 : dv-aisign                                         dvAisign                 dv-aisign                               Devanagari                              DEVANAGARI VOWEL SIGN AI
   9C8 : bngl-aisign                                       beAisign                 bngl-aisign                             Bengali                                 BENGALI VOWEL SIGN AI
   A48 : grmk-aisign                                       guAisign                 grmk-aisign                             Gurmukhi                                GURMUKHI VOWEL SIGN AI
   AC8 : gjrt-aisign                                       gjAisign                 gjrt-aisign                             Gujarati                                GUJARATI VOWEL SIGN AI
   B48 : ry-aisign                                         odAisign                 ry-aisign                               Oriya                                   ORIYA VOWEL SIGN AI 
   BC8 : tml-aisign                                        taAisign                 tml-aisign                              Tamil                                   TAMIL VOWEL SIGN AI 
   C48 : tlg-aisign                                        teAisign                 tlg-aisign                              Telugu                                  TELUGU VOWEL SIGN AI
   CC8 : kn-aisign                                         knAisign                 kn-aisign                               Kannada                                 KANNADA VOWEL SIGN AI
   D48 : ma-aisign                                         mlAisign                 ma-aisign                               Malayalam                               MALAYALAM VOWEL SIGN AI

   251 : ipa-alpha                                         alphalatin               ipa-alpha                               IPA Extensions                          LATIN SMALL LETTER ALPHA
   3B1 : alpha                                             alpha                    alpha                                   Greek and Coptic                        GREEK SMALL LETTER ALPHA

    26 : ampersand                                         ampersand                ampersand                               Basic Latin                             AMPERSAND           
  FE60 : smll-ampersand                                    -                        smll-ampersand                          Small Form Variants                     SMALL AMPERSAND     

  1829 : mo-ang                                            -                        mo-ang                                  Mongolian                               MONGOLIAN LETTER ANG
  3124 : bpmf-ang                                          angbopomofo              bpmf-ang                                Bopomofo                                BOPOMOFO LETTER ANG 

   902 : dv-anusvara                                       dvAnusvara               dv-anusvara                             Devanagari                              DEVANAGARI SIGN ANUSVARA
   982 : bngl-anusvara                                     beAnusvara               bngl-anusvara                           Bengali                                 BENGALI SIGN ANUSVARA
   A82 : gjrt-anusvara                                     gjAnusvara               gjrt-anusvara                           Gujarati                                GUJARATI SIGN ANUSVARA
   B02 : ry-anusvara                                       odAnusvara               ry-anusvara                             Oriya                                   ORIYA SIGN ANUSVARA 
   C82 : kn-anusvara                                       knAnusvara               kn-anusvara                             Kannada                                 KANNADA SIGN ANUSVARA

   B82 : tml-anusvarasign                                  taAnusvara               tml-anusvarasign                        Tamil                                   TAMIL SIGN ANUSVARA 
   C02 : tlg-anusvarasign                                  teAnusvara               tlg-anusvarasign                        Telugu                                  TELUGU SIGN ANUSVARA
   D02 : ma-anusvarasign                                   mlAnusvara               ma-anusvarasign                         Malayalam                               MALAYALAM SIGN ANUSVARA

    2A : asterisk                                          asterisk                 asterisk                                Basic Latin                             ASTERISK            
  FE61 : smll-asterisk                                     asterisksmall            smll-asterisk                           Small Form Variants                     SMALL ASTERISK      

   914 : dv-au                                             dvAu                     dv-au                                   Devanagari                              DEVANAGARI LETTER AU
   994 : bngl-au                                           beAu                     bngl-au                                 Bengali                                 BENGALI LETTER AU   
   A14 : grmk-au                                           guAu                     grmk-au                                 Gurmukhi                                GURMUKHI LETTER AU  
   A94 : gjrt-au                                           gjAu                     gjrt-au                                 Gujarati                                GUJARATI LETTER AU  
   B14 : ry-au                                             odAu                     ry-au                                   Oriya                                   ORIYA LETTER AU     
   B94 : tml-au                                            taAu                     tml-au                                  Tamil                                   TAMIL LETTER AU     
   C14 : tlg-au                                            teAu                     tlg-au                                  Telugu                                  TELUGU LETTER AU    
   C94 : kn-au                                             knAu                     kn-au                                   Kannada                                 KANNADA LETTER AU   
   D14 : ma-au                                             mlAu                     ma-au                                   Malayalam                               MALAYALAM LETTER AU 
  3120 : bpmf-au                                           aubopomofo               bpmf-au                                 Bopomofo                                BOPOMOFO LETTER AU  
  A737 : au                                                -                        au                                      Latin Extended-D                        LATIN SMALL LETTER AU

   9D7 : bngl-aulengthmark                                 beAulength               bngl-aulengthmark                       Bengali                                 BENGALI AU LENGTH MARK
   BD7 : tml-aulengthmark                                  taAulength               tml-aulengthmark                        Tamil                                   TAMIL AU LENGTH MARK

   94C : dv-ausign                                         dvAusign                 dv-ausign                               Devanagari                              DEVANAGARI VOWEL SIGN AU
   9CC : bngl-ausign                                       beAusign                 bngl-ausign                             Bengali                                 BENGALI VOWEL SIGN AU
   A4C : grmk-ausign                                       guAusign                 grmk-ausign                             Gurmukhi                                GURMUKHI VOWEL SIGN AU
   ACC : gjrt-ausign                                       gjAusign                 gjrt-ausign                             Gujarati                                GUJARATI VOWEL SIGN AU
   B4C : ry-ausign                                         odAusign                 ry-ausign                               Oriya                                   ORIYA VOWEL SIGN AU 
   BCC : tml-ausign                                        taAusign                 tml-ausign                              Tamil                                   TAMIL VOWEL SIGN AU 
   C4C : tlg-ausign                                        teAusign                 tlg-ausign                              Telugu                                  TELUGU VOWEL SIGN AU
   CCC : kn-ausign                                         knAusign                 kn-ausign                               Kannada                                 KANNADA VOWEL SIGN AU
   D4C : ma-ausign                                         mlAusign                 ma-ausign                               Malayalam                               MALAYALAM VOWEL SIGN AU

   93D : dv-avagraha                                       dvAvagraha               dv-avagraha                             Devanagari                              DEVANAGARI SIGN AVAGRAHA
