# Byzantine Musical Symbols 1D000 - 1D0FF
1D039	byzn-byzantinemusicalsymbolpsifiston	BYZANTINE MUSICAL SYMBOL PSIFISTON
1D03A	byzn-byzantinemusicalsymbolkontevma	BYZANTINE MUSICAL SYMBOL KONTEVMA
1D03B	byzn-byzantinemusicalsymbolchorevmaarchaion	BYZANTINE MUSICAL SYMBOL CHOREVMA ARCHAION
1D03C	byzn-byzantinemusicalsymbolrapisma	BYZANTINE MUSICAL SYMBOL RAPISMA
1D03D	byzn-byzantinemusicalsymbolparakalesmaarchaion	BYZANTINE MUSICAL SYMBOL PARAKALESMA ARCHAION
1D03E	byzn-byzantinemusicalsymbolparaklitikiarchaion	BYZANTINE MUSICAL SYMBOL PARAKLITIKI ARCHAION
1D03F	byzn-byzantinemusicalsymbolichadin	BYZANTINE MUSICAL SYMBOL ICHADIN
1D040	byzn-byzantinemusicalsymbolnana	BYZANTINE MUSICAL SYMBOL NANA
1D041	byzn-byzantinemusicalsymbolpetasma	BYZANTINE MUSICAL SYMBOL PETASMA
1D042	byzn-byzantinemusicalsymbolkontevmaallo	BYZANTINE MUSICAL SYMBOL KONTEVMA ALLO
1D043	byzn-byzantinemusicalsymboltromikonallo	BYZANTINE MUSICAL SYMBOL TROMIKON ALLO
1D044	byzn-byzantinemusicalsymbolstraggismata	BYZANTINE MUSICAL SYMBOL STRAGGISMATA
1D045	byzn-byzantinemusicalsymbolgronthismata	BYZANTINE MUSICAL SYMBOL GRONTHISMATA
1D046	byzn-byzantinemusicalsymbolisonneo	BYZANTINE MUSICAL SYMBOL ISON NEO
1D047	byzn-byzantinemusicalsymbololigonneo	BYZANTINE MUSICAL SYMBOL OLIGON NEO
1D048	byzn-byzantinemusicalsymboloxeianeo	BYZANTINE MUSICAL SYMBOL OXEIA NEO
1D049	byzn-byzantinemusicalsymbolpetasti	BYZANTINE MUSICAL SYMBOL PETASTI
1D04A	byzn-byzantinemusicalsymbolkoufisma	BYZANTINE MUSICAL SYMBOL KOUFISMA
1D04B	byzn-byzantinemusicalsymbolpetastokoufisma	BYZANTINE MUSICAL SYMBOL PETASTOKOUFISMA
1D04C	byzn-byzantinemusicalsymbolkratimokoufisma	BYZANTINE MUSICAL SYMBOL KRATIMOKOUFISMA
1D04D	byzn-byzantinemusicalsymbolpelastonneo	BYZANTINE MUSICAL SYMBOL PELASTON NEO
1D04E	byzn-byzantinemusicalsymbolkentimataneoano	BYZANTINE MUSICAL SYMBOL KENTIMATA NEO ANO
1D04F	byzn-byzantinemusicalsymbolkentimaneoano	BYZANTINE MUSICAL SYMBOL KENTIMA NEO ANO
1D050	byzn-byzantinemusicalsymbolypsili	BYZANTINE MUSICAL SYMBOL YPSILI
1D051	byzn-byzantinemusicalsymbolapostrofosneo	BYZANTINE MUSICAL SYMBOL APOSTROFOS NEO
1D052	byzn-byzantinemusicalsymbolapostrofoisyndesmosneo	BYZANTINE MUSICAL SYMBOL APOSTROFOI SYNDESMOS NEO
1D053	byzn-byzantinemusicalsymbolyporroi	BYZANTINE MUSICAL SYMBOL YPORROI
1D054	byzn-byzantinemusicalsymbolkratimoyporroon	BYZANTINE MUSICAL SYMBOL KRATIMOYPORROON
1D055	byzn-byzantinemusicalsymbolelafron	BYZANTINE MUSICAL SYMBOL ELAFRON
1D056	byzn-byzantinemusicalsymbolchamili	BYZANTINE MUSICAL SYMBOL CHAMILI
1D057	byzn-byzantinemusicalsymbolmikronison	BYZANTINE MUSICAL SYMBOL MIKRON ISON
1D058	byzn-byzantinemusicalsymbolvareianeo	BYZANTINE MUSICAL SYMBOL VAREIA NEO
1D059	byzn-byzantinemusicalsymbolpiasmaneo	BYZANTINE MUSICAL SYMBOL PIASMA NEO
1D05A	byzn-byzantinemusicalsymbolpsifistonneo	BYZANTINE MUSICAL SYMBOL PSIFISTON NEO
1D05B	byzn-byzantinemusicalsymbolomalon	BYZANTINE MUSICAL SYMBOL OMALON
1D05C	byzn-byzantinemusicalsymbolantikenoma	BYZANTINE MUSICAL SYMBOL ANTIKENOMA
1D05D	byzn-byzantinemusicalsymbollygisma	BYZANTINE MUSICAL SYMBOL LYGISMA
1D05E	byzn-byzantinemusicalsymbolparaklitikineo	BYZANTINE MUSICAL SYMBOL PARAKLITIKI NEO
1D05F	byzn-byzantinemusicalsymbolparakalesmaneo	BYZANTINE MUSICAL SYMBOL PARAKALESMA NEO
1D060	byzn-byzantinemusicalsymboleteronparakalesma	BYZANTINE MUSICAL SYMBOL ETERON PARAKALESMA
1D061	byzn-byzantinemusicalsymbolkylisma	BYZANTINE MUSICAL SYMBOL KYLISMA
1D062	byzn-byzantinemusicalsymbolantikenokylisma	BYZANTINE MUSICAL SYMBOL ANTIKENOKYLISMA
1D063	byzn-byzantinemusicalsymboltromikonneo	BYZANTINE MUSICAL SYMBOL TROMIKON NEO
1D064	byzn-byzantinemusicalsymbolekstrepton	BYZANTINE MUSICAL SYMBOL EKSTREPTON
1D065	byzn-byzantinemusicalsymbolsynagmaneo	BYZANTINE MUSICAL SYMBOL SYNAGMA NEO
1D066	byzn-byzantinemusicalsymbolsyrma	BYZANTINE MUSICAL SYMBOL SYRMA
1D067	byzn-byzantinemusicalsymbolchorevmaneo	BYZANTINE MUSICAL SYMBOL CHOREVMA NEO
1D068	byzn-byzantinemusicalsymbolepegerma	BYZANTINE MUSICAL SYMBOL EPEGERMA
1D069	byzn-byzantinemusicalsymbolseismaneo	BYZANTINE MUSICAL SYMBOL SEISMA NEO
1D06A	byzn-byzantinemusicalsymbolxironklasma	BYZANTINE MUSICAL SYMBOL XIRON KLASMA
1D06B	byzn-byzantinemusicalsymboltromikopsifiston	BYZANTINE MUSICAL SYMBOL TROMIKOPSIFISTON
1D06C	byzn-byzantinemusicalsymbolpsifistolygisma	BYZANTINE MUSICAL SYMBOL PSIFISTOLYGISMA
1D06D	byzn-byzantinemusicalsymboltromikolygisma	BYZANTINE MUSICAL SYMBOL TROMIKOLYGISMA
1D06E	byzn-byzantinemusicalsymboltromikoparakalesma	BYZANTINE MUSICAL SYMBOL TROMIKOPARAKALESMA
1D06F	byzn-byzantinemusicalsymbolpsifistoparakalesma	BYZANTINE MUSICAL SYMBOL PSIFISTOPARAKALESMA
1D070	byzn-byzantinemusicalsymboltromikosynagma	BYZANTINE MUSICAL SYMBOL TROMIKOSYNAGMA
1D071	byzn-byzantinemusicalsymbolpsifistosynagma	BYZANTINE MUSICAL SYMBOL PSIFISTOSYNAGMA
1D072	byzn-byzantinemusicalsymbolgorgosyntheton	BYZANTINE MUSICAL SYMBOL GORGOSYNTHETON
1D073	byzn-byzantinemusicalsymbolargosyntheton	BYZANTINE MUSICAL SYMBOL ARGOSYNTHETON
1D074	byzn-byzantinemusicalsymboleteronargosyntheton	BYZANTINE MUSICAL SYMBOL ETERON ARGOSYNTHETON
1D075	byzn-byzantinemusicalsymboloyranismaneo	BYZANTINE MUSICAL SYMBOL OYRANISMA NEO
1D076	byzn-byzantinemusicalsymbolthematismoseso	BYZANTINE MUSICAL SYMBOL THEMATISMOS ESO
1D077	byzn-byzantinemusicalsymbolthematismosexo	BYZANTINE MUSICAL SYMBOL THEMATISMOS EXO
1D078	byzn-byzantinemusicalsymbolthemaaploun	BYZANTINE MUSICAL SYMBOL THEMA APLOUN
1D079	byzn-byzantinemusicalsymboltheskaiapothes	BYZANTINE MUSICAL SYMBOL THES KAI APOTHES
1D07A	byzn-byzantinemusicalsymbolkatavasma	BYZANTINE MUSICAL SYMBOL KATAVASMA
1D07B	byzn-byzantinemusicalsymbolendofonon	BYZANTINE MUSICAL SYMBOL ENDOFONON
