# Hangul Syllables AC00 - D7AF
AC5A	ko-hangulsyllablegyaenh	HANGUL SYLLABLE GYAENH
AC5B	ko-hangulsyllablegyaed	HANGUL SYLLABLE GYAED
AC5C	ko-hangulsyllablegyael	HANGUL SYLLABLE GYAEL
AC5D	ko-hangulsyllablegyaelg	HANGUL SYLLABLE GYAELG
AC5E	ko-hangulsyllablegyaelm	HANGUL SYLLABLE GYAELM
AC5F	ko-hangulsyllablegyaelb	HANGUL SYLLABLE GYAELB
AC60	ko-hangulsyllablegyaels	HANGUL SYLLABLE GYAELS
AC61	ko-hangulsyllablegyaelt	HANGUL SYLLABLE GYAELT
AC62	ko-hangulsyllablegyaelp	HANGUL SYLLABLE GYAELP
AC63	ko-hangulsyllablegyaelh	HANGUL SYLLABLE GYAELH
AC64	ko-hangulsyllablegyaem	HANGUL SYLLABLE GYAEM
AC65	ko-hangulsyllablegyaeb	HANGUL SYLLABLE GYAEB
AC66	ko-hangulsyllablegyaebs	HANGUL SYLLABLE GYAEBS
AC67	ko-hangulsyllablegyaes	HANGUL SYLLABLE GYAES
AC68	ko-hangulsyllablegyaess	HANGUL SYLLABLE GYAESS
AC69	ko-hangulsyllablegyaeng	HANGUL SYLLABLE GYAENG
AC6A	ko-hangulsyllablegyaej	HANGUL SYLLABLE GYAEJ
AC6B	ko-hangulsyllablegyaec	HANGUL SYLLABLE GYAEC
AC6C	ko-hangulsyllablegyaek	HANGUL SYLLABLE GYAEK
AC6D	ko-hangulsyllablegyaet	HANGUL SYLLABLE GYAET
AC6E	ko-hangulsyllablegyaep	HANGUL SYLLABLE GYAEP
AC6F	ko-hangulsyllablegyaeh	HANGUL SYLLABLE GYAEH
AC70	ko-hangulsyllablegeo	HANGUL SYLLABLE GEO
AC71	ko-hangulsyllablegeog	HANGUL SYLLABLE GEOG
AC72	ko-hangulsyllablegeogg	HANGUL SYLLABLE GEOGG
AC73	ko-hangulsyllablegeogs	HANGUL SYLLABLE GEOGS
AC74	ko-hangulsyllablegeon	HANGUL SYLLABLE GEON
AC75	ko-hangulsyllablegeonj	HANGUL SYLLABLE GEONJ
AC76	ko-hangulsyllablegeonh	HANGUL SYLLABLE GEONH
AC77	ko-hangulsyllablegeod	HANGUL SYLLABLE GEOD
AC78	ko-hangulsyllablegeol	HANGUL SYLLABLE GEOL
AC79	ko-hangulsyllablegeolg	HANGUL SYLLABLE GEOLG
AC7A	ko-hangulsyllablegeolm	HANGUL SYLLABLE GEOLM
AC7B	ko-hangulsyllablegeolb	HANGUL SYLLABLE GEOLB
AC7C	ko-hangulsyllablegeols	HANGUL SYLLABLE GEOLS
AC7D	ko-hangulsyllablegeolt	HANGUL SYLLABLE GEOLT
AC7E	ko-hangulsyllablegeolp	HANGUL SYLLABLE GEOLP
AC7F	ko-hangulsyllablegeolh	HANGUL SYLLABLE GEOLH
AC80	ko-hangulsyllablegeom	HANGUL SYLLABLE GEOM
AC81	ko-hangulsyllablegeob	HANGUL SYLLABLE GEOB
AC82	ko-hangulsyllablegeobs	HANGUL SYLLABLE GEOBS
AC83	ko-hangulsyllablegeos	HANGUL SYLLABLE GEOS
AC84	ko-hangulsyllablegeoss	HANGUL SYLLABLE GEOSS
AC85	ko-hangulsyllablegeong	HANGUL SYLLABLE GEONG
AC86	ko-hangulsyllablegeoj	HANGUL SYLLABLE GEOJ
AC87	ko-hangulsyllablegeoc	HANGUL SYLLABLE GEOC
AC88	ko-hangulsyllablegeok	HANGUL SYLLABLE GEOK
AC89	ko-hangulsyllablegeot	HANGUL SYLLABLE GEOT
AC8A	ko-hangulsyllablegeop	HANGUL SYLLABLE GEOP
AC8B	ko-hangulsyllablegeoh	HANGUL SYLLABLE GEOH
AC8C	ko-hangulsyllablege	HANGUL SYLLABLE GE
AC8D	ko-hangulsyllablegeg	HANGUL SYLLABLE GEG
AC8E	ko-hangulsyllablegegg	HANGUL SYLLABLE GEGG
AC8F	ko-hangulsyllablegegs	HANGUL SYLLABLE GEGS
AC90	ko-hangulsyllablegen	HANGUL SYLLABLE GEN
AC91	ko-hangulsyllablegenj	HANGUL SYLLABLE GENJ
AC92	ko-hangulsyllablegenh	HANGUL SYLLABLE GENH
AC93	ko-hangulsyllableged	HANGUL SYLLABLE GED
AC94	ko-hangulsyllablegel	HANGUL SYLLABLE GEL
