# Ethiopic 1200 - 137F
1264	ethiopicsyllablebee	ETHIOPIC SYLLABLE BEE
1265	ethiopicsyllablebe	ETHIOPIC SYLLABLE BE
1266	ethiopicsyllablebo	ETHIOPIC SYLLABLE BO
1267	ethiopicsyllablebwa	ETHIOPIC SYLLABLE BWA
1268	ethiopicsyllableva	ETHIOPIC SYLLABLE VA
1269	ethiopicsyllablevu	ETHIOPIC SYLLABLE VU
126A	ethiopicsyllablevi	ETHIOPIC SYLLABLE VI
126B	ethiopicsyllablevaa	ETHIOPIC SYLLABLE VAA
126C	ethiopicsyllablevee	ETHIOPIC SYLLABLE VEE
126D	ethiopicsyllableve	ETHIOPIC SYLLABLE VE
126E	ethiopicsyllablevo	ETHIOPIC SYLLABLE VO
126F	ethiopicsyllablevwa	ETHIOPIC SYLLABLE VWA
1270	ethiopicsyllableta	ETHIOPIC SYLLABLE TA
1271	ethiopicsyllabletu	ETHIOPIC SYLLABLE TU
1272	ethiopicsyllableti	ETHIOPIC SYLLABLE TI
1273	ethiopicsyllabletaa	ETHIOPIC SYLLABLE TAA
1274	ethiopicsyllabletee	ETHIOPIC SYLLABLE TEE
1275	ethiopicsyllablete	ETHIOPIC SYLLABLE TE
1276	ethiopicsyllableto	ETHIOPIC SYLLABLE TO
1277	ethiopicsyllabletwa	ETHIOPIC SYLLABLE TWA
1278	ethiopicsyllableca	ETHIOPIC SYLLABLE CA
1279	ethiopicsyllablecu	ETHIOPIC SYLLABLE CU
127A	ethiopicsyllableci	ETHIOPIC SYLLABLE CI
127B	ethiopicsyllablecaa	ETHIOPIC SYLLABLE CAA
127C	ethiopicsyllablecee	ETHIOPIC SYLLABLE CEE
127D	ethiopicsyllablece	ETHIOPIC SYLLABLE CE
127E	ethiopicsyllableco	ETHIOPIC SYLLABLE CO
127F	ethiopicsyllablecwa	ETHIOPIC SYLLABLE CWA
1280	ethiopicsyllablexa	ETHIOPIC SYLLABLE XA
1281	ethiopicsyllablexu	ETHIOPIC SYLLABLE XU
1282	ethiopicsyllablexi	ETHIOPIC SYLLABLE XI
1283	ethiopicsyllablexaa	ETHIOPIC SYLLABLE XAA
1284	ethiopicsyllablexee	ETHIOPIC SYLLABLE XEE
1285	ethiopicsyllablexe	ETHIOPIC SYLLABLE XE
1286	ethiopicsyllablexo	ETHIOPIC SYLLABLE XO
1287	ethiopicsyllablexoa	ETHIOPIC SYLLABLE XOA
1288	ethiopicsyllablexwa	ETHIOPIC SYLLABLE XWA
128A	ethiopicsyllablexwi	ETHIOPIC SYLLABLE XWI
128B	ethiopicsyllablexwaa	ETHIOPIC SYLLABLE XWAA
128C	ethiopicsyllablexwee	ETHIOPIC SYLLABLE XWEE
128D	ethiopicsyllablexwe	ETHIOPIC SYLLABLE XWE
1290	ethiopicsyllablena	ETHIOPIC SYLLABLE NA
1291	ethiopicsyllablenu	ETHIOPIC SYLLABLE NU
1292	ethiopicsyllableni	ETHIOPIC SYLLABLE NI
1293	ethiopicsyllablenaa	ETHIOPIC SYLLABLE NAA
1294	ethiopicsyllablenee	ETHIOPIC SYLLABLE NEE
1295	ethiopicsyllablene	ETHIOPIC SYLLABLE NE
1296	ethiopicsyllableno	ETHIOPIC SYLLABLE NO
1297	ethiopicsyllablenwa	ETHIOPIC SYLLABLE NWA
1298	ethiopicsyllablenya	ETHIOPIC SYLLABLE NYA
1299	ethiopicsyllablenyu	ETHIOPIC SYLLABLE NYU
129A	ethiopicsyllablenyi	ETHIOPIC SYLLABLE NYI
129B	ethiopicsyllablenyaa	ETHIOPIC SYLLABLE NYAA
129C	ethiopicsyllablenyee	ETHIOPIC SYLLABLE NYEE
129D	ethiopicsyllablenye	ETHIOPIC SYLLABLE NYE
129E	ethiopicsyllablenyo	ETHIOPIC SYLLABLE NYO
129F	ethiopicsyllablenywa	ETHIOPIC SYLLABLE NYWA
12A0	ethiopicsyllableglottala	ETHIOPIC SYLLABLE GLOTTAL A
12A1	ethiopicsyllableglottalu	ETHIOPIC SYLLABLE GLOTTAL U
12A2	ethiopicsyllableglottali	ETHIOPIC SYLLABLE GLOTTAL I
12A3	ethiopicsyllableglottalaa	ETHIOPIC SYLLABLE GLOTTAL AA
12A4	ethiopicsyllableglottalee	ETHIOPIC SYLLABLE GLOTTAL EE
12A5	ethiopicsyllableglottale	ETHIOPIC SYLLABLE GLOTTAL E
12A6	ethiopicsyllableglottalo	ETHIOPIC SYLLABLE GLOTTAL O
12A7	ethiopicsyllableglottalwa	ETHIOPIC SYLLABLE GLOTTAL WA
12A8	ethiopicsyllableka	ETHIOPIC SYLLABLE KA
12A9	ethiopicsyllableku	ETHIOPIC SYLLABLE KU
12AA	ethiopicsyllableki	ETHIOPIC SYLLABLE KI
12AB	ethiopicsyllablekaa	ETHIOPIC SYLLABLE KAA
12AC	ethiopicsyllablekee	ETHIOPIC SYLLABLE KEE
12AD	ethiopicsyllableke	ETHIOPIC SYLLABLE KE
12AE	ethiopicsyllableko	ETHIOPIC SYLLABLE KO
12AF	ethiopicsyllablekoa	ETHIOPIC SYLLABLE KOA
12B0	ethiopicsyllablekwa	ETHIOPIC SYLLABLE KWA
12B2	ethiopicsyllablekwi	ETHIOPIC SYLLABLE KWI
12B3	ethiopicsyllablekwaa	ETHIOPIC SYLLABLE KWAA
12B4	ethiopicsyllablekwee	ETHIOPIC SYLLABLE KWEE
12B5	ethiopicsyllablekwe	ETHIOPIC SYLLABLE KWE
12B8	ethiopicsyllablekxa	ETHIOPIC SYLLABLE KXA
12B9	ethiopicsyllablekxu	ETHIOPIC SYLLABLE KXU
12BA	ethiopicsyllablekxi	ETHIOPIC SYLLABLE KXI
12BB	ethiopicsyllablekxaa	ETHIOPIC SYLLABLE KXAA
12BC	ethiopicsyllablekxee	ETHIOPIC SYLLABLE KXEE
12BD	ethiopicsyllablekxe	ETHIOPIC SYLLABLE KXE
12BE	ethiopicsyllablekxo	ETHIOPIC SYLLABLE KXO
12C0	ethiopicsyllablekxwa	ETHIOPIC SYLLABLE KXWA
12C2	ethiopicsyllablekxwi	ETHIOPIC SYLLABLE KXWI
12C3	ethiopicsyllablekxwaa	ETHIOPIC SYLLABLE KXWAA
12C4	ethiopicsyllablekxwee	ETHIOPIC SYLLABLE KXWEE
12C5	ethiopicsyllablekxwe	ETHIOPIC SYLLABLE KXWE
12C8	ethiopicsyllablewa	ETHIOPIC SYLLABLE WA
12C9	ethiopicsyllablewu	ETHIOPIC SYLLABLE WU
12CA	ethiopicsyllablewi	ETHIOPIC SYLLABLE WI
12CB	ethiopicsyllablewaa	ETHIOPIC SYLLABLE WAA
12CC	ethiopicsyllablewee	ETHIOPIC SYLLABLE WEE
12CD	ethiopicsyllablewe	ETHIOPIC SYLLABLE WE
12CE	ethiopicsyllablewo	ETHIOPIC SYLLABLE WO
12CF	ethiopicsyllablewoa	ETHIOPIC SYLLABLE WOA
12D0	ethiopicsyllablepharyngeala	ETHIOPIC SYLLABLE PHARYNGEAL A
12D1	ethiopicsyllablepharyngealu	ETHIOPIC SYLLABLE PHARYNGEAL U
12D2	ethiopicsyllablepharyngeali	ETHIOPIC SYLLABLE PHARYNGEAL I
12D3	ethiopicsyllablepharyngealaa	ETHIOPIC SYLLABLE PHARYNGEAL AA
12D4	ethiopicsyllablepharyngealee	ETHIOPIC SYLLABLE PHARYNGEAL EE
12D5	ethiopicsyllablepharyngeale	ETHIOPIC SYLLABLE PHARYNGEAL E
12D6	ethiopicsyllablepharyngealo	ETHIOPIC SYLLABLE PHARYNGEAL O
12D8	ethiopicsyllableza	ETHIOPIC SYLLABLE ZA
12D9	ethiopicsyllablezu	ETHIOPIC SYLLABLE ZU
12DA	ethiopicsyllablezi	ETHIOPIC SYLLABLE ZI
12DB	ethiopicsyllablezaa	ETHIOPIC SYLLABLE ZAA
12DC	ethiopicsyllablezee	ETHIOPIC SYLLABLE ZEE
12DD	ethiopicsyllableze	ETHIOPIC SYLLABLE ZE
12DE	ethiopicsyllablezo	ETHIOPIC SYLLABLE ZO
12DF	ethiopicsyllablezwa	ETHIOPIC SYLLABLE ZWA
12E0	ethiopicsyllablezha	ETHIOPIC SYLLABLE ZHA
12E1	ethiopicsyllablezhu	ETHIOPIC SYLLABLE ZHU
12E2	ethiopicsyllablezhi	ETHIOPIC SYLLABLE ZHI
12E3	ethiopicsyllablezhaa	ETHIOPIC SYLLABLE ZHAA
12E4	ethiopicsyllablezhee	ETHIOPIC SYLLABLE ZHEE
12E5	ethiopicsyllablezhe	ETHIOPIC SYLLABLE ZHE
12E6	ethiopicsyllablezho	ETHIOPIC SYLLABLE ZHO
12E7	ethiopicsyllablezhwa	ETHIOPIC SYLLABLE ZHWA
12E8	ethiopicsyllableya	ETHIOPIC SYLLABLE YA
12E9	ethiopicsyllableyu	ETHIOPIC SYLLABLE YU
12EA	ethiopicsyllableyi	ETHIOPIC SYLLABLE YI
12EB	ethiopicsyllableyaa	ETHIOPIC SYLLABLE YAA
12EC	ethiopicsyllableyee	ETHIOPIC SYLLABLE YEE
12ED	ethiopicsyllableye	ETHIOPIC SYLLABLE YE
12EE	ethiopicsyllableyo	ETHIOPIC SYLLABLE YO
12EF	ethiopicsyllableyoa	ETHIOPIC SYLLABLE YOA
12F0	ethiopicsyllableda	ETHIOPIC SYLLABLE DA
12F1	ethiopicsyllabledu	ETHIOPIC SYLLABLE DU
12F2	ethiopicsyllabledi	ETHIOPIC SYLLABLE DI
12F3	ethiopicsyllabledaa	ETHIOPIC SYLLABLE DAA
12F4	ethiopicsyllabledee	ETHIOPIC SYLLABLE DEE
12F5	ethiopicsyllablede	ETHIOPIC SYLLABLE DE
12F6	ethiopicsyllabledo	ETHIOPIC SYLLABLE DO
12F7	ethiopicsyllabledwa	ETHIOPIC SYLLABLE DWA
12F8	ethiopicsyllabledda	ETHIOPIC SYLLABLE DDA
12F9	ethiopicsyllableddu	ETHIOPIC SYLLABLE DDU
12FA	ethiopicsyllableddi	ETHIOPIC SYLLABLE DDI
12FB	ethiopicsyllableddaa	ETHIOPIC SYLLABLE DDAA
12FC	ethiopicsyllableddee	ETHIOPIC SYLLABLE DDEE
12FD	ethiopicsyllabledde	ETHIOPIC SYLLABLE DDE
