# CJK Compatibility Ideographs Supplement 2F800 - 2FA1F
2F83E	cjk-cjkcompatibilityideograph2f83e	CJK COMPATIBILITY IDEOGRAPH-2F83E
2F83F	cjk-cjkcompatibilityideograph2f83f	CJK COMPATIBILITY IDEOGRAPH-2F83F
2F840	cjk-cjkcompatibilityideograph2f840	CJK COMPATIBILITY IDEOGRAPH-2F840
2F841	cjk-cjkcompatibilityideograph2f841	CJK COMPATIBILITY IDEOGRAPH-2F841
2F842	cjk-cjkcompatibilityideograph2f842	CJK COMPATIBILITY IDEOGRAPH-2F842
2F843	cjk-cjkcompatibilityideograph2f843	CJK COMPATIBILITY IDEOGRAPH-2F843
2F844	cjk-cjkcompatibilityideograph2f844	CJK COMPATIBILITY IDEOGRAPH-2F844
2F845	cjk-cjkcompatibilityideograph2f845	CJK COMPATIBILITY IDEOGRAPH-2F845
2F846	cjk-cjkcompatibilityideograph2f846	CJK COMPATIBILITY IDEOGRAPH-2F846
2F847	cjk-cjkcompatibilityideograph2f847	CJK COMPATIBILITY IDEOGRAPH-2F847
2F848	cjk-cjkcompatibilityideograph2f848	CJK COMPATIBILITY IDEOGRAPH-2F848
2F849	cjk-cjkcompatibilityideograph2f849	CJK COMPATIBILITY IDEOGRAPH-2F849
2F84A	cjk-cjkcompatibilityideograph2f84a	CJK COMPATIBILITY IDEOGRAPH-2F84A
2F84B	cjk-cjkcompatibilityideograph2f84b	CJK COMPATIBILITY IDEOGRAPH-2F84B
2F84C	cjk-cjkcompatibilityideograph2f84c	CJK COMPATIBILITY IDEOGRAPH-2F84C
2F84D	cjk-cjkcompatibilityideograph2f84d	CJK COMPATIBILITY IDEOGRAPH-2F84D
2F84E	cjk-cjkcompatibilityideograph2f84e	CJK COMPATIBILITY IDEOGRAPH-2F84E
2F84F	cjk-cjkcompatibilityideograph2f84f	CJK COMPATIBILITY IDEOGRAPH-2F84F
2F850	cjk-cjkcompatibilityideograph2f850	CJK COMPATIBILITY IDEOGRAPH-2F850
2F851	cjk-cjkcompatibilityideograph2f851	CJK COMPATIBILITY IDEOGRAPH-2F851
2F852	cjk-cjkcompatibilityideograph2f852	CJK COMPATIBILITY IDEOGRAPH-2F852
2F853	cjk-cjkcompatibilityideograph2f853	CJK COMPATIBILITY IDEOGRAPH-2F853
2F854	cjk-cjkcompatibilityideograph2f854	CJK COMPATIBILITY IDEOGRAPH-2F854
2F855	cjk-cjkcompatibilityideograph2f855	CJK COMPATIBILITY IDEOGRAPH-2F855
2F856	cjk-cjkcompatibilityideograph2f856	CJK COMPATIBILITY IDEOGRAPH-2F856
2F857	cjk-cjkcompatibilityideograph2f857	CJK COMPATIBILITY IDEOGRAPH-2F857
2F858	cjk-cjkcompatibilityideograph2f858	CJK COMPATIBILITY IDEOGRAPH-2F858
2F859	cjk-cjkcompatibilityideograph2f859	CJK COMPATIBILITY IDEOGRAPH-2F859
2F85A	cjk-cjkcompatibilityideograph2f85a	CJK COMPATIBILITY IDEOGRAPH-2F85A
2F85B	cjk-cjkcompatibilityideograph2f85b	CJK COMPATIBILITY IDEOGRAPH-2F85B
2F85C	cjk-cjkcompatibilityideograph2f85c	CJK COMPATIBILITY IDEOGRAPH-2F85C
2F85D	cjk-cjkcompatibilityideograph2f85d	CJK COMPATIBILITY IDEOGRAPH-2F85D
2F85E	cjk-cjkcompatibilityideograph2f85e	CJK COMPATIBILITY IDEOGRAPH-2F85E
2F85F	cjk-cjkcompatibilityideograph2f85f	CJK COMPATIBILITY IDEOGRAPH-2F85F
2F860	cjk-cjkcompatibilityideograph2f860	CJK COMPATIBILITY IDEOGRAPH-2F860
2F861	cjk-cjkcompatibilityideograph2f861	CJK COMPATIBILITY IDEOGRAPH-2F861
2F862	cjk-cjkcompatibilityideograph2f862	CJK COMPATIBILITY IDEOGRAPH-2F862
2F863	cjk-cjkcompatibilityideograph2f863	CJK COMPATIBILITY IDEOGRAPH-2F863
2F864	cjk-cjkcompatibilityideograph2f864	CJK COMPATIBILITY IDEOGRAPH-2F864
2F865	cjk-cjkcompatibilityideograph2f865	CJK COMPATIBILITY IDEOGRAPH-2F865
2F866	cjk-cjkcompatibilityideograph2f866	CJK COMPATIBILITY IDEOGRAPH-2F866
2F867	cjk-cjkcompatibilityideograph2f867	CJK COMPATIBILITY IDEOGRAPH-2F867
2F868	cjk-cjkcompatibilityideograph2f868	CJK COMPATIBILITY IDEOGRAPH-2F868
2F869	cjk-cjkcompatibilityideograph2f869	CJK COMPATIBILITY IDEOGRAPH-2F869
2F86A	cjk-cjkcompatibilityideograph2f86a	CJK COMPATIBILITY IDEOGRAPH-2F86A
2F86B	cjk-cjkcompatibilityideograph2f86b	CJK COMPATIBILITY IDEOGRAPH-2F86B
