# Mongolian 1800 - 18AF
1882	ALIGALIDAMARU	MONGOLIAN LETTER ALI GALI DAMARU
1883	ALIGALIUBADAMA	MONGOLIAN LETTER ALI GALI UBADAMA
1884	ALIGALIINVERTEDUBADAMA	MONGOLIAN LETTER ALI GALI INVERTED UBADAMA
1885	ALIGALIBALUDA	MONGOLIAN LETTER ALI GALI BALUDA
1886	ALIGALITHREEBALUDA	MONGOLIAN LETTER ALI GALI THREE BALUDA
1887	ALIGALIA	MONGOLIAN LETTER ALI GALI A
1888	ALIGALII	MONGOLIAN LETTER ALI GALI I
1889	ALIGALIKA	MONGOLIAN LETTER ALI GALI KA
188A	ALIGALINGA	MONGOLIAN LETTER ALI GALI NGA
188B	ALIGALICA	MONGOLIAN LETTER ALI GALI CA
188C	ALIGALITTA	MONGOLIAN LETTER ALI GALI TTA
188D	ALIGALITTHA	MONGOLIAN LETTER ALI GALI TTHA
188E	ALIGALIDDA	MONGOLIAN LETTER ALI GALI DDA
188F	ALIGALINNA	MONGOLIAN LETTER ALI GALI NNA
1890	ALIGALITA	MONGOLIAN LETTER ALI GALI TA
1891	ALIGALIDA	MONGOLIAN LETTER ALI GALI DA
1892	ALIGALIPA	MONGOLIAN LETTER ALI GALI PA
1893	ALIGALIPHA	MONGOLIAN LETTER ALI GALI PHA
1894	ALIGALISSA	MONGOLIAN LETTER ALI GALI SSA
1895	ALIGALIZHA	MONGOLIAN LETTER ALI GALI ZHA
1896	ALIGALIZA	MONGOLIAN LETTER ALI GALI ZA
1897	ALIGALIAH	MONGOLIAN LETTER ALI GALI AH
1898	TODOALIGALITA	MONGOLIAN LETTER TODO ALI GALI TA
1899	TODOALIGALIZHA	MONGOLIAN LETTER TODO ALI GALI ZHA
189A	MANCHUALIGALIGHA	MONGOLIAN LETTER MANCHU ALI GALI GHA
189B	MANCHUALIGALINGA	MONGOLIAN LETTER MANCHU ALI GALI NGA
189C	MANCHUALIGALICA	MONGOLIAN LETTER MANCHU ALI GALI CA
189D	MANCHUALIGALIJHA	MONGOLIAN LETTER MANCHU ALI GALI JHA
189E	MANCHUALIGALITTA	MONGOLIAN LETTER MANCHU ALI GALI TTA
189F	MANCHUALIGALIDDHA	MONGOLIAN LETTER MANCHU ALI GALI DDHA
18A0	MANCHUALIGALITA	MONGOLIAN LETTER MANCHU ALI GALI TA
18A1	MANCHUALIGALIDHA	MONGOLIAN LETTER MANCHU ALI GALI DHA
18A2	MANCHUALIGALISSA	MONGOLIAN LETTER MANCHU ALI GALI SSA
18A3	MANCHUALIGALICYA	MONGOLIAN LETTER MANCHU ALI GALI CYA
18A4	MANCHUALIGALIZHA	MONGOLIAN LETTER MANCHU ALI GALI ZHA
18A5	MANCHUALIGALIZA	MONGOLIAN LETTER MANCHU ALI GALI ZA
18A6	ALIGALIHALFU	MONGOLIAN LETTER ALI GALI HALF U
18A7	ALIGALIHALFYA	MONGOLIAN LETTER ALI GALI HALF YA
18A8	MANCHUALIGALIBHA	MONGOLIAN LETTER MANCHU ALI GALI BHA
18A9	ALIGALIDAGALGA	MONGOLIAN LETTER ALI GALI DAGALGA
18AA	MANCHUALIGALILHA	MONGOLIAN LETTER MANCHU ALI GALI LHA
