# Miscellaneous Technical 2300 - 23FF
2360	aplfunctionalsymbolquadcolon	APL FUNCTIONAL SYMBOL QUAD COLON
2361	aplfunctionalsymboluptackdiaeresis	APL FUNCTIONAL SYMBOL UP TACK DIAERESIS
2362	aplfunctionalsymboldeldiaeresis	APL FUNCTIONAL SYMBOL DEL DIAERESIS
2363	aplfunctionalsymbolstardiaeresis	APL FUNCTIONAL SYMBOL STAR DIAERESIS
2364	aplfunctionalsymboljotdiaeresis	APL FUNCTIONAL SYMBOL JOT DIAERESIS
2365	aplfunctionalsymbolcirclediaeresis	APL FUNCTIONAL SYMBOL CIRCLE DIAERESIS
2366	aplfunctionalsymboldownshoestile	APL FUNCTIONAL SYMBOL DOWN SHOE STILE
2367	aplfunctionalsymbolleftshoestile	APL FUNCTIONAL SYMBOL LEFT SHOE STILE
2368	aplfunctionalsymboltildediaeresis	APL FUNCTIONAL SYMBOL TILDE DIAERESIS
2369	aplfunctionalsymbolgreaterthandiaeresis	APL FUNCTIONAL SYMBOL GREATER-THAN DIAERESIS
236A	aplfunctionalsymbolcommabar	APL FUNCTIONAL SYMBOL COMMA BAR
236B	aplfunctionalsymboldeltilde	APL FUNCTIONAL SYMBOL DEL TILDE
236C	aplfunctionalsymbolzilde	APL FUNCTIONAL SYMBOL ZILDE
236D	aplfunctionalsymbolstiletilde	APL FUNCTIONAL SYMBOL STILE TILDE
236E	aplfunctionalsymbolsemicolonunderbar	APL FUNCTIONAL SYMBOL SEMICOLON UNDERBAR
236F	aplfunctionalsymbolquadnotequal	APL FUNCTIONAL SYMBOL QUAD NOT EQUAL
2370	aplfunctionalsymbolquadquestion	APL FUNCTIONAL SYMBOL QUAD QUESTION
2371	aplfunctionalsymboldowncarettilde	APL FUNCTIONAL SYMBOL DOWN CARET TILDE
2372	aplfunctionalsymbolupcarettilde	APL FUNCTIONAL SYMBOL UP CARET TILDE
2373	aplfunctionalsymboliota	APL FUNCTIONAL SYMBOL IOTA
2374	aplfunctionalsymbolrho	APL FUNCTIONAL SYMBOL RHO
2375	aplfunctionalsymbolomega	APL FUNCTIONAL SYMBOL OMEGA
2376	aplfunctionalsymbolalphaunderbar	APL FUNCTIONAL SYMBOL ALPHA UNDERBAR
2377	aplfunctionalsymbolepsilonunderbar	APL FUNCTIONAL SYMBOL EPSILON UNDERBAR
2378	aplfunctionalsymboliotaunderbar	APL FUNCTIONAL SYMBOL IOTA UNDERBAR
2379	aplfunctionalsymbolomegaunderbar	APL FUNCTIONAL SYMBOL OMEGA UNDERBAR
237A	aplfunctionalsymbolalpha	APL FUNCTIONAL SYMBOL ALPHA
237B	notcheckmark	NOT CHECK MARK
237C	rightanglewithdownwardszigzagarrow	RIGHT ANGLE WITH DOWNWARDS ZIGZAG ARROW
237D	shoulderedopenbox	SHOULDERED OPEN BOX
237E	bellsymbol	BELL SYMBOL
237F	verticallinewithmiddledot	VERTICAL LINE WITH MIDDLE DOT
2380	insertionsymbol	INSERTION SYMBOL
2381	continuousunderlinesymbol	CONTINUOUS UNDERLINE SYMBOL
2382	discontinuousunderlinesymbol	DISCONTINUOUS UNDERLINE SYMBOL
2383	emphasissymbol	EMPHASIS SYMBOL
2384	compositionsymbol	COMPOSITION SYMBOL
2385	whitesquarewithcentreverticalline	WHITE SQUARE WITH CENTRE VERTICAL LINE
2386	entersymbol	ENTER SYMBOL
2387	alternativekeysymbol	ALTERNATIVE KEY SYMBOL
2388	helmsymbol	HELM SYMBOL
2389	circledhorizontalbarwithnotch	CIRCLED HORIZONTAL BAR WITH NOTCH
238A	circledtriangledown	CIRCLED TRIANGLE DOWN
238B	brokencirclewithnorthwestarrow	BROKEN CIRCLE WITH NORTHWEST ARROW
238C	undosymbol	UNDO SYMBOL
238D	monostablesymbol	MONOSTABLE SYMBOL
238E	hysteresissymbol	HYSTERESIS SYMBOL
238F	opencircuitoutputhtypesymbol	OPEN-CIRCUIT-OUTPUT H-TYPE SYMBOL
2390	opencircuitoutputltypesymbol	OPEN-CIRCUIT-OUTPUT L-TYPE SYMBOL
2391	passivepulldownoutputsymbol	PASSIVE-PULL-DOWN-OUTPUT SYMBOL
2392	passivepullupoutputsymbol	PASSIVE-PULL-UP-OUTPUT SYMBOL
2393	directcurrentsymbolformtwo	DIRECT CURRENT SYMBOL FORM TWO
2394	softwarefunctionsymbol	SOFTWARE-FUNCTION SYMBOL
2395	aplfunctionalsymbolquad	APL FUNCTIONAL SYMBOL QUAD
2396	decimalseparatorkeysymbol	DECIMAL SEPARATOR KEY SYMBOL
2397	previouspage	PREVIOUS PAGE
2398	nextpage	NEXT PAGE
2399	printscreensymbol	PRINT SCREEN SYMBOL
239A	clearscreensymbol	CLEAR SCREEN SYMBOL
239B	leftparenthesisupperhook	LEFT PARENTHESIS UPPER HOOK
239C	leftparenthesisextension	LEFT PARENTHESIS EXTENSION
239D	leftparenthesislowerhook	LEFT PARENTHESIS LOWER HOOK
239E	rightparenthesisupperhook	RIGHT PARENTHESIS UPPER HOOK
239F	rightparenthesisextension	RIGHT PARENTHESIS EXTENSION
23A0	rightparenthesislowerhook	RIGHT PARENTHESIS LOWER HOOK
23A1	leftsquarebracketuppercorner	LEFT SQUARE BRACKET UPPER CORNER
23A2	leftsquarebracketextension	LEFT SQUARE BRACKET EXTENSION
23A3	leftsquarebracketlowercorner	LEFT SQUARE BRACKET LOWER CORNER
23A4	rightsquarebracketuppercorner	RIGHT SQUARE BRACKET UPPER CORNER
23A5	rightsquarebracketextension	RIGHT SQUARE BRACKET EXTENSION
23A6	rightsquarebracketlowercorner	RIGHT SQUARE BRACKET LOWER CORNER
23A7	leftcurlybracketupperhook	LEFT CURLY BRACKET UPPER HOOK
