# Miscellaneous Mathematical Symbols-B 2980 - 29FF
29C7	mscl-squaredsmallcircle	SQUARED SMALL CIRCLE
29C8	mscl-squaredsquare	SQUARED SQUARE
29C9	mscl-twojoinedsquares	TWO JOINED SQUARES
29CA	mscl-trianglewithdotabove	TRIANGLE WITH DOT ABOVE
29CB	mscl-trianglewithunderbar	TRIANGLE WITH UNDERBAR
29CC	mscl-sintriangle	S IN TRIANGLE
29CD	mscl-trianglewithserifsatbottom	TRIANGLE WITH SERIFS AT BOTTOM
29CE	mscl-righttriangleabovelefttriangle	RIGHT TRIANGLE ABOVE LEFT TRIANGLE
29CF	mscl-lefttrianglebesideverticalbar	LEFT TRIANGLE BESIDE VERTICAL BAR
29D0	mscl-verticalbarbesiderighttriangle	VERTICAL BAR BESIDE RIGHT TRIANGLE
29D1	mscl-bowtiewithlefthalfblack	BOWTIE WITH LEFT HALF BLACK
29D2	mscl-bowtiewithrighthalfblack	BOWTIE WITH RIGHT HALF BLACK
29D3	mscl-blackbowtie	BLACK BOWTIE
29D4	mscl-timeswithlefthalfblack	TIMES WITH LEFT HALF BLACK
29D5	mscl-timeswithrighthalfblack	TIMES WITH RIGHT HALF BLACK
29D6	mscl-whitehourglass	WHITE HOURGLASS
29D7	mscl-blackhourglass	BLACK HOURGLASS
29D8	mscl-leftwigglyfence	LEFT WIGGLY FENCE
29D9	mscl-rightwigglyfence	RIGHT WIGGLY FENCE
29DA	mscl-leftdoublewigglyfence	LEFT DOUBLE WIGGLY FENCE
29DB	mscl-rightdoublewigglyfence	RIGHT DOUBLE WIGGLY FENCE
29DC	mscl-incompleteinfinity	INCOMPLETE INFINITY
29DD	mscl-tieoverinfinity	TIE OVER INFINITY
29DE	mscl-infinitynegatedwithverticalbar	INFINITY NEGATED WITH VERTICAL BAR
29DF	mscl-doubleendedmultimap	DOUBLE-ENDED MULTIMAP
29E0	mscl-squarewithcontouredoutline	SQUARE WITH CONTOURED OUTLINE
29E1	mscl-increasesas	INCREASES AS
29E2	mscl-shuffleproduct	SHUFFLE PRODUCT
29E3	mscl-equalssignandslantedparallel	EQUALS SIGN AND SLANTED PARALLEL
29E4	mscl-equalssignandslantedparallelwithtildeabove	EQUALS SIGN AND SLANTED PARALLEL WITH TILDE ABOVE
29E5	mscl-identicaltoandslantedparallel	IDENTICAL TO AND SLANTED PARALLEL
29E6	mscl-gleichstark	GLEICH STARK
29E7	mscl-thermodynamic	THERMODYNAMIC
29E8	mscl-downpointingtrianglewithlefthalfblack	DOWN-POINTING TRIANGLE WITH LEFT HALF BLACK
29E9	mscl-downpointingtrianglewithrighthalfblack	DOWN-POINTING TRIANGLE WITH RIGHT HALF BLACK
29EA	mscl-blackdiamondwithdownarrow	BLACK DIAMOND WITH DOWN ARROW
29EB	mscl-blacklozenge	BLACK LOZENGE
29EC	mscl-whitecirclewithdownarrow	WHITE CIRCLE WITH DOWN ARROW
29ED	mscl-blackcirclewithdownarrow	BLACK CIRCLE WITH DOWN ARROW
29EE	mscl-errorbarredwhitesquare	ERROR-BARRED WHITE SQUARE
29EF	mscl-errorbarredblacksquare	ERROR-BARRED BLACK SQUARE
29F0	mscl-errorbarredwhitediamond	ERROR-BARRED WHITE DIAMOND
29F1	mscl-errorbarredblackdiamond	ERROR-BARRED BLACK DIAMOND
29F2	mscl-errorbarredwhitecircle	ERROR-BARRED WHITE CIRCLE
29F3	mscl-errorbarredblackcircle	ERROR-BARRED BLACK CIRCLE
29F4	mscl-ruledelayed	RULE-DELAYED
29F5	mscl-reversesolidusoperator	REVERSE SOLIDUS OPERATOR
29F6	mscl-soliduswithoverbar	SOLIDUS WITH OVERBAR
29F7	mscl-reversesoliduswithhorizontalstroke	REVERSE SOLIDUS WITH HORIZONTAL STROKE
29F8	mscl-bigsolidus	BIG SOLIDUS
29F9	mscl-bigreversesolidus	BIG REVERSE SOLIDUS
29FA	mscl-doubleplus	DOUBLE PLUS
29FB	mscl-tripleplus	TRIPLE PLUS
29FC	mscl-leftpointingcurvedanglebracket	LEFT-POINTING CURVED ANGLE BRACKET
29FD	mscl-rightpointingcurvedanglebracket	RIGHT-POINTING CURVED ANGLE BRACKET
29FE	mscl-tiny	TINY
29FF	mscl-miny	MINY
